DEARE	DEARE	n1	DEARE	deer	0
Ne	Ne	fw-fr	Ne	ne	0
∣	∣	sy	∣	∣	0
phew	phew	uh	phew	phew	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ceive	ceive	vvb	ceive	ceive	0
any	any	d	any	any	0
benefit	benefit	n1	benefit	benefit	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
her	her	po31	her	her	0
obligati	obligati	n1	obligati	obligati	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
acknowled	acknowled	vvn	acknowled	acknowl	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
answer	answer	n1	answer	answer	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Cardinall	Cardinall	n1	Cardinal	cardinal	0
Du	Du	np1	Du	Du	0
Perron	Perron	np1	Perron	Perron	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
happened	happened	vvn	happened	happen	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
improvidently	improvidently	av-j	improvidently	improvident	0
omitted	omitted	vvn	omitted	omit	0
the	the	dt	the	the	0
Chapter	Chapter	n1	Chapter	chapter	0
which	which	r-crq	which	which	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
teth	teth	vvz	teth	t	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
unknowne	unknowne	j	unknown	unknown	0
