Honorable	Honorable	j	Honourable	honourable	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
WHEN	WHEN	c-crq	WHEN	when	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
solemnly	solemnly	av-j	solemnly	solemn	0
met	met	vvn	met	meet	0
before	before	p-acp	before	before	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
mourn	mourn	vvi	mourn	mourn	0
over	over	p-acp	over	over	0
your	your	po22	your	your	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
,	,	,	,	,	0
the	the	dt	the	the	0
melting	melting	j-vvg	melting	melt	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
powre	powre	vvi	pour	power	0
them	them	pno32	them	they	0
out	out	av	out	out	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
a	a	dt	a	a	0
better	better	jc	better	better	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
gument	gument	n1	gument	gument	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
before	before	p-acp	before	before	0
you	you	pn22	you	you	0
,	,	,	,	,	0
God	God	np1	God	God	0
mel	mel	av	mell	mell	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
over	over	p-acp	over	over	0
sinners	sinners	n2	sinners	sinner	0
,	,	,	,	,	0
his	his	po31	his	his	0
repentings	repentings	n2-vvg	repentings	repenting	0
kindled	kindled	vvn	kindled	kindle	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
bowels	bowels	n2	bowels	bowel	0
turned	turned	vvn	turned	turn	0
within	within	p-acp	within	within	0
him	him	pno31	him	he	0
fer	fer	p-acp	fer	for	0
them	them	pno32	them	they	0
:	:	:	:	:	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
but	but	cc-acp	but	but	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
vaile	vaile	n1	veil	veil	0
upon	upon	p-acp	upon	upon	0
an	an	dt	and	a	0
ingenuous	ingenuous	j	ingenuous	ingenuous	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
mourn	mourn	vvi	mourn	mourn	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
Qui	Qui	np1	Qui	Qui	0
nolit	nolit	n1	nolit	nolit	0
impendere	impendere	fw-la	impendere	impendere	0
amorem	amorem	fw-la	amorem	amorem	0
,	,	,	,	,	0
Aug.	Aug.	np1	Aug.	Aug.	0
saltem	saltem	fw-la	saltem	saltem	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
pendat	pendat	fw-la	pendat	pendat	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
a	a	dt	a	a	0
father	father	n1	father	father	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
voyce	voyce	n1	voice	voice	0
of	of	pp-f	of	of	0
Mercy	Mercy	n1	Mercy	mercy	0
(	(	(	(	(	0
after	after	c-acp	after	after	0
the	the	dt	the	the	0
windes	windes	n2	winds	wind	0
,	,	,	,	,	0
and	and	cc	and	and	0
earthquakes	earthquakes	n2	earthquakes	earthquake	0
,	,	,	,	,	0
and	and	cc	and	and	0
fires	fires	n2	fires	fire	0
of	of	pp-f	of	of	0
judgement	judgement	n1	judgement	judgement	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
gone	gone	vvn	gone	go	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
shaken	shaken	vvn	shaken	shake	0
the	the	dt	the	the	0
mountaines	mountaines	n2	mountains	mountain	0
,	,	,	,	,	0
and	and	cc	and	and	0
broken	broken	vvn	broken	break	0
the	the	dt	the	the	0
rocks	rocks	n2	rocks	rock	0
in	in	p-acp	in	in	0
pieces	pieces	n2	pieces	piece	0
)	)	)	)	)	0
be	be	vbb	be	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
still	still	av	still	still	0
small	small	j	small	small	0
voyce	voyce	n1	voice	voice	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
prevail	prevail	vvi	prevail	prevail	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
those	those	d	those	those	0
,	,	,	,	,	0
if	if	cs	if	if	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
mistake	mistake	vvb	mistake	mistake	0
not	not	xx	not	not	0
,	,	,	,	,	0
Mercy	Mercy	n1	Mercy	mercy	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
present	present	j	present	present	0
receipt	receipt	n1	receipt	receipt	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
great	great	j	great	great	0
Physitian	Physitian	n1	Physician	physician	0
hath	hath	vhz	hath	have	0
prescribed	prescribed	vvn	prescribed	prescribe	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
cure	cure	n1	cure	cure	0
of	of	pp-f	of	of	0
sick	sick	j	sick	sick	0
Eng	Eng	np1	Eng	Eng	0
∣	∣	sy	∣	∣	0
land	land	n1	land	land	0
,	,	,	,	,	0
a	a	dt	a	a	0
Cordiall	Cordiall	n1	Cordial	cordial	0
after	after	p-acp	after	after	0
blood-letting	blood-letting	n1	bloodletting	blood-letting	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
bitter	bitter	j	bitter	bitter	0
pills	pills	n2	pills	pill	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
pul'd	pul'd	vvd	pulled	pull	0
her	her	pno31	her	she	0
down	down	a-acp	down	down	0
.	.	.	.	.	1
God	God	np1	God	God	0
is	is	vbz	is	be	0
now	now	av	now	now	0
powring	powring	vvg	powering	pour	0
out	out	av	out	out	0
one	one	crd	one	one	0
mercy	mercy	n1	mercy	mercy	0
after	after	p-acp	after	after	0
another	another	j-jn	another	another	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
)	)	)	)	)	0
rub	rub	vvb	rub	rub	0
∣	∣	sy	∣	∣	0
bing	bing	zz	bing	bing	0
and	and	cc	and	and	0
working	working	vvg	working	work	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
oyle	oyle	n1	oil	oil	0
of	of	pp-f	of	of	0
Mercy	Mercy	n1	Mercy	mercy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
away	away	av	away	away	0
the	the	dt	the	the	0
stiffnes	stiffnes	n1	stiffnes	stiffness	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
pliable	pliable	j	pliable	pliable	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
that	that	cst	that	that	0
the	the	dt	the	the	0
language	language	n1	language	language	0
of	of	pp-f	of	of	0
providence	providence	n1	providence	providence	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
both	both	d	both	both	0
more	more	dc	more	more	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
ticulate	ticulate	j	ticulate	ticulate	0
and	and	cc	and	and	0
impressive	impressive	j	impressive	impressive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
brought	brought	vvn	brought	bring	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
home	home	av-an	home	home	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
Gods	Gods	n2	Gods	god	0
own	own	d	own	own	0
dispensations	dispensations	n2	dispensations	dispensation	0
,	,	,	,	,	0
God	God	np1	God	God	0
makes	makes	vvz	makes	make	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
preaching	preaching	vvg	preaching	preach	0
Mercy	Mercy	n1	Mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
most	most	av-ds	most	most	0
reall	reall	j	real	real	0
demonstrations	demonstrations	n2	demonstrations	demonstration	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
endeavoured	endeavoured	vvn	endeavoured	endeavour	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
applica	applica	n1	applica	applica	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Mercy	Mercy	n1	Mercy	mercy	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
may	may	n1	may	may	0
of	of	pp-f	of	of	0
use	use	n1	use	use	0
,	,	,	,	,	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
bring	bring	vvi	bring	bring	0
us	us	pno12	us	we	0
to	to	p-acp	to	to	0
repentance	repentance	n1	repentance	repentance	0
,	,	,	,	,	0
and	and	cc	and	and	0
teach	teach	vvb	teach	teach	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
feare	feare	vvi	fear	fear	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
his	his	po31	his	his	0
goodnesse	goodnesse	n1	goodness	goodness	0
.	.	.	.	.	1
It	It	pn31	It	it	0
seems	seems	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
lesson	lesson	n1	lesson	lesson	0
God	God	np1	God	God	0
would	would	vmd	would	will	0
fain	fain	av-j	fain	fain	0
have	have	vhi	have	have	0
