YOƲR	YOƲR	j	YOƲR	yoʋr	0
Highness	Highness	n1	Highness	highness	0
sees	sees	vvz	sees	see	0
the	the	dt	the	the	0
twelve	twelve	crd	twelve	twelve	0
Epocha's	Epocha's	npg1	Epocha's	epocha	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
followed	followed	vvn	followed	follow	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Abridgment	Abridgment	n1	Abridgment	abridgment	0
:	:	:	:	:	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
chained	chained	vvn	chained	chain	0
to	to	p-acp	to	to	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
principal	principal	j-jn	principal	principal	0
matters	matters	n2	matters	matter	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
dependent	dependent	j-jn	dependent	dependent	0
thereon	thereon	av	thereon	thereon	0
.	.	.	.	.	1
You	You	pn22	You	you	0
may	may	vmb	may	may	0
now	now	av	now	now	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
great	great	j	great	great	0
difficulty	difficulty	n1	difficulty	difficulty	0
dispose	dispose	vvi	dispose	dispose	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cording	cording	vvg	cording	cord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cidents	cidents	n2	cidents	cident	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Antient	Antient	j	Ancient	ancient	0
History	History	n1	History	history	0
,	,	,	,	,	0
and	and	cc	and	and	0
range	range	vvi	range	range	0
them	them	pno32	them	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
so	so	av	so	so	0
speak	speak	vvi	speak	speak	0
)	)	)	)	)	0
each	each	d	each	each	0
under	under	p-acp	under	under	0
its	its	po31	its	its	0
proper	proper	j	proper	proper	0
Standard	Standard	n1	Standard	standard	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Abstract	Abstract	n-jn	Abstract	abstract	0
forgot	forgot	vvn	forgotten	forget	0
that	that	cst	that	that	0
celebrated	celebrated	vvd	celebrated	celebrate	0
distinction	distinction	n1	distinction	distinction	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Chronolo	Chronolo	np1	Chronolo	Chronolo	0
∣	∣	sy	∣	∣	0
gists	gists	ng1	gists	gists	0
make	make	vvb	make	make	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
in	in	p-acp	in	in	0
7.	7.	crd	7.	7.	1
Ages	Ages	ng1	Ages	age	0
.	.	.	.	.	1
The	The	dt	The	the	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
serves	serves	vvz	serves	serve	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
Epocha	Epocha	np1	Epocha	Epocha	0
:	:	:	:	:	0
If	If	cs	If	if	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
mixt	mixt	vvn	mixed	mix	0
any	any	d	any	any	0
others	others	n2-jn	others	other	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
so	so	av	so	so	0
things	things	n2	things	thing	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
distinct	distinct	j	distinct	distinct	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
opened	opened	vvn	opened	open	0
to	to	p-acp	to	to	0
You	You	pn22	You	you	0
with	with	p-acp	with	with	0
less	less	dc	less	less	0
confusion	confusion	n1	confusion	confusion	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
to	to	p-acp	to	to	0
You	You	pn22	You	you	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
pretend	pretend	vvi	pretend	pretend	0
,	,	,	,	,	0
My	My	po11	My	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
should	should	vmd	should	shall	0
scrupulously	scrupulously	av-j	scrupulously	scrupulous	0
charge	charge	vvi	charge	charge	0
Your	Your	po22	Your	your	0
memo	memo	fw-la	memo	memo	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
dates	dates	n2	dates	date	0
;	;	;	;	;	0
much	much	av-d	much	much	0
less	less	av-dc	less	less	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
should	should	vmd	should	shall	0
concern	concern	vvi	concern	concern	0
Your	Your	po22	Your	your	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
nice	nice	j	nice	nice	0
disputes	disputes	vvz	disputes	dispute	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Chronologists	Chronologists	ng1	Chronologists	chronologists	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
most	most	ds	most	most	0
an	an	dt	and	a	0
end	end	n1	end	end	0
they	they	pns32	they	they	0
differ	differ	vvb	differ	differ	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
very	very	av	very	very	0
few	few	d	few	few	0
years	years	n2	years	year	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
question	question	n1	question	question	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
this	this	d	this	this	0
conten	conten	j	conten	conten	0
∣	∣	sy	∣	∣	0
tious	tious	j	tious	tious	0
Chronology	Chronology	np1	Chronology	Chronology	0
which	which	r-crq	which	which	0
scrupulously	scrupulously	av-j	scrupulously	scrupulous	0
is	is	vbz	is	be	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	vvb	ken	ken	0
up	up	a-acp	up	up	0
about	about	p-acp	about	about	0
those	those	d	those	those	0
small	small	j	small	small	0
matters	matters	n2	matters	matter	0
hath	hath	vhz	hath	have	0
its	its	po31	its	its	0
use	use	n1	use	use	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Your	Your	po22	Your	your	0
object	object	n1	object	object	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
little	little	j	little	little	0
service	service	n1	service	service	0
to	to	pc-acp	to	to	0
enlighten	enlighten	vvi	enlighten	enlighten	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
Prince	Prince	n1	Prince	prince	0
.	.	.	.	.	1
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
too	too	av	too	too	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
fined	fined	vvn	fined	fine	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
discussion	discussion	n1	discussion	discussion	0
of	of	pp-f	of	of	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
calculations	calculations	n2	calculations	calculation	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
already	already	av	already	already	0
made	made	vvn	made	make	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
still	still	av	still	still	0
followed	followed	vvn	followed	follow	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
has	has	vhz	has	have	0
appeared	appeared	vvn	appeared	appear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
probable	probable	j	probable	probable	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
troubling	troubling	vvg	troubling	trouble	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Guarranty	Guarranty	n1	Guaranty	guaranty	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
supputation	supputation	n1	supputation	supputation	0
of	of	pp-f	of	of	0
years	years	n2	years	year	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
since	since	p-acp	since	since	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creation	Creation	n1	Creation	creation	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
Abraham	Abraham	np1	Abraham	Abraham	0
,	,	,	,	,	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
best	best	av-js	best	best	0
join	join	vvi	join	join	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
LXX	LXX	crd	LXX	lxx	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
makes	makes	vvz	makes	make	0
the	the	dt	the	the	0
World	World	n1	World	world	0
older	older	jc	older	old	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
makes	makes	vvz	makes	make	0
it	it	pn31	it	it	0
younger	younger	jc	younger	young	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
Ages	Ages	n2	Ages	age	0
:	:	:	:	:	0
Although	Although	cs	Although	although	0
the	the	dt	the	the	0
Authority	Authority	n1	Authority	authority	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Original	Original	j-jn	Original	original	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
seems	seems	vvz	seems	seem	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
it	it	pn31	it	it	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
so	so	av	so	so	0
indifferent	indifferent	j	indifferent	indifferent	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
with	with	p-acp	with	with	0
St.	St.	n1	St.	saint	1
Jerom	Jerom	np1	Jerom	Jerom	0
,	,	,	,	,	0
followed	followed	vvd	followed	follow	0
the	the	dt	the	the	0
supputation	supputation	n1	supputation	supputation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Vulgar	Vulgar	j	Vulgar	vulgar	0
Translation	Translation	n1	Translation	translation	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
left	left	vvn	left	leave	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
LXX	LXX	crd	LXX	lxx	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
Martyrology	Martyrology	n1	Martyrology	martyrology	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
matter	matter	n1	matter	matter	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
History	History	n1	History	history	0
either	either	av-d	either	either	0
to	to	pc-acp	to	to	0
diminish	diminish	vvi	diminish	diminish	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
multiply	multiply	vvi	multiply	multiply	0
void	void	j	void	void	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
also	also	av	also	also	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
count	count	n1	count	count	0
of	of	pp-f	of	of	0
?	?	?	?	?	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
enough	enough	av-d	enough	enough	0
that	that	cst	that	that	0
the	the	dt	the	the	0
times	times	n2	times	time	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
dates	dates	n2	dates	date	0
are	are	vbr	are	be	0
important	important	j	important	important	0
,	,	,	,	,	0
have	have	vhb	have	have	0
their	their	po32	their	their	0
fixed	fixed	vvn	fixed	fix	0
Characters	Characters	n2	Characters	character	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
distribution	distribution	n1	distribution	distribution	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
be	be	vbi	be	be	0
supported	supported	vvn	supported	support	0
on	on	p-acp	on	on	0
certain	certain	j	certain	certain	0
foundations	foundations	n2	foundations	foundation	0
?	?	?	?	?	1
And	And	cc	And	and	0
tho'	tho'	cs	though	though	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
times	times	n2	times	time	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
dispute	dispute	n1	dispute	dispute	0
about	about	p-acp	about	about	0
some	some	d	some	some	0
years	years	n2	years	year	0
,	,	,	,	,	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
scarce	scarce	av-j	scarce	scarce	0
ever	ever	av	ever	ever	0
make	make	vvb	make	make	0
us	us	pno12	us	we	0
perplexed	perplexed	vvn	perplexed	perplex	0
and	and	cc	and	and	0
uneasie	uneasie	j	uneasy	uneasy	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
instance	instance	n1	instance	instance	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
some	some	d	some	some	0
years	years	n2	years	year	0
sooner	sooner	av-c	sooner	soon	0
or	or	cc	or	or	0
later	later	jc	later	late	0
when	when	c-crq	when	when	0
Rome	Rome	np1	Rome	Rome	0
was	was	vbds	was	be	0
founded	founded	vvn	founded	found	0
,	,	,	,	,	0
or	or	cc	or	or	0
our	our	po12	our	our	0
blessed	blessed	j-vvn	blessed	bless	0
Saviour	Saviour	n1	Saviour	saviour	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
You	You	pn22	You	you	0
must	must	vmb	must	must	0
own	own	vvi	own	own	0
that	that	cst	that	that	0
such	such	d	such	such	0
a	a	dt	a	a	0
diversity	diversity	n1	diversity	diversity	0
makes	makes	vvz	makes	make	0
nothing	nothing	pix	nothing	nothing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Histories	Histories	n2	Histories	history	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
accomplishing	accomplishing	n-vvg	accomplishing	accomplish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Councils	Councils	n2	Councils	council	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
You	You	pn22	You	you	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
careful	careful	j	careful	careful	0
