MOST	MOST	av-ds	MOST	most	0
Honoured	Honoured	j-vvn	Honoured	honour	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
you	you	pn22	you	you	0
neither	neither	av-dx	neither	neither	0
like	like	vvb	like	like	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
have	have	vhb	have	have	0
leisure	leisure	n1	leisure	leisure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
upon	upon	p-acp	upon	upon	0
trifles	trifles	n2	trifles	trifle	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
also	also	av	also	also	0
,	,	,	,	,	0
you	you	pn22	you	you	0
account	account	vvb	account	account	0
not	not	xx	not	not	0
discourses	discourses	n2	discourses	discourse	0
of	of	pp-f	of	of	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
trifles	trifles	n2	trifles	trifle	0
:	:	:	:	:	0
This	This	d	This	this	0
makes	makes	vvz	makes	make	0
mee	mee	pno11	me	i	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
short	short	j	short	short	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
Medita	Medita	fw-la	Medita	medita	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
;	;	;	;	;	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
short	short	j	short	short	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
vert	vert	fw-fr	vert	vert	0
you	you	pn22	you	you	0
