LYke	LYke	j	Like	like	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
manye	manye	d	many	many	0
and	and	cc	and	and	0
sondrye	sondrye	j	sundry	sundry	0
disea	disea	n1	disea	disea	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
gra	gra	j	gram	great	0
∣	∣	sy	∣	∣	0
tious	tious	j	tious	tious	0
Soue	Soue	av	Soon	soon	0
∣	∣	sy	∣	∣	0
raigne	raigne	vvi	reign	reign	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
chaunsing	chaunsing	vvg	chancing	chance	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
body	body	n1	body	body	0
,	,	,	,	,	0
so	so	av	so	so	0
sore	sore	av-j	soar	sore	0
manye	manye	d	many	many	0
times	times	n2	times	time	0
trouble	trouble	vvi	trouble	trouble	0
and	and	cc	and	and	0
vexe	vexe	vvi	vex	vex	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
not	not	xx	not	not	0
onlye	onlye	av-j	only	only	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
perill	perill	n1	peril	peril	0
and	and	cc	and	and	0
daunger	daunger	n1	danger	danger	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
at	at	p-acp	at	at	0
lengthe	lengthe	n1	length	length	0
kill	kill	vvi	kill	kill	0
and	and	cc	and	and	0
destroye	destroye	vvi	destroy	destroy	0
it	it	pn31	it	it	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
together	together	av	together	together	0
:	:	:	:	:	0
So	So	av	So	so	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
realme	realme	n1	realm	realm	0
or	or	cc	or	or	0
common	common	j	common	common	0
welth	welth	n1	wealth	wealth	0
(	(	(	(	(	0
whiche	whiche	r-crq	which	which	0
maye	maye	vmb	may	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
compared	compared	vvn	compared	compare	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
bodye	bodye	n1	body	body	0
)	)	)	)	)	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
manye	manye	d	many	many	0
sore	sore	j	soar	sore	0
sicknesses	sicknesses	n2	sicknesses	sickness	0
,	,	,	,	,	0
that	that	cst	that	that	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
so	so	av	so	so	0
greuously	greuously	av-j	grievously	grievous	0
noye	noye	vvi	noy	noy	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
that	that	cst	that	that	0
yf	yf	cs	if	if	0
remedye	remedye	n1	remedy	remedy	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
founde	founde	vvn	found	find	0
out	out	av	out	out	0
betime	betime	av	betime	betimes	0
,	,	,	,	,	0
they	they	pns32	they	they	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
daunger	daunger	n1	danger	danger	0
of	of	pp-f	of	of	0
perishynge	perishynge	vvg	perishing	perish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
conclusion	conclusion	n1	conclusion	conclusion	0
worke	worke	vvi	work	work	0
the	the	dt	the	the	0
vtter	vtter	j	utter	utter	0
ruine	ruine	n1	ruin	ruin	0
and	and	cc	and	and	0
destructi	destructi	fw-la	destructi	destructi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
bodye	bodye	n1	body	body	0
is	is	vbz	is	be	0
sicke	sicke	j	sick	sick	0
,	,	,	,	,	0
Phisitions	Phisitions	n2	Physicians	physician	0
by	by	p-acp	by	by	0
frendes	frendes	n2	friends	friend	0
are	are	vbr	are	be	0
diligently	diligently	av-j	diligently	diligent	0
sought	sought	vvn	sought	seek	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
medicines	medicines	n2	medicines	medicine	0
to	to	pc-acp	to	to	0
cure	cure	vvi	cure	cure	0
the	the	dt	the	the	0
sicknes	sicknes	n1	sickness	sickness	0
be	be	vbb	be	be	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
spede	spede	n1	speed	speed	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
pared	pared	vvn	pared	pare	0
:	:	:	:	:	0
So	So	av	So	so	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
realme	realme	n1	realm	realm	0
or	or	cc	or	or	0
com	com	vvi	come	come	0
¦	¦	sy	¦	¦	0
mon	mon	fw-fr	mon	mon	0
welth	welth	n1	wealth	wealth	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
anye	anye	d	any	any	0
sore	sore	j	soar	sore	0
sicknes	sicknes	n1	sickness	sickness	0
infected	infected	vvn	infected	infect	0
,	,	,	,	,	0
euerye	euerye	d	every	every	0
one	one	pi	one	one	0
that	that	cst	that	that	0
fauoureth	fauoureth	vvz	favours	favour	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
is	is	vbz	is	be	0
bounden	bounden	vvn	bounden	bind	0
to	to	pc-acp	to	to	0
seke	seke	vvi	seek	seek	0
remedye	remedye	n1	remedy	remedy	0
therfore	therfore	av	therefore	therefore	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
yf	yf	cs	if	if	0
frendes	frendes	n2	friends	friend	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
priuate	priuate	j	private	private	0
mans	mans	ng1	men	man	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
wil	wil	vmb	will	will	0
(	(	(	(	(	0
when	when	c-crq	when	when	0
his	his	po31	his	his	0
bodye	bodye	n1	body	body	0
is	is	vbz	is	be	0
diseased	diseased	vvn	diseased	disease	0
)	)	)	)	)	0
gladlye	gladlye	av-j	gladly	glad	0
take	take	vvb	take	take	0
paynes	paynes	n2	pains	pain	0
bothe	bothe	av-d	both	both	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
what	what	r-crq	what	what	0
disease	disease	n1	disease	disease	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
troubled	troubled	vvn	troubled	trouble	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
