RYght	RYght	av-jn	Right	right	0
myghtye	myghtye	j	mighty	mighty	0
princes	princes	n2	princes	prince	0
&	&	cc	&	and	0
honorable	honorable	j	honourable	honourable	0
lordes	lordes	n2	lords	lord	0
,	,	,	,	,	0
thys	thys	d	this	this	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
marked	marked	vvn	marked	mark	0
in	in	p-acp	in	in	0
dy	dy	vvi	die	die	0
∣	∣	sy	∣	∣	0
uers	uers	zz	uers	uers	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
Germani	Germani	np1	Germani	Germani	0
:	:	:	:	:	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
the	the	dt	the	the	0
burges	burges	n1	burgess	burgess	0
¦	¦	sy	¦	¦	0
ses	ses	fw-fr	ses	ses	0
and	and	cc	and	and	0
cytezenes	cytezenes	n2	cytezenes	cytezene	0
haue	haue	vhb	have	have	0
bylded	bylded	vvn	builded	build	0
them	them	pno32	them	they	0
cyties	cyties	n2	cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
good	good	j	good	good	0
and	and	cc	and	and	0
hol	hol	j-jn	hol	hol	0
¦	¦	sy	¦	¦	0
some	some	d	some	some	0
lawes	lawes	n2	laws	law	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
maintenaunce	maintenaunce	n1	maintenance	maintenance	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
kynde	kynde	n1	kind	kind	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
order	order	n1	order	order	0
there	there	a-acp	there	there	0
:	:	:	:	:	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ue	ue	zz	ue	ue	0
chosen	chosen	vvn	chosen	choose	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
certeine	certeine	j	certain	certain	0
lordes	lordes	n2	lords	lord	0
whyche	whyche	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
tounge	tounge	n1	tongue	tongue	0
Schermheeren	Schermheeren	vvi	Schermheeren	schermheeren	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
defendyng	defendyng	vvg	defending	defend	0
lordes	lordes	n2	lords	lord	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
defende	defende	vvi	defend	defend	0
theyr	theyr	po32	their	their	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
perfytlye	perfytlye	av-j	perfectly	perfect	0
bylded	bylded	vvn	builded	build	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
order	order	n1	order	order	0
:	:	:	:	:	0
Knowyng	Knowyng	vvg	Knowing	know	0
wel	wel	av	well	well	0
by	by	p-acp	by	by	0
ex	ex	fw-la	ex	ex	0
¦	¦	sy	¦	¦	0
perience	perience	n1	perience	perience	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
cytie	cytie	n1	city	city	0
so	so	av	so	so	0
strongly	strongly	av-j	strongly	strong	0
bylded	bylded	vvn	builded	build	0
and	and	cc	and	and	0
well	well	av	well	well	0
ordered	ordered	vvn	ordered	order	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
shal	shal	vmb	shall	shall	0
haue	haue	vhi	have	have	0
enuyers	enuyers	n2	enuyers	enuyer	0
and	and	cc	and	and	0
mortal	mortal	j-jn	mortal	mortal	0
enemyes	enemyes	n2	enemies	enemy	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
tyme	tyme	n1	time	time	0
or	or	cc	or	or	0
