ARachne	ARachne	np1	ARachne	ARachne	0
hauing	hauing	vhg	having	have	0
wouen	wouen	vvn	woven	weave	0
in	in	p-acp	in	in	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
Ar	Ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
ras	ras	zz	ras	ras	0
,	,	,	,	,	0
a	a	dt	a	a	0
Raine-bow	Raine-bow	n1	Rainbow	rainbow	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
stikes	stikes	n2	stikes	stike	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
obiected	obiected	vvn	objected	object	0
vnto	vnto	p-acp	unto	unto	0
hir	hir	png31	his	he	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Lady	Lady	n1	Lady	lady	0
more	more	av-dc	more	more	0
captious	captious	j	captious	captious	0
then	then	cs	then	than	0
cunning	cunning	j-jn	cunning	cunning	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
hir	hir	png31	his	he	0
worke	worke	n1	work	work	0
there	there	a-acp	there	there	0
wanted	wanted	vvd	wanted	want	0
some	some	d	some	some	0
coulours	coulours	n2	colours	colour	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Raine-bow	Raine-bow	n1	Rainbow	rainbow	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
all	all	d	all	all	0
:	:	:	:	:	0
Unto	Unto	p-acp	Unto	unto	0
whom	whom	ro-crq	whom	who	0
she	she	pns31	she	she	0
replyed	replyed	vvd	replied	reply	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
coulours	coulours	n2	colours	colour	0
lacke	lacke	vvb	lack	lack	0
thou	thou	pns21	thou	thou	0
lookest	lookest	vv2	lookest	look	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
imagine	imagine	vvi	imagine	imagine	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cloth	cloth	n1	cloth	cloth	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Skie	Skie	n1	Sky	sky	0
wée	wée	pns12	we	we	0
canne	canne	vmb	can	can	0
discerne	discerne	vvi	discern	discern	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Raine-bowe	Raine-bowe	n1	Rainbow	rainbow	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
couloures	couloures	n2	colours	colour	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
sée	sée	vvb	see	see	0
wée	wée	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
,	,	,	,	,	0
gesse	gesse	vvb	guess	guess	0
wée	wée	pns12	we	we	0
may	may	vmb	may	may	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
like	like	j	like	like	0
manner	manner	n1	manner	manner	0
(	(	(	(	(	0
Ladies	Ladies	n2	Ladies	lady	0
and	and	cc	and	and	0
Gentle	Gentle	j	Gentle	gentle	0
woemen	woemen	n2	women	woman	0
)	)	)	)	)	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
to	to	pc-acp	to	to	0
shape	shape	vvi	shape	shape	0
an	an	dt	and	a	0
aunswere	aunswere	n1	answer	answer	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
Euphues	Euphues	np1	Euphues	Euphues	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
framing	framing	vvg	framing	frame	0
diuers	diuers	j	diverse	diverse	0
questions	questions	n2	questions	question	0
and	and	cc	and	and	0
quirkes	quirkes	n2	quirks	quirk	0
of	of	pp-f	of	of	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
if	if	cs	if	if	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
more	more	dc	more	more	0
curious	curious	j	curious	curious	0
then	then	cs	then	than	0
néedeth	néedeth	vvz	needeth	need	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
bée	bée	vbi	been	be	0
tolde	tolde	vvn	told	tell	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
sleightes	sleightes	n2	sleights	sleight	0
are	are	vbr	are	be	0
wanting	wanting	vvg	wanting	want	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
saye	saye	vvi	say	say	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
noted	noted	vvn	noted	note	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
backside	backside	n1	backside	backside	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
Venus	Venus	np1	Venus	Venus	0
is	is	vbz	is	be	0
paynted	paynted	vvn	painted	paint	0
,	,	,	,	,	0
we	we	pns12	we	we	0
can-not	can-not	j	cannot	cannot	0
see	see	vvb	see	see	0
hir	hir	pno31	his	she	0
backe	backe	av	back	back	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
hir	hir	png31	his	he	0
face	face	n1	face	face	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
thinges	thinges	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
