OH	OH	uh	O	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Thou	Thou	pns21	Thou	thou	0
who	who	r-crq	who	who	0
art	art	vb2r	art	be	0
indeed	indeed	av	indeed	indeed	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
te	te	fw-la	te	te	0
great	great	j	great	great	0
Commander	Commander	n1	Commander	commander	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
turnest	turnest	vv2	turnest	turn	0
all	all	d	all	all	0
thing	thing	n1	thing	thing	0
upside	upside	av	upside	upside	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
hast	hast	vh2	hast	have	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
canst	canst	vm2	canst	can	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
persecutors	persecutors	n2	persecutors	persecutor	0
and	and	cc	and	and	0
afflcting	afflcting	vvg	afflcting	afflct	0
powers	powers	n2	powers	power	0
of	of	pp-f	of	of	0
darknesse	darknesse	n1	darkness	darkness	0
,	,	,	,	,	0
stoop	stoop	vvb	stoop	stoop	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Oh	Oh	uh	O	oh	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
my	my	po11	my	my	0
God	God	n1	God	god	0
and	and	cc	and	and	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
great	great	j	great	great	0
are	are	vbr	are	be	0
my	my	po11	my	my	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
one	one	pi	one	one	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Excellency	Excellency	n1	Excellency	excellency	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
oh	oh	uh	o	oh	0
Lord	Lord	n1	Lord	lord	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
thou	thou	pns21	thou	thou	0
alone	alone	j	alone	alone	0
art	art	n1	art	art	0
Excellency	Excellency	n1	Excellency	excellency	0
,	,	,	,	,	0
faithulnss	faithulnss	n1	faithulnss	faithulnss	0
and	and	cc	and	and	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
others	others	n2-jn	others	other	0
are	are	vbr	are	be	0
Crowel	Crowel	np1	Crowel	Crowel	0
,	,	,	,	,	0
Ireton	Ireton	np1	Ireton	Ireton	0
,	,	,	,	,	0
Hsrig	Hsrig	np1	Hsrig	Hsrig	0
,	,	,	,	,	0
Harrison	Harrison	np1	Harrison	Harrison	0
and	and	cc	and	and	0
Whitchcock	Whitchcock	np1	Whitchcock	Whitchcock	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
those	those	d	those	those	0
Tyrannicall	Tyrannicall	j	Tyrannical	tyrannical	0
hand	hand	n1	hand	hand	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
:	:	:	:	:	0
my	my	po11	my	my	0
cause	cause	n1	cause	cause	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
,	,	,	,	,	0
the	the	dt	the	the	0
generall	generall	j	general	general	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
Justice	Justice	n1	Justice	justice	0
and	and	cc	and	and	0
Freedom	Freedom	n1	Freedom	freedom	0
;	;	;	;	;	0
Thou	Thou	pns21	Thou	thou	0
knowest	knowest	vv2	knowest	know	0
the	the	dt	the	the	0
sincerity	sincerity	n1	sincerity	sincerity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
spirit	spirit	n1	spirit	spirit	0
;	;	;	;	;	0
oh	oh	uh	o	oh	0
Lord	Lord	n1	Lord	lord	0
my	my	po11	my	my	0
enemie	enemie	n1	enemy	enemy	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
power	power	n1	power	power	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
peoples	peoples	ng1	peoples	people	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
labours	labours	n2	labours	labour	0
and	and	cc	and	and	0
treasure	treasure	n1	treasure	treasure	0
;	;	;	;	;	0
If	If	cs	If	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
thy	thy	po21	thy	thy	0
holy	holy	j	holy	holy	0
will	will	vmb	will	will	0
let	let	vvi	let	let	0
them	them	pno32	them	they	0
acknowledg	acknowledg	vvi	acknowledge	acknowledge	0
thee	thee	pno21	thee	thou	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
and	and	cc	and	and	0
power	power	n1	power	power	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
great	great	j	great	great	0
changes	changes	n2	changes	change	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
Let	Let	vvb	Let	let	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
ther	ther	po32	their	their	0
conversations	conversations	n2	conversations	conversation	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
and	and	cc	and	and	0
testimonies	testimonies	n2	testimonies	testimony	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
the	the	dt	the	the	0
laws	laws	n2	laws	law	0
and	and	cc	and	and	0
liberties	liberties	n2	liberties	liberty	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
;	;	;	;	;	0
If	If	cs	If	if	0
not	not	xx	not	not	0
,	,	,	,	,	0
oh	oh	uh	o	oh	0
Lord	Lord	n1	Lord	lord	0
put	put	vvd	put	put	0
a	a	dt	a	a	0
hook	hook	n1	hook	hook	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
nostrils	nostrils	n2	nostrils	nostril	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
bridle	bridle	n1	bridle	bridle	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
jaws	jaws	n2	jaws	jaw	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
use	use	vvi	use	use	0
wick	wick	n1	wick	wick	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
and	and	cc	and	and	0
crafty	crafty	j	crafty	crafty	0
policy	policy	n1	policy	policy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
treasure	treasure	n1	treasure	treasure	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
destroy	destroy	vvi	destroy	destroy	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
their	their	po32	their	their	0
laws	laws	n2	laws	law	0
and	and	cc	and	and	0
liberties	liberties	n2	liberties	liberty	0
:	:	:	:	:	0
Uniteth	Uniteth	vvz	Uniteth	unit	0
people	people	n1	people	people	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
sincere	sincere	j	sincere	sincere	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	pi	one	one	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
nother	nother	av-dx	neither	neither	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
and	and	cc	and	and	0
judgement	judgement	n1	judgement	judgement	0
,	,	,	,	,	0
make	make	vvb	make	make	0
up	up	a-acp	up	up	0
thy	thy	po21	thy	thy	0
Jwels	Jwels	n2	Jwels	jwel	0
,	,	,	,	,	0
and	and	cc	and	and	0
shew	shew	vvi	show	show	0
some	some	d	some	some	0
w	w	j	w	wonderful	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
some	some	d	some	some	0
evident	evident	j	evident	evident	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
bloody	bloody	j	bloody	bloody	0
designs	designs	n2	designs	design	0
of	of	pp-f	of	of	0
thine	thine	png21	thine	thou	0
and	and	cc	and	and	0
their	their	po32	their	their	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
what	what	r-crq	what	what	0
cloak	cloak	n1	cloak	cloak	0
or	or	cc	or	or	0
forme	forme	n1	form	form	0
soever	soever	av	soever	soever	0
they	they	pns32	they	they	0
appear	appear	vvb	appear	appear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
keep	keep	vvb	keep	keep	0
me	me	pno11	me	i	0
stedfast	stedfast	j	steadfast	steadfast	0
unto	unto	p-acp	unto	unto	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
against	against	p-acp	against	against	0
al	al	d	all	all	0
the	the	dt	the	the	0
bloody	bloody	j	bloody	bloody	0
intentions	intentions	n2	intentions	intention	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
close	close	j	close	close	0
politick	politick	j	politic	politic	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
lt	lt	pn31	lt	lt	0
thy	thy	po21	thy	thy	0
name	name	n1	name	name	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
be	be	vbb	be	be	0
exlted	exlted	vvn	exlted	exlt	0
as	as	a-acp	as	as	0
indeed	indeed	av	indeed	indeed	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
in	in	p-acp	in	in	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
secution	secution	n1	secution	secution	0
or	or	cc	or	or	0
freedom	freedom	n1	freedom	freedom	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
oh	oh	uh	o	oh	0
Lord	Lord	n1	Lord	lord	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
such	such	d	such	such	0
murtherous	murtherous	j	murderous	murderous	0
thoughts	thoughts	n2	thoughts	thought	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
thou	thou	pns21	thou	thou	0
knowest	knowest	vv2	knowest	know	0
their	their	po32	their	their	0
actions	actions	n2	actions	action	0
are	are	vbr	are	be	0
hitherunto	hitherunto	av	hitherunto	hitherunto	0
wicked	wicked	j	wicked	wicked	0
enough	enough	av-d	enough	enough	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
bring	bring	vvb	bring	bring	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
wickedest	wickedest	js	wickedest	wicked	0
and	and	cc	and	and	0
extreamest	extreamest	js-jn	extremest	extreme	0
into	into	p-acp	into	into	0
action	action	n1	actium	action	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
Lord	Lord	n1	Lord	lord	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
continue	continue	vvi	continue	continue	0
constant	constant	j	constant	constant	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
strength	strength	n1	strength	strength	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
deth	deth	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvb	make	make	0
me	me	pno11	me	i	0
willingly	willingly	av-j	willingly	willing	0
to	to	pc-acp	to	to	0
imbrace	imbrace	vvi	embrace	embrace	0
my	my	po11	my	my	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
testimony	testimony	n1	testimony	testimony	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
testimonies	testimonies	n2	testimonies	testimony	0
of	of	pp-f	of	of	0
