MOSTE	MOSTE	ds	MOST	most	0
GRATIOVS	GRATIOVS	j	GRACIOUS	gracious	0
SOVERAIGNE	SOVERAIGNE	n-jn	SOVERAIGNE	sovereign	0
:	:	:	:	:	0
Becaus	Becaus	c-acp	Because	because	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
bee	bee	vbb	be	be	0
peaceable	peaceable	j	peaceable	peaceable	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
longeth	longeth	vvz	longeth	long	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
contention	contention	n1	contention	contention	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
under	under	p-acp	under	under	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
,	,	,	,	,	0
and	and	cc	and	and	0
Skorners	Skorners	ng1	Scorners	scorners	0
are	are	vbr	are	be	0
farr	farr	av-j	far	far	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
:	:	:	:	:	0
becaus	becaus	c-acp	because	because	0
wisdom	wisdom	n1	wisdom	wisdom	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
happines	happines	n1	happiness	happiness	0
,	,	,	,	,	0
and	and	cc	and	and	0
stops	stops	vvz	stops	stop	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
iniquity	iniquity	n1	iniquity	iniquity	0
:	:	:	:	:	0
becaus	becaus	c-acp	because	because	0
the	the	dt	the	the	0
lion	lion	n1	lion	lion	0
and	and	cc	and	and	0
the	the	dt	the	the	0
serpent	serpent	n1	serpent	serpent	0
is	is	vbz	is	be	0
vanquished	vanquished	vvn	vanquished	vanquish	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iu	Iu	p-acp	Ju	in	0
∣	∣	sy	∣	∣	0
stice	stice	n1	stice	stice	0
raigneth	raigneth	vvz	reigneth	reign	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Turtle	Turtle	n1	Turtle	turtle	0
dove	dove	n1	dove	dove	0
is	is	vbz	is	be	0
com	com	vvi	come	come	0
and	and	cc	and	and	0
heard	heard	vvn	herd	hear	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
land	land	n1	land	land	0
:	:	:	:	:	0
becaus	becaus	c-acp	because	because	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
law	law	n1	law	law	0
&	&	cc	&	and	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
therof	therof	av	thereof	thereof	0
shineth	shineth	vvz	shines	shine	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
cleernes	cleernes	n1	clearness	clearness	0
of	of	pp-f	of	of	0
judgement	judgement	n1	judgement	judgement	0
&	&	cc	&	and	0
golden	golden	j	golden	golden	0
verity	verity	n1	verity	verity	0
:	:	:	:	:	0
becaus	becaus	c-acp	because	because	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
&	&	cc	&	and	0
an	an	dt	and	a	0
endles	endles	j	endless	endless	0
gouvern	gouvern	n1	gouvern	gouvern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
is	is	vbz	is	be	0
layd	layd	vvn	laid	lay	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
none	none	pix	none	none	0
els	els	av	else	else	0
is	is	vbz	is	be	0
fitt	fitt	j	fit	fit	0
