SHeweth	SHeweth	vvz	Shows	show	0
,	,	,	,	,	0
That	That	cst	That	that	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Ninth	Ninth	ord	Ninth	nine	0
by	by	p-acp	by	by	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Corporation	Corporation	n1	Corporation	corporation	0
,	,	,	,	,	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
Or	Or	cc	Or	or	0
∣	∣	sy	∣	∣	0
dered	dered	vvd	dered	dere	0
that	that	d	that	that	0
no	no	dx	no	no	0
Member	Member	n1	Member	member	0
thereof	thereof	av	thereof	thereof	0
do	do	vdb	do	do	0
prefer	prefer	vvi	prefer	prefer	0
any	any	d	any	any	0
Bill	Bill	n1	Bill	bill	0
,	,	,	,	,	0
or	or	cc	or	or	0
Petition	Petition	vvb	Petition	petition	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
High	High	j	High	high	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
Jurisdiction	Jurisdiction	n1	Jurisdiction	jurisdiction	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
Sea	Sea	n1	Sea	sea	0
Cause	Cause	n1	Cause	cause	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
acquainting	acquainting	vvg	acquainting	acquaint	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
Wardens	Wardens	n2	Wardens	warden	0
,	,	,	,	,	0
and	and	cc	and	and	0
Assistants	Assistants	n2	Assistants	assistant	0
therewith	therewith	av	therewith	therewith	0
.	.	.	.	.	1
And	And	cc	And	and	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
finding	finding	vvg	finding	find	0
themselves	themselves	px32	themselves	themselves	0
Agrieved	Agrieved	vvn	Aggrieved	aggrieve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Matters	Matters	n2	Matters	matter	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
do	do	vdb	do	do	0
Humbly	Humbly	av-j	Humbly	humble	0
Pray	Pray	vvb	Pray	pray	0
you	you	pn22	you	you	0
Honors	Honors	ng1	Honours	honour	0
relief	relief	n1	relief	relief	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Duty	Duty	n1	Duty	duty	0
of	of	pp-f	of	of	0
Poundage	Poundage	n1	Poundage	poundage	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Innovation	Innovation	n1	Innovation	innovation	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
imposed	imposed	vvn	imposed	impose	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
but	but	p-acp	but	but	0
about	about	p-acp	about	about	0
these	these	d	these	these	0
Two	Two	crd	Two	two	0
Years	Years	n2	Years	year	0
last	last	ord	last	last	0
past	past	vvn	passed	pass	0
,	,	,	,	,	0
although	although	cs	although	although	0
they	they	pns32	they	they	0
now	now	av	now	now	0
receive	receive	vvi	receive	receive	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
can	can	vmb	can	can	0
get	get	vvi	get	get	0
any	any	d	any	any	0
more	more	dc	more	more	0
than	than	cs	than	than	0
formerly	formerly	av-j	formerly	former	0
.	.	.	.	.	1
And	And	cc	And	and	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
though	though	cs	though	though	0
the	the	dt	the	the	0
Corporation	Corporation	n1	Corporation	corporation	0
always	always	av	always	always	0
did	did	vdd	did	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
still	still	av	still	still	0
do	do	vdb	do	do	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
same	same	d	same	same	0
Money	Money	n1	Money	money	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
Vessel	Vessel	n1	Vessel	vessel	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
Loadsmanage	Loadsmanage	n1	Loadsmanage	loadsmanage	0
.	.	.	.	.	1
Pilotage	Pilotage	n1	Pilotage	pilotage	0
,	,	,	,	,	0
and	and	cc	and	and	0
Loadsmanage	Loadsmanage	vvi	Loadsmanage	loadsmanage	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Charter	Charter	n1	Charter	charter	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
Duty	Duty	n1	Duty	duty	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
The	The	dt	The	the	0
Charter	Charter	n1	Charter	charter	0
provides	provides	vvz	provides	provide	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Channels	Channels	n2	Channels	channel	0
,	,	,	,	,	0
Sands	Sands	n2	Sands	sand	0
,	,	,	,	,	0
Flats	Flats	n2	Flats	flat	0
and	and	cc	and	and	0
Rocks	Rocks	n2	Rocks	rock	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
or	or	cc	or	or	0
near	near	av-j	near	near	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
Coasts	Coasts	n2	Coasts	coast	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
Safety	Safety	n1	Safety	safety	0
and	and	cc	and	and	0
Strength	Strength	n1	Strength	strength	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
be	be	vbb	be	be	0
kept	kept	vvn	kept	keep	0
secret	secret	j-jn	secret	secret	0
within	within	p-acp	within	within	0
our	our	po12	our	our	0
Selves	Selves	n2	Selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
altogether	altogether	av	altogether	altogether	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
Straingers	Straingers	n2	Strangers	stranger	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
therefore	therefore	av	therefore	therefore	0
no	no	dx	no	no	0
Alien	Alien	n-jn	Alien	alien	0
,	,	,	,	,	0
or	or	cc	or	or	0
Strainger	Strainger	n1	Stranger	stranger	0
Born	Born	vvn	Born	bear	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
Sail	Sail	vvi	Sail	sail	0
,	,	,	,	,	0
or	or	cc	or	or	0
Serve	Serve	vvb	Serve	serve	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Ship	Ship	n1	Ship	ship	0
,	,	,	,	,	0
coming	coming	vvg	coming	come	0
in	in	p-acp	in	in	0
or	or	cc	or	or	0
going	going	vvg	going	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
River	River	n1	River	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
,	,	,	,	,	0
unless	unless	cs	unless	unless	0
for	for	p-acp	for	for	0
urgent	urgent	j	urgent	urgent	0
Causes	Causes	n2	Causes	cause	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
certified	certified	vvn	certified	certify	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Seal	Seal	n1	Seal	seal	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Corporation	Corporation	n1	Corporation	corporation	0
,	,	,	,	,	0
That	That	cst	That	that	0
contrary	contrary	n-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Charter	Charter	n1	Charter	charter	0
,	,	,	,	,	0
Straingers	Straingers	n2	Strangers	stranger	0
and	and	cc	and	and	0
Aliens	Aliens	n2-jn	Aliens	alien	0
,	,	,	,	,	0
and	and	cc	and	and	0
Unlicensed	Unlicensed	j	Unlicensed	unlicensed	0
Pilots	Pilots	n2	Pilots	pilot	0
are	are	vbr	are	be	0
suffered	suffered	vvn	suffered	suffer	0
to	to	p-acp	to	to	0
Pilot	Pilot	n1	Pilot	pilot	0
Ships	Ships	n2	Ships	ship	0
