In	In	p-acp	In	in	0
most	most	ds	most	most	0
humble	humble	j	humble	humble	0
wise	wise	n1	wise	wise	0
sheweth	sheweth	vvz	shows	show	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
good	good	j	good	good	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
hard	hard	j	hard	hard	0
Labour	Labour	n1	Labour	labour	0
and	and	cc	and	and	0
great	great	j	great	great	0
Disbursements	Disbursements	n2	Disbursements	disbursement	0
,	,	,	,	,	0
have	have	vhb	have	have	0
subdued	subdued	vvn	subdued	subdue	0
a	a	dt	a	a	0
Wilderness	Wilderness	n1	Wilderness	wilderness	0
,	,	,	,	,	0
built	built	vvn	built	build	0
our	our	po12	our	our	0
Houses	Houses	n2	Houses	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
planted	planted	vvn	planted	plant	0
Orchards	Orchards	n2	Orchards	orchard	0
,	,	,	,	,	0
being	being	vbg	being	be	0
incouraged	incouraged	vvn	encouraged	encourage	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
indubitable	indubitable	j	indubitable	indubitable	0
Right	Right	n-jn	Right	right	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Soil	Soil	n1	Soil	soil	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Royal	Royal	j	Royal	royal	0
Charter	Charter	n1	Charter	charter	0
granted	granted	vvn	granted	grant	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
First	First	ord	First	first	0
Planters	Planters	n2	Planters	planter	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Purchase	Purchase	n1	Purchase	purchase	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Natives	Natives	n2-jn	Natives	native	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
sundry	sundry	j	sundry	sundry	0
Letters	Letters	n2	Letters	letter	0
and	and	cc	and	and	0
Declarations	Declarations	n2	Declarations	declaration	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
late	late	j	late	late	0
Governour	Governour	n1	Governor	governor	0
and	and	cc	and	and	0
Company	Company	n1	Company	company	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
His	His	po31	His	his	0
late	late	j	late	late	0
Majesty	Majesty	n1	Majesty	majesty	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Brother	Brother	n1	Brother	brother	0
,	,	,	,	,	0
assuring	assuring	vvg	assuring	assure	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
full	full	j	full	full	0
enjoyment	enjoyment	n1	enjoyment	enjoyment	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Properties	Properties	n2	Properties	property	0
and	and	cc	and	and	0
Possessions	Possessions	n2	Possessions	possession	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Declaration	Declaration	n1	Declaration	declaration	0
sent	sent	vvd	sent	send	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Quo	Quo	fw-la	Quo	quo	0
Warranto	Warranto	n1	Warranto	warranto	0
was	was	vbds	was	be	0
issued	issued	vvn	issued	issue	0
out	out	av	out	out	0
against	against	p-acp	against	against	0
our	our	po12	our	our	0
Charter	Charter	n1	Charter	charter	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
necessitated	necessitated	vvn	necessitated	necessitate	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
our	our	po12	our	our	0
Moan	Moan	n1	Moan	moan	0
and	and	cc	and	and	0
Complaint	Complaint	n1	Complaint	complaint	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Excellent	Excellent	j	Excellent	excellent	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Title	Title	n1	Title	title	0
is	is	vbz	is	be	0
now	now	av	now	now	0
questioned	questioned	vvn	questioned	question	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
us	us	pno12	us	we	0
quietly	quietly	av-jn	quietly	quiet	0
possessed	possessed	vvn	possessed	possess	0
for	for	p-acp	for	for	0
near	near	av-j	near	near	0
sixty	sixty	crd	sixty	sixty	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
subsist	subsist	vvi	subsist	subsist	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
humble	humble	j	humble	humble	0
Address	Address	n1	Address	address	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Governour	Governour	n1	Governor	governor	0
Sir	Sir	n1	Sir	sir	0
Edmond	Edmond	np1	Edmond	Edmond	0
Andross	Andross	np1	Andross	Andross	0
,	,	,	,	,	0
shewing	shewing	vvg	showing	show	0
our	our	po12	our	our	0
just	just	j	just	just	0
Title	Title	n1	Title	title	0
,	,	,	,	,	0
long	long	j	long	long	0
and	and	cc	and	and	0
peaceable	peaceable	j	peaceable	peaceable	0
possession	possession	n1	possession	possession	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Claim	Claim	n1	Claim	claim	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Letters	Letters	n2	Letters	letter	0
and	and	cc	and	and	0
Declarations	Declarations	n2	Declarations	declaration	0
,	,	,	,	,	0
assuring	assuring	vvg	assuring	assure	0
all	all	d	all	all	0
Your	Your	po22	Your	your	0
good	good	j	good	good	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
molested	molested	vvn	molested	molest	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Properties	Properties	n2	Properties	property	0
and	and	cc	and	and	0
Possessions	Possessions	n2	Possessions	possession	0
,	,	,	,	,	0
not	not	xx	not	not	0
availing	availing	vvg	availing	avail	0
.	.	.	.	.	1
Royal	Royal	j	Royal	royal	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
We	We	pns12	We	we	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
poor	poor	j	poor	poor	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
Money	Money	n1	Money	money	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
our	our	po12	our	our	0
Cause	Cause	n1	Cause	cause	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
know	know	vvb	know	know	0
we	we	pns12	we	we	0
of	of	pp-f	of	of	0
Friends	Friends	n2	Friends	friend	0
at	at	p-acp	at	at	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
unto	unto	p-acp	unto	unto	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
do	do	vdb	do	do	0
we	we	pns12	we	we	0
make	make	vvi	make	make	0
this	this	d	this	this	0
our	our	po12	our	our	0
humble	humble	j	humble	humble	0
Address	Address	n1	Address	address	0
for	for	p-acp	for	for	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
lief	lief	av-j	lief	lief	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
graciously	graciously	av-j	graciously	gracious	0
to	to	pc-acp	to	to	0
pass	pass	vvi	pass	pass	0
Your	Your	po22	Your	your	0
Royal	Royal	j	Royal	royal	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Confirmation	Confirmation	n1	Confirmation	confirmation	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Posessions	Posessions	n2	Possessions	possession	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
derived	derived	vvn	derived	derive	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
late	late	j	late	late	0
Governour	Governour	n1	Governor	governor	0
and	and	cc	and	and	0
