READER	READER	n1	READER	reader	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Am	Am	vbm	Am	be	0
not	not	xx	not	not	0
concerned	concerned	vvn	concerned	concern	0
to	to	pc-acp	to	to	0
enquire	enquire	vvi	inquire	inquire	0
why	why	c-crq	why	why	0
other	other	j-jn	other	other	0
Persons	Persons	n2	Persons	person	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
such	such	d	such	such	0
accounts	accounts	n2	accounts	account	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
main	main	j	main	main	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
position	position	n1	position	position	0
laid	laid	vvn	laid	lay	0
down	down	a-acp	down	down	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Reasonableness	Reasonableness	n1	Reasonableness	reasonableness	0
of	of	pp-f	of	of	0
Christianity	Christianity	np1	Christianity	Christianity	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Design	Design	n1	Design	design	0
that	that	cst	that	that	0
Author	Author	n1	Author	author	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
publishing	publishing	vvg	publishing	publish	0
his	his	po31	his	his	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reason	Reason	n1	Reason	reason	0
why	why	c-crq	why	why	0
he	he	pns31	he	he	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
served	served	vvd	served	serve	0
the	the	dt	the	the	0
Method	Method	n1	Method	method	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
clear	clear	vvi	clear	clear	0
and	and	cc	and	and	0
prove	prove	vvi	prove	prove	0
the	the	dt	the	the	0
great	great	j	great	great	0
Point	Point	n1	Point	point	0
treated	treated	vvd	treated	treat	0
of	of	pp-f	of	of	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
suffice	suffice	vvi	suffice	suffice	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
apprehend	apprehend	vvb	apprehend	apprehend	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Proposition	Proposition	n1	Proposition	proposition	0
,	,	,	,	,	0
