Brethren	Brethren	n1	Brothers	brethren	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
fairly	fairly	av-j	fairly	fair	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
how	how	c-crq	how	how	0
far	far	av-j	far	far	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
attain	attain	vvi	attain	attain	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mystery	Mystery	n1	Mystery	mystery	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
;	;	;	;	;	0
and	and	cc	and	and	0
surely	surely	av-j	surely	sure	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
short	short	j	short	short	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
revealed	revealed	vvn	revealed	reveal	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
or	or	cc	or	or	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
such	such	d	such	such	0
clouds	clouds	n2	clouds	cloud	0
rolling	rolling	vvg	rolling	roll	0
about	about	p-acp	about	about	0
each	each	d	each	each	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
darken	darken	vvi	darken	darken	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
something	something	pi	something	something	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
So	So	av	So	so	0
as	as	c-acp	as	as	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
cleare	cleare	j	clear	clear	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
commonly	commonly	av-j	commonly	common	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
;	;	;	;	;	0
If	If	cs	If	if	0
any	any	d	any	any	0
man	man	n1	man	man	0
think	think	vvi	think	think	0
he	he	pns31	he	he	0
knoweth	knoweth	vvz	knoweth	know	0
