Most	Most	ds	Most	most	0
dread	dread	j	dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
!	!	!	!	!	1
WHAT	WHAT	q-crq	WHAT	what	0
I	I	pns11	I	i	0
here	here	av	here	here	0
presume	presume	vvb	presume	presume	0
to	to	pc-acp	to	to	0
prostrate	prostrate	vvi	prostrate	prostrate	0
,	,	,	,	,	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
sacred	sacred	j	sacred	sacred	0
feet	feet	n2	feet	foot	0
)	)	)	)	)	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
contemned	contemned	j-vvn	contemned	contemn	0
,	,	,	,	,	0
and	and	cc	and	and	0
despised	despised	j-vvn	despised	despise	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
don	don	vdn	dONE	do	0
my	my	po11	my	my	0
best	best	js	best	best	0
endeavour	endeavour	n1	endeavour	endeavour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
the	the	dt	the	the	0
duty	duty	n1	duty	duty	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
unbiassed	unbiassed	j-vvn	unbiased	unbiase	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
faithful	faithful	j	faithful	faithful	0
Subject	Subject	j-jn	Subject	subject	0
:	:	:	:	:	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
,	,	,	,	,	0
and	and	cc	and	and	0
unworthiest	unworthiest	js	unworthiest	unworthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
liege	liege	n1	liege	liege	0
peopl	peopl	n1	people	people	0
,	,	,	,	,	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
that	that	cst	that	that	0
A.	A.	np1	A.	A.	0
D.	D.	np1	D.	D.	0
1643.	1643.	crd	1643.	1643.	1
I	I	pns11	I	i	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Loyaltie	Loyaltie	n1	Loyalty	loyalty	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Interest	Interest	n1	Interest	interest	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
just	just	j	just	just	0
Caus	Caus	np1	Caus	Caus	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
High	High	j	High	high	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
blessed	blessed	j-vvn	blessed	bless	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
drag'd	drag'd	vvd	dragged	drag	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Essex	Essex	np1	Essex	Essex	0
his	his	po31	his	his	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Dedington	Dedington	np1	Dedington	Dedington	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Oxford	Oxford	np1	Oxford	Oxford	0
,	,	,	,	,	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
settle	settle	vvi	settle	settle	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
therein	therein	av	therein	therein	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
served	served	vvn	served	serve	0
my	my	po11	my	my	0
God	God	n1	God	god	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
calling	calling	n1	calling	calling	0
the	the	dt	the	the	0
Ministry	Ministry	n1	Ministry	ministry	0
)	)	)	)	)	0
unto	unto	p-acp	unto	unto	0
Glocester	Glocester	np1	Glocester	Gloucester	0
,	,	,	,	,	0
and	and	cc	and	and	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
New	New	j	New	new	0
∣	∣	sy	∣	∣	0
bury	bury	vvb	bury	bury	0
fight	fight	n1	fight	fight	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
savage	savage	j-jn	savage	savage	0
usage	usage	n1	usage	usage	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
cold	cold	j-jn	cold	cold	0
irons	irons	n2	irons	iron	0
;	;	;	;	;	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
relieved	relieved	vvd	relieved	relieve	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
party	party	n1	party	party	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	n2	Majesties	majesty	0
(	(	(	(	(	0
Your	Your	po22	Your	your	0
pious	pious	j	pious	pious	0
Father's	Father's	ng1	Father's	father	0
)	)	)	)	)	0
Hors	Hors	n1	Horse	horse	0
;	;	;	;	;	0
since	since	c-acp	since	since	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
suffered	suffered	vvn	suffered	suffer	0
abundantly	abundantly	av-j	abundantly	abundant	0
,	,	,	,	,	0
becaus	becaus	c-acp	because	because	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
ever	ever	av	ever	ever	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
devoted	devoted	j-vvn	devoted	devote	0
Servant	Servant	n1	Servant	servant	0
unto	unto	p-acp	unto	unto	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
abhor	abhor	vvi	abhor	abhor	0
∣	∣	sy	∣	∣	0
rent	rent	n1	rend	rent	0
unto	unto	p-acp	unto	unto	0
Flattery	Flattery	n1	Flattery	flattery	0
and	and	cc	and	and	0
sinister	sinister	j	sinister	sinister	0
Policy	Policy	n1	Policy	policy	0
,	,	,	,	,	0
and	and	cc	and	and	0
avers	avers	n2	avers	aver	0
unto	unto	p-acp	unto	unto	0
Popularity	Popularity	n1	Popularity	popularity	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
caused	caused	vvn	caused	cause	0
me	me	pno11	me	i	0
hitherto	hitherto	av	hitherto	hitherto	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rejected	rejected	vvn	rejected	reject	0
in	in	p-acp	in	in	0
