SEing	SEing	vvg	Sing	sing	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
duetie	duetie	n1	duty	duty	0
of	of	pp-f	of	of	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
uery	uery	j	very	very	0
true	true	j	true	true	0
Christian	Christian	njp	Christian	christian	0
(	(	(	(	(	0
Righte	Righte	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lowest	lowest	js	lowest	low	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
receyued	receyued	vvn	received	receive	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
reache	reache	vvi	reach	reach	0
out	out	av	out	out	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
vvith	vvith	p-acp	with	with	0
continuall	continuall	j	continual	continual	0
attendance	attendance	n1	attendance	attendance	0
to	to	pc-acp	to	to	0
profite	profite	vvi	profit	profit	0
euery	euery	d	every	every	0
his	his	po31	his	his	0
felowe	felowe	n1	fellow	fellow	0
neighbour	neighbour	n1	neighbour	neighbour	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
ouer	ouer	p-acp	over	over	0
vvhiche	vvhiche	r-crq	which	which	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
so	so	av	so	so	0
labouring	labouring	vvg	labouring	labour	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
exceede	exceede	vvi	exceed	exceed	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
make	make	vvb	make	make	0
muche	muche	av-d	much	much	0
of	of	pp-f	of	of	0
lyfe	lyfe	n1	life	life	0
vvithout	vvithout	p-acp	without	without	0
consideration	consideration	n1	consideration	consideration	0
vvherefore	vvherefore	q-crq	wherefore	wherefore	0
they	they	pns32	they	they	0
liue	liue	vvb	live	live	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
held	held	vvn	held	hold	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
boun	boun	fw-fr	boun	boun	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
endeuour	endeuour	n1	endeavour	endeavour	0
the	the	dt	the	the	0
regarde	regarde	n1	regard	regard	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
ouer	ouer	p-acp	over	over	0
vvhom	vvhom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
me	me	pno11	me	i	0
.	.	.	.	.	1
And	And	np1	And	And	0
seeing	seeing	vvg	seeing	see	0
that	that	cst	that	that	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
iudgement	iudgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
continuall	continuall	j	continual	continual	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
doth	doth	vdz	does	do	0
teache	teache	vvi	teach	teach	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
scholler	scholler	n1	scholar	scholar	0
lear	lear	vvi	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
tongues	tongues	n2	tongues	tongue	0
,	,	,	,	,	0
the	the	dt	the	the	0
readyest	readyest	js	readiest	ready	0
vvay	vvay	n1	way	way	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
begin	begin	vvi	begin	begin	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
or	or	cc	or	or	0
vvell	vvell	av	well	well	0
profited	profited	vvn	profited	profit	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Science	Science	n1	Science	science	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
first	first	ord	first	first	0
a	a	dt	a	a	0
sure	sure	j	sure	sure	0
foundation	foundation	n1	foundation	foundation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
principles	principles	n2	principles	principle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
helde	helde	vvd	held	hold	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
ready	ready	j	ready	ready	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
traunce	traunce	n1	trance	trance	0
to	to	p-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
trueth	trueth	n1	truth	truth	0
familiar	familiar	j-jn	familiar	familiar	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
vvhom	vvhom	r-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
speciall	speciall	j	special	special	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
ouer	ouer	p-acp	over	over	0
vvhom	vvhom	ro-crq	whom	who	0
peculiar	peculiar	j	peculiar	peculiar	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
laye	laye	vvi	say	lay	0
the	the	dt	the	the	0
groundworke	groundworke	n1	groundwork	groundwork	0
as	as	c-acp	as	as	0
sure	sure	j	sure	sure	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
in	in	p-acp	in	in	0
leading	leading	vvg	leading	lead	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
vvorde	vvorde	n1	word	word	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
respectes	respectes	n2	respects	respect	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
vvhat	vvhat	r-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
by	by	p-acp	by	by	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvhat	vvhat	r-crq	what	what	0
by	by	p-acp	by	by	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
vvherof	vvherof	c-crq	whereof	whereof	0
if	if	cs	if	if	0
eyther	eyther	d	either	either	0
be	be	vbb	be	be	0
vvanting	vvanting	vvg	wanting	want	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
looseth	looseth	vvz	loses	lose	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
)	)	)	)	)	0
his	his	po31	his	his	0
due	due	j-jn	due	due	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
people	people	n1	people	people	0
their	their	po32	their	their	0
sal	sal	fw-la	sal	sal	0
∣	∣	sy	∣	∣	0
uation	uation	n1	uation	uation	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
if	if	cs	if	if	0
the	the	dt	the	the	0
first	first	ord	first	first	0
be	be	vbi	be	be	0
not	not	xx	not	not	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
men	men	n2	men	man	0
receiue	receiue	vvb	receive	receive	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
promises	promises	n2	promises	promise	0
in	in	p-acp	in	in	0
securitie	securitie	n1	security	security	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
vvhich	vvhich	r-crq	which	which	0
num	num	n1	num	num	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
great	great	j	great	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
cond	cond	zz	cond	cond	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
had	had	vhn	had	have	0
,	,	,	,	,	0
