SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
THis	THis	d	THis	this	0
whole	whole	j-jn	whole	whole	0
undertaking	undertaking	n-vvg	undertaking	undertake	0
was	was	vbds	was	be	0
vowed	vowed	vvn	vowed	vow	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
great	great	j	great	great	0
name	name	n1	name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
State	State	n1	State	state	0
had	had	vhd	had	have	0
placed	placed	vvn	placed	place	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
high	high	j	high	high	0
Station	Station	n1	Station	station	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
now	now	av	now	now	0
stand	stand	vvi	stand	stand	0
:	:	:	:	:	0
And	And	cc	And	and	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
applaud	applaud	vvi	applaud	applaud	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
Prognostick	Prognostick	n1	Prognostic	prognostic	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
thoughts	thoughts	n2	thoughts	thought	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
found	found	vvd	found	find	0
out	out	av	out	out	0
such	such	d	such	such	0
a	a	dt	a	a	0
Patron	Patron	n1	Patron	patron	0
for	for	p-acp	for	for	0
The	The	dt	The	the	0
Harmony	Harmony	n1	Harmony	harmony	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Evangelists	Evangelists	n2	Evangelists	evangelist	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
high	high	j	high	high	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
have	have	vhb	have	have	0
since	since	a-acp	since	since	0
called	called	vvn	called	call	0
out	out	av	out	out	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
Patron	Patron	n1	Patron	patron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
So	So	av	So	so	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
bewaile	bewaile	vvi	bewail	bewail	0
the	the	dt	the	the	0
unhappy	unhappy	j	unhappy	unhappy	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
disabilities	disabilities	n2	disabilities	disability	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
can	can	vmb	can	can	0
neither	neither	av-dx	neither	neither	0
present	present	vvi	present	present	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
better	better	av-jc	better	better	0
,	,	,	,	,	0
then	then	cs	then	than	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
now	now	av	now	now	0
publish	publish	vvi	publish	publish	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
person	person	n1	person	person	0
:	:	:	:	:	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
could	could	vmd	could	can	0
publish	publish	vvi	publish	publish	0
any	any	d	any	any	0
whit	whit	n1	whit	whit	0
sooner	sooner	av-c	sooner	soon	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
then	then	av	then	then	0
presented	presented	vvd	presented	present	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
better	better	jc	better	better	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Excellencies	Excellencies	ng1	Excellencies	excellency	0
candor	candor	n1	candor	candour	0
will	will	vmb	will	will	0
helpe	helpe	vvi	help	help	0
to	to	pc-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
both	both	d	both	both	0
the	the	dt	the	the	0
one	one	crd	one	one	0
failing	failing	j-vvg	failing	fail	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
[	[	[	[	[	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
presage	presage	vvi	presage	presage	0
it	it	pn31	it	it	0
]	]	]	]	]	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
such	such	d	such	such	0
