WHosoeuer	WHosoeuer	r-crq	Whosoever	whosoever	0
loueth	loueth	vvz	loves	love	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
be	be	vbi	be	be	0
Anathema	Anathema	n1	Anathema	anathema	0
maran	maran	n1	maran	maran	0
atha	atha	fw-mi	atha	atha	0
,	,	,	,	,	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
execration	execration	n1	execration	execration	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
death	death	n1	death	death	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
loued	loued	vvn	loved	love	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
cradle	cradle	n1	cradle	cradle	0
,	,	,	,	,	0
forsomuch	forsomuch	av	forsomuch	forsomuch	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
rished	rished	vvn	rished	rish	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
wholsome	wholsome	j	wholesome	wholesome	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
continually	continually	av-j	continually	continual	0
imbraced	imbraced	vvn	embraced	embrace	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
thus	thus	av	thus	thus	0
loued	loued	vvn	loved	love	0
,	,	,	,	,	0
(	(	(	(	(	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
cease	cease	vvb	cease	cease	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
him	him	pno31	him	he	0
)	)	)	)	)	0
I	I	pns11	I	i	0
also	also	av	also	also	0
loue	loue	vvb	love	love	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
tender	tender	vvb	tender	tender	0
your	your	po22	your	your	0
saluation	saluation	n1	salvation	salvation	0
as	as	p-acp	as	as	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
.	.	.	.	.	1
The	The	dt	The	the	0
God	God	np1	God	God	0
,	,	,	,	,	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
father	father	n1	father	father	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
