BELOVED	BELOVED	j-vvn	BELOVED	belove	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
refreshing	refreshing	n-vvg	refreshing	refresh	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
after	after	p-acp	after	after	0
my	my	po11	my	my	0
frequent	frequent	j	frequent	frequent	0
flittings	flittings	n2-vvg	flittings	flitting	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	d	much	much	0
toyle	toyle	n1	toil	toil	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
bodily	bodily	j	bodily	bodily	0
strength	strength	n1	strength	strength	0
and	and	cc	and	and	0
outward	outward	j	outward	outward	0
estate	estate	n1	estate	estate	0
were	were	vbdr	were	be	0
impaired	impaired	vvn	impaired	impair	0
,	,	,	,	,	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
hindred	hindred	vvn	hindered	hinder	0
from	from	p-acp	from	from	0
returning	returning	vvg	returning	return	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
mer	mer	uh	mere	mer	0
station	station	n1	station	station	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
invited	invited	vvn	invited	invite	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
down	down	a-acp	down	down	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
nativity	nativity	n1	nativity	nativity	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
imploy	imploy	vvi	employ	employ	0
my	my	po11	my	my	0
talent	talent	n1	talon	talon	0
among	among	p-acp	among	among	0
my	my	po11	my	my	0
kin	kin	n1	kin	kin	0
∣	∣	sy	∣	∣	0
dred	dred	n1	dreaded	dread	0
and	and	cc	and	and	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
known	known	vvn	known	know	0
mee	mee	pno11	me	i	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Child-hood	Child-hood	n1	Childhood	childhood	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
hope	hope	n1	hope	hope	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
gathered	gathered	vvn	gathered	gather	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
yielded	yielded	vvd	yielded	yield	0
their	their	po32	their	their	0
spirits	spirits	n2	spirits	spirit	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
was	was	vbds	was	be	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
little	little	j	little	little	0
content	content	n1	content	content	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
speak	speak	vvi	speak	speak	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
well	well	av	well	well	0
affected	affected	vvn	affected	affect	0
an	an	dt	and	a	0
Auditory	Auditory	j	Auditory	auditory	0
,	,	,	,	,	0
and	and	cc	and	and	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
neighbourhood	neighbourhood	n1	neighbourhood	neighbourhood	0
and	and	cc	and	and	0
assistance	assistance	n1	assistance	assistance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
precious	precious	j	precious	precious	0
a	a	dt	a	a	0
man	man	n1	man	man	0
as	as	p-acp	as	as	0
Mr.	Mr.	n1	Mr.	mr.	1
Baxter	Baxter	np1	Baxter	Baxter	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
still	still	j	still	still	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
counted	counted	vvn	counted	count	0
by	by	p-acp	by	by	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
Jt	Jt	np1	Jt	Jt	0
is	is	vbz	is	be	0
therefore	therefore	av	therefore	therefore	0
a	a	dt	a	a	0
grievance	grievance	n1	grievance	grievance	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
remove	remove	vvb	remove	remove	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
that	that	d	that	that	0
jarres	jarres	n2	jars	jar	0
have	have	vhb	have	have	0
happen	happen	vvi	happen	happen	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
between	between	p-acp	between	between	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
Mr.	Mr.	n1	Mr.	mr.	1
Baxter	Baxter	np1	Baxter	Baxter	0
,	,	,	,	,	0
the	the	dt	the	the	0
occasion	occasion	n1	occasion	occasion	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
was	was	vbds	was	be	0
this	this	d	this	this	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Baxters	Baxters	ng1	Baxte's	baxte	0
dissent	dissent	n1	dissent	dissent	0
from	from	p-acp	from	from	0
mee	mee	pno11	me	i	0
about	about	p-acp	about	about	0
infant-Baptisme	infant-Baptisme	n1	infant-Baptisme	infant-baptisme	0
being	being	vbg	being	be	0
known	known	vvn	known	know	0
,	,	,	,	,	0
