RIGHT	RIGHT	av-jn	RIGHT	right	0
HONORABLE	HONORABLE	j	HONOURABLE	honourable	0
:	:	:	:	:	0
AS	AS	p-acp	AS	as	0
the	the	dt	the	the	0
Soule	Soule	n1	Soul	soul	0
is	is	vbz	is	be	0
far	far	av-j	far	far	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
then	then	cs	then	than	0
the	the	dt	the	the	0
Bodie	Bodie	n1	Body	body	0
;	;	;	;	;	0
this	this	d	this	this	0
being	being	vbg	being	be	0
but	but	p-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
earth	earth	n1	earth	earth	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Heauen	Heauen	n1	Heaven	heaven	0
heauenly	heauenly	j	heavenly	heavenly	0
:	:	:	:	:	0
so	so	av	so	so	0
whatso	whatso	n1	whatso	whatso	0
∣	∣	sy	∣	∣	0
euer	euer	av	ever	ever	0
concernes	concernes	vvz	concerns	concern	0
the	the	dt	the	the	0
adorning	adorning	vvg	adorning	adorn	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pretious	pretious	j	precious	precious	0
Soule	Soule	n1	Soul	soul	0
,	,	,	,	,	0
is	is	vbz	is	be	0
farre	farre	av-j	far	far	0
preferred	preferred	vvn	preferred	prefer	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
all	all	d	all	all	0
bodily	bodily	j	bodily	bodily	0
furniture	furniture	n1	furniture	furniture	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
plement	plement	n1	plement	plement	0
whatsoeuer	whatsoeuer	q-crq	whatsoever	whatsoever	0
.	.	.	.	.	1
And	And	np1	And	And	0
seeing	seeing	vvg	seeing	see	0
our	our	po12	our	our	0
wise	wise	j	wise	wise	0
God	God	np1	God	God	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
ioyned	ioyned	vvd	joined	join	0
the	the	dt	the	the	0
Soule	Soule	n1	Soul	soul	0
and	and	cc	and	and	0
Body	Body	n1	Body	body	0
to	to	p-acp	to	to	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
one	one	crd	one	one	0
perfect	perfect	j	perfect	perfect	0
Crea	Crea	np1	Crea	Crea	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
subiected	subiected	vvn	subjected	subject	0
the	the	dt	the	the	0
Bo	Bo	uh	Bo	bo	0
∣	∣	sy	∣	∣	0
dy	dy	zz	dy	dy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Soule	Soule	n1	Soul	soul	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fection	fection	n1	fection	fection	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
herein	herein	av	herein	herein	0
