Dear	Dear	j-jn	Dear	dear	0
Souls	Souls	n2	Souls	soul	0
,	,	,	,	,	0
TO	TO	p-acp	TO	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
especially	especially	av-j	especially	especial	0
that	that	cst	that	that	0
heard	heard	vvd	herd	hear	0
these	these	d	these	these	0
Lectures	Lectures	n2	Lectures	lecture	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
dicate	dicate	vvb	dicate	dicate	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
present	present	vvi	present	present	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
upon	upon	p-acp	upon	upon	0
onely	onely	j	only	only	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
then	then	av	then	then	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
as	as	a-acp	as	as	0
good	good	j	good	good	0
have	have	vhi	have	have	0
sent	sent	vvn	sent	send	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
picture	picture	n1	picture	picture	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
pleased	pleased	vvn	pleased	please	0
your	your	po22	your	your	0
eye	eye	n1	eye	eye	0
)	)	)	)	)	0
.	.	.	.	.	1
Man	Man	n1	Man	man	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
Speculation	Speculation	n1	Speculation	speculation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
Practice	Practice	n1	Practice	practice	0
;	;	;	;	;	0
Speculation	Speculation	n1	Speculation	speculation	0
brings	brings	vvz	brings	bring	0
onely	onely	av-j	only	only	0
pleasure	pleasure	n1	pleasure	pleasure	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
its	its	po31	its	its	0
Practice	Practice	n1	Practice	practice	0
which	which	r-crq	which	which	0
benefits	benefits	n2	benefits	benefit	0
others	others	ng2-jn	others	other	0
;	;	;	;	;	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
need	need	vvb	need	need	0
not	not	xx	not	not	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
that	that	d	that	that	0
Man	Man	n1	Man	man	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
born	born	vvn	born	bear	0
for	for	p-acp	for	for	0
himself	himself	px31	himself	himself	0
alone	alone	av-j	alone	alone	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
Rules	Rules	n2	Rules	rule	0
will	will	vmb	will	will	0
serve	serve	vvi	serve	serve	0
(	(	(	(	(	0
if	if	cs	if	if	0
heedfully	heedfully	av-j	heedfully	heedful	0
observed	observed	vvn	observed	observe	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
Reason	Reason	n1	Reason	reason	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
ballance	ballance	vvi	balance	balance	0
your	your	po22	your	your	0
judgment	judgment	n1	judgement	judgement	0
in	in	p-acp	in	in	0
sayling	sayling	vvg	sailing	sail	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
gnosticall	gnosticall	j	gnosticall	gnosticall	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Physick	Physick	n1	Physic	physic	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
steer	steer	vvi	steer	steer	0
your	your	po22	your	your	0
course	course	n1	course	course	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Card	Card	n1	Carded	card	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
float	float	vvi	float	float	0
unsetledly	unsetledly	j-vvn	unsettled	unsettle	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
waves	waves	n2	waves	wave	0
of	of	pp-f	of	of	0
Errour	Errour	n1	Error	error	0
,	,	,	,	,	0
Ignorance	Ignorance	n1	Ignorance	ignorance	0
or	or	cc	or	or	0
O	O	sy	O	o	0
∣	∣	sy	∣	∣	0
pinion	pinion	n1	pinion	pinion	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
)	)	)	)	)	0
belongs	belongs	vvz	belongs	belong	0
the	the	dt	the	the	0
practice	practice	n1	practice	practice	0
of	of	pp-f	of	of	0
Physick	Physick	n1	Physic	physic	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
Practice	Practice	n1	Practice	practice	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fect	fect	n1	fect	fact	0
,	,	,	,	,	0
Judgement	Judgement	n1	Judgement	judgement	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sound	sound	j	found	sound	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
judgement	judgement	n1	judgement	judgement	0
sound	sound	n1	found	sound	0
is	is	vbz	is	be	0
requi	requi	fw-la	requi	requi	0
∣	∣	sy	∣	∣	0
red	red	vvd	read	read	0
an	an	dt	and	a	0
exquisite	exquisite	j	exquisite	exquisite	0
knowledge	knowledge	n1	knowledge	knowledge	0
.	.	.	.	.	1
Judge	Judge	np1	Judge	Judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
is	is	vbz	is	be	0
perfected	perfected	vvn	perfected	perfect	0
by	by	p-acp	by	by	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
:	:	:	:	:	0
whence	whence	c-crq	whence	whence	0
it	it	pn31	it	it	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peares	peares	n2	pears	pear	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
communicative	communicative	j	communicative	communicative	0
knowledge	knowledge	n1	knowledge	knowledge	0
is	is	vbz	is	be	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cellent	cellent	uh-j	cellent	cellent	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
I	I	pns11	I	i	0
hate	hate	vvb	hate	hate	0
a	a	dt	a	a	0
drone	drone	n1	drone	drone	0
most	most	ds	most	most	0
,	,	,	,	,	0
that	that	cst	that	that	0
sucks	sucks	vvz	sucks	suck	0
the	the	dt	the	the	0
sweetnesse	sweetnesse	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
mens	mens	ng2	men's	man	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
doth	doth	vdz	does	do	0
