POndering	POndering	vvg	POndering	ponder	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
beloued	beloued	vvn	beloved	belove	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
whome	whome	ro-crq	whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
none	none	pix	none	none	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
greater	greater	jc	greater	great	0
right	right	j-jn	right	right	0
or	or	cc	or	or	0
claime	claime	vvi	claim	claim	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
then	then	av	then	then	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
:	:	:	:	:	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
it	it	pn31	it	it	0
first	first	ord	first	first	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
&	&	cc	&	and	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sounded	sounded	vvn	sounded	sound	0
viva	viva	fw-la	viva	viva	0
voce	voce	fw-mi	voce	voce	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eares	eares	n2	ears	ear	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
many	many	d	many	many	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
some	some	d	some	some	0
it	it	pn31	it	it	0
now	now	av	now	now	0
commeth	commeth	vvz	comes	come	0
forth	forth	av	forth	forth	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
further	further	jc	further	further	0
view	view	n1	view	view	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
should	should	vmd	should	shall	0
neuer	neuer	av-x	never	never	0
haue	haue	vhi	have	have	0
seene	seene	vvn	seen	see	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
any	any	d	any	any	0
more	more	dc	more	more	0
.	.	.	.	.	1
Further	Further	av-jc	Further	further	0
,	,	,	,	,	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
part	part	n1	part	part	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
neth	neth	vvz	neth	n	0
you	you	pn22	you	you	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
perticularly	perticularly	av-jn	particularly	particular	0
dressed	dressed	vvn	dressed	dress	0
and	and	cc	and	and	0
serued	serued	vvn	served	serve	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
instruction	instruction	n1	instruction	instruction	0
;	;	;	;	;	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
many	many	d	many	many	0
dishes	dishes	n2	dishes	dish	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
to	to	pc-acp	to	to	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
to	to	p-acp	to	to	0
feed	feed	vvi	feed	feed	0
vpon	vpon	p-acp	upon	upon	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
respects	respects	vvz	respects	respect	0
me	me	pno11	me	i	0
thinks	thinks	vvz	thinks	think	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
wrong	wrong	vvi	wrong	wrong	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
other	other	j-jn	other	other	0
:	:	:	:	:	0
My	My	po11	My	my	0
desire	desire	n1	desire	desire	0
in	in	p-acp	in	in	0
penning	penning	vvg	penning	pen	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
preaching	preaching	vvg	preaching	preach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
edified	edified	vvn	edified	edify	0
and	and	cc	and	and	0
taught	taught	vvn	taught	teach	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
soberly	soberly	av-j	soberly	sober	0
,	,	,	,	,	0
righteously	righteously	av-j	righteously	righteous	0
,	,	,	,	,	0
and	and	cc	and	and	0
holily	holily	av-j	holily	holy	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
present	present	j	present	present	0
world	world	n1	world	world	0
,	,	,	,	,	0
&	&	cc	&	and	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
conscience	conscience	n1	conscience	conscience	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
I	I	pns11	I	i	0
affected	affected	vvd	affected	affect	0
plainenes	plainenes	n1	plainness	plainness	0
in	in	p-acp	in	in	0
speaking	speaking	vvg	speaking	speak	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
and	and	cc	and	and	0
therein	therein	av	therein	therein	0
kept	kept	vvd	kept	keep	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
as	as	c-acp	as	as	0
neare	neare	av-j	near	near	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
helpe	helpe	n1	help	help	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
briefe	briefe	j	brief	brief	0
notes	notes	n2	notes	note	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
method	method	n1	method	method	0
phrase	phrase	n1	phrase	phrase	0
and	and	cc	and	and	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
obser	obser	vvb	obser	obser	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
deliuery	deliuery	n1	delivery	delivery	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Accept	Accept	vvb	Accept	accept	0
it	it	pn31	it	it	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
looke	looke	vvb	look	look	0
vpon	vpon	p-acp	upon	upon	0
that	that	d	that	that	0
,	,	,	,	,	0
not	not	xx	not	not	0
vpon	vpon	p-acp	upon	upon	0
my	my	po11	my	my	0
rude	rude	j	rude	rude	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
in	in	p-acp	in	in	0
handling	handling	vvg	handling	handle	0
it	it	pn31	it	it	0
:	:	:	:	:	0
the	the	dt	the	the	0
meat	meat	n1	meat	meat	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
though	though	c-acp	though	though	0
happily	happily	av-j	happily	happy	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
Cooke	Cooke	n1	Cook	cook	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
dressed	dressed	vvn	dressed	dress	0
and	and	cc	and	and	0
serued	serued	vvd	served	serve	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
more	more	av-dc	more	more	0
skilfully	skilfully	av-j	skilfully	skilful	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
charitable	charitable	j	charitable	charitable	0
and	and	cc	and	and	0
christian	christian	njp	christian	christian	0
acceptation	acceptation	n1	acceptation	acceptation	0
;	;	;	;	;	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
blessed	blessed	vvn	blessed	bless	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
whome	whome	ro-crq	whom	who	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
pray	pray	vvi	pray	pray	0
(	(	(	(	(	0
that	that	d	that	that	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lishing	lishing	n-vvg	lishing	lish	0
this	this	d	this	this	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
satisfied	satisfied	vvn	satisfied	satisfy	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
)	)	)	)	)	0
you	you	pn22	you	you	0
all	all	d	all	all	0
may	may	vmb	may	may	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
desires	desires	n2	desires	desire	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
receaue	receaue	vvb	receive	receive	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fit	fit	n1	fit	fit	0
and	and	cc	and	and	0
instruction	instruction	n1	instruction	instruction	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
.	.	.	.	.	1
