Honourable	Honourable	j	Honourable	honourable	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
GOD	GOD	np1	GOD	God	0
having	having	vhg	having	have	0
first	first	ord	first	first	0
pitched	pitched	vvd	pitched	pitch	0
my	my	po11	my	my	0
medita	medita	fw-la	medita	medita	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
study	study	n1	study	study	0
after	after	p-acp	after	after	0
an	an	dt	and	a	0
establish	establish	vvi	establish	establish	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
perish	perish	vvb	perish	perish	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
sha	sha	vmb	sha	shall	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
times	times	n2	times	time	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
live	live	vvb	live	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
study	study	n1	study	study	0
more	more	av-dc	more	more	0
emminently	emminently	av-j	emminently	emminent	0
then	then	av	then	then	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	a-acp	before	fore	0
,	,	,	,	,	0
made	made	vvd	made	make	0
knowne	knowne	vvn	known	know	0
himselfe	himselfe	px31	himself	himself	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
that	that	d	that	that	0
Rocke	Rocke	n1	Rock	rock	0
of	of	pp-f	of	of	0
Ages	Ages	n2	Ages	age	0
which	which	r-crq	which	which	0
never	never	av-x	never	never	0
failes	failes	vvz	fails	fail	0
such	such	d	such	such	0
as	as	p-acp	as	as	0
trust	trust	n1	trust	trust	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
then	then	av	then	then	0
draw	draw	vvi	draw	draw	0
forth	forth	av	forth	forth	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
principle	principle	n1	principle	principle	0
of	of	pp-f	of	of	0
common	common	j	common	common	0
good	good	j	good	good	0
hold	hold	n1	hold	hold	0
that	that	cst	that	that	0
forth	forth	av	forth	forth	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
if	if	cs	if	if	0
God	God	np1	God	God	0
would	would	vmd	would	will	0
blesse	blesse	vvi	bless	bless	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
I	I	pns11	I	i	0
intended	intended	vvd	intended	intend	0
it	it	pn31	it	it	0
every	every	d	every	every	0
soule	soule	n1	soul	soul	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
happy	happy	j	happy	happy	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
fixed	fixed	j-vvn	fixed	fix	0
state	state	n1	state	state	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
this	this	d	this	this	0
is	is	vbz	is	be	0
truly	truly	av-j	truly	true	0
my	my	po11	my	my	0
end	end	n1	end	end	0
in	in	p-acp	in	in	0
publishing	publishing	vvg	publishing	publish	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
in	in	p-acp	in	in	0
secret	secret	j-jn	secret	secret	0
imprint	imprint	n1	imprint	imprint	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
:	:	:	:	:	0
Now	Now	av	Now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
boldnes	boldnes	n1	boldness	boldness	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
any	any	d	any	any	0
aske	aske	vvi	ask	ask	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
so	so	av	so	so	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
render	render	vvi	render	render	0
them	them	pno32	them	they	0
these	these	d	these	these	0
two	two	crd	two	two	0
Reasons	Reasons	n2	Reasons	reason	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
proper	proper	j	proper	proper	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spects	spects	n2-jn	spects	spect	0
to	to	pc-acp	to	to	0
one	one	pi	one	one	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
receiv	receiv	vvi	receive	receive	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
so	so	av	so	so	0
many	many	av-d	many	many	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
short	short	j	short	short	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
and	and	cc	and	and	0
say	say	vvb	say	say	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
remaine	remaine	vvb	remain	remain	0
your	your	po22	your	your	0
Debtor	Debtor	n1	Debtor	debtor	0
.	.	.	.	.	1
My	My	po11	My	my	0
second	second	ord	second	second	0
reason	reason	n1	reason	reason	0
is	is	vbz	is	be	0
this	this	d	this	this	0
,	,	,	,	,	0
Though	Though	cs	Though	though	0
the	the	dt	the	the	0
subject	subject	j-jn	subject	subject	0
be	be	vbi	be	be	0
of	of	a-acp	of	off	0
generall	generall	j	general	general	0
tendency	tendency	n1	tendency	tendency	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wants	wants	n2	wants	want	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Gods	Gods	ng1	Gods	god	0
people	people	n1	people	people	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
puts	puts	vvz	puts	put	0
most	most	av-ds	most	most	0
worke	worke	n1	work	work	0
upon	upon	p-acp	upon	upon	0
have	have	vhi	have	have	0
most	most	ds	most	most	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
support	support	n1	support	support	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
fight	fight	vvi	fight	fight	0
and	and	cc	and	and	0
contend	contend	vvi	contend	contend	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
ei	ei	n1	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
within	within	p-acp	within	within	0
them	them	pno32	them	they	0
or	or	cc	or	or	0
without	without	p-acp	without	without	0
them	them	pno32	them	they	0
,	,	,	,	,	0
will	will	vmb	will	will	0
finde	finde	vvi	find	find	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
best	best	js	best	best	0
wea	wea	zz	wea	wea	0
∣	∣	sy	∣	∣	0
pon	pon	n1	pon	pon	0
;	;	;	;	;	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
emminently	emminently	av-j	emminently	emminent	0
called	called	vvn	called	call	0
and	and	cc	and	and	0
used	used	vvd	used	use	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
weighty	weighty	j	weighty	weighty	0
work	work	n1	work	work	0
I	I	pns11	I	i	0
need	need	vvb	need	need	0
produce	produce	vvi	produce	produce	0
no	no	dx	no	no	0
proofes	proofes	n2	proofs	proof	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
God	God	np1	God	God	0
himselfe	himselfe	px31	himself	himself	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
further	further	jc	further	further	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	d	that	that	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
greatest	greatest	js	greatest	great	0
strength	strength	n1	strength	strength	0
in	in	p-acp	in	in	0
doing	doing	vdg	doing	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
rest	rest	n1	rest	rest	0
what	what	r-crq	what	what	0
ever	ever	av	ever	ever	0
your	your	po22	your	your	0
worke	worke	n1	work	work	0
maybe	maybe	av	maybe	maybe	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
reason	reason	n1	reason	reason	0
also	also	av	also	also	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
this	this	d	this	this	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
the	the	dt	the	the	0
scope	scope	n1	scope	scope	0
and	and	cc	and	and	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
stance	stance	n1	stance	stance	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
hath	hath	vhz	hath	have	0
streng	streng	j-jn	streng	streng	0
∣	∣	sy	∣	∣	0
thened	thened	j-vvn	thened	then	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
hand	hand	n1	hand	hand	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
that	that	cst	that	that	0
concernes	concernes	vvz	concerns	concern	0
you	you	pn22	you	you	0
here	here	av	here	here	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
enemies	enemies	n2	enemies	enemy	0
say	say	vvb	say	say	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
much	much	d	much	much	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
beleeve	beleeve	vvb	believe	believe	0
the	the	dt	the	the	0
voyce	voyce	n1	voice	voice	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
heart	heart	n1	heart	heart	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
all	all	d	all	all	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
used	used	vvn	used	use	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
instrument	instrument	n1	instrument	instrument	0
;	;	;	;	;	0
What	What	q-crq	What	what	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
behind	behind	a-acp	behind	behind	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
or	or	cc	or	or	0
suffer	suffer	vvi	suffer	suffer	0
God	God	np1	God	God	0
only	only	av-j	only	only	0
knows	knows	vvz	knows	know	0
:	:	:	:	:	0
This	This	d	This	this	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
boldly	boldly	av-j	boldly	bold	0
affirme	affirme	vvi	affirm	affirm	0
,	,	,	,	,	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
best	best	js	best	best	0
companion	companion	n1	companion	companion	0
and	and	cc	and	and	0
