PYthagoras	PYthagoras	np1	PYthagoras	PYthagoras	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
expressing	expressing	vvg	expressing	express	0
the	the	dt	the	the	0
double	double	j-jn	double	double	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
life	life	n1	life	life	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
letter	letter	n1	letter	letter	0
Y	Y	zz	Y	y	0
,	,	,	,	,	0
intimateth	intimateth	vvz	intimateth	intimate	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
more	more	n1	more	moor	0
plainly	plainly	av-j	plainly	plain	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
double	double	j-jn	double	double	0
way	way	n1	way	way	0
;	;	;	;	;	0
whereof	whereof	c-crq	whereof	whereof	0
one	one	pi	one	one	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
strait	strait	j	strait	strait	0
passage	passage	n1	passage	passage	0
and	and	cc	and	and	0
narrow	narrow	j	narrow	narrow	0
gate	gate	n1	gate	gate	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
few	few	d	few	few	0
do	do	vdb	do	do	0
embrace	embrace	vvi	embrace	embrace	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
great	great	j	great	great	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
