THese	THese	d	THese	these	0
Mournful	Mournful	j	Mournful	mournful	0
Lines	Lines	n2	Lines	line	0
(	(	(	(	(	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Eliza	Eliza	np1	Eliza	Eliza	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
Writ	Writ	vvn	Writ	write	0
o'er	o'er	p-acp	over	over	0
thy	thy	po21	thy	thy	0
Grave	Grave	j	Grave	grave	0
(	(	(	(	(	0
whilest	whilest	cs	whilst	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Widower	Widower	n1	Widower	widower	0
)	)	)	)	)	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
now	now	av	now	now	0
Dedi	Dedi	fw-la	Dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	vvn	cated	cate	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Pious	Pious	j	Pious	pious	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Memorial	Memorial	n-jn	Memorial	memorial	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Constant	Constant	j	Constant	constant	0
Love	Love	n1	Love	love	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
—	—	—	—	—	0
Essay	Essay	n1	Essay	essay	0
—	—	—	—	—	0
Annex'd	Annex'd	vvn	Annexed	annex	0
,	,	,	,	,	0
'twas	'twas	pn31|vbds	'twas	it|be	0
Writ	Writ	vvn	Writ	write	0
presently	presently	av-j	presently	present	0
after	after	p-acp	after	after	0
thy	thy	po21	thy	thy	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
mitigate	mitigate	vvi	mitigate	mitigate	0
my	my	po11	my	my	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
part	part	n1	part	part	0
Justified	Justified	vvn	Justified	justify	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
greatness	greatness	n1	greatness	greatness	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Loss	Loss	n1	Loss	loss	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
separated	separated	vvn	separated	separate	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
so	so	av	so	so	0
long	long	av-j	long	long	0
Con	Con	vvb	Con	con	0
∣	∣	sy	∣	∣	0
versation	versation	n1	versation	versation	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
so	so	av	so	so	0
kind	kind	j	kind	kind	0
a	a	dt	a	a	0
Wife	Wife	n1	Wife	wife	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
no	no	dx	no	no	0
wonder	wonder	n1	wonder	wonder	0
that	that	cst	that	that	0
Phil.	Phil.	np1	Phil.	Phil.	0
who	who	r-crq	who	who	0
Lov'd	Lov'd	vvd	Loved	love	0
thee	thee	pno21	thee	thou	0
so	so	av	so	so	0
much	much	av-d	much	much	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
shou'd	shou'd	vvd	should	shove	0
attempt	attempt	n1	attempt	attempt	0
to	to	pc-acp	to	to	0
Prove	Prove	vvi	Prove	prove	0
,	,	,	,	,	0
He	He	pns31	He	he	0
shall	shall	vmb	shall	shall	0
know	know	vvi	know	know	0
thee	thee	pno21	thee	thou	0
again	again	av	again	again	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
That	That	cst	That	that	0
Love	Love	n1	Love	love	0
is	is	vbz	is	be	0
strong	strong	j	strong	strong	0
as	as	c-acp	as	as	0
