May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
GReat	GReat	j	GReat	great	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
are	are	vbr	are	be	0
my	my	po11	my	my	0
obli	obli	j	obli	obli	0
∣	∣	sy	∣	∣	0
gations	gations	n2	gations	gation	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
not	not	xx	not	not	0
on	on	p-acp	on	on	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
as	as	a-acp	as	as	0
a	a	dt	a	a	0
Client	Client	n1	Client	client	0
towards	towards	p-acp	towards	towards	0
a	a	dt	a	a	0
great	great	j	great	great	0
Patron	Patron	n1	Patron	patron	0
of	of	pp-f	of	of	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
adopted	adopted	j-vvn	adopted	adopt	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
especiall	especiall	j	especial	especial	0
favours	favours	n2	favours	favour	0
.	.	.	.	.	1
Ten	Ten	crd	Ten	ten	0
yeares	yeares	n2	years	year	0
agoe	agoe	av	ago	ago	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
upon	upon	p-acp	upon	upon	0
one	one	crd	one	one	0
humble	humble	j	humble	humble	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
residing	residing	vvg	residing	reside	0
in	in	p-acp	in	in	0
Dublin	Dublin	np1	Dublin	Dublin	0
,	,	,	,	,	0
craving	craving	vvg	craving	crave	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
your	your	po22	your	your	0
assistance	assistance	n1	assistance	assistance	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
purpose	purpose	n1	purpose	purpose	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Orient	Orient	j-jn	Orient	orient	0
;	;	;	;	;	0
It	It	pn31	It	it	0
pleased	pleased	vvd	pleased	please	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
(	(	(	(	(	0
being	being	vbg	being	be	0
as	as	a-acp	as	as	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
sight	sight	n1	sighed	sight	0
unknown	unknown	j	unknown	unknown	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
)	)	)	)	)	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
favourably	favourably	av-j	favourably	favourable	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
mee	mee	pno11	me	i	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
annuall	annuall	j	annual	annual	0
allowance	allowance	n1	allowance	allowance	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
allready	allready	av	already	already	0
left	left	vvn	left	leave	0
England	England	np1	England	England	0
,	,	,	,	,	0
or	or	cc	or	or	0
if	if	cs	if	if	0
not	not	xx	not	not	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
invite	invite	vvi	invite	invite	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
over	over	a-acp	over	over	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
upon	upon	p-acp	upon	upon	0
very	very	av	very	very	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
termes	termes	n2	terms	term	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
knowledge	knowledge	n1	knowledge	knowledge	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
that	that	cst	that	that	0
excellently	excellently	av-j	excellently	excellent	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
