SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
MAy	MAy	vmb	MAy	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
,	,	,	,	,	0
The	The	dt	The	the	0
Scottish	Scottish	jp	Scottish	scottish	0
King	King	n1	King	king	0
being	being	vbg	being	be	0
imprisoned	imprisoned	vvn	imprisoned	imprison	0
in	in	p-acp	in	in	0
Mortimers	Mortimers	np2	Mortimers	Mortimer	0
hole	hole	n1	hold	hole	0
,	,	,	,	,	0
comforted	comforted	vvd	comforted	comfort	0
himself	himself	px31	himself	himself	0
and	and	cc	and	and	0
deceived	deceived	vvn	deceived	deceive	0
the	the	dt	the	the	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
bondage	bondage	n1	bondage	bondage	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
scraping	scraping	vvg	scraping	scrape	0
the	the	dt	the	the	0
Story	Story	n1	Story	story	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
crucified	crucified	vvd	crucified	crucify	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
wals	wals	n2	walls	wall	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
nailes	nailes	n2	nails	nail	0
:	:	:	:	:	0
Even	Even	av-j	Even	even	0
so	so	av	so	so	0
God	God	np1	God	God	0
writeth	writeth	vvz	writeth	write	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
dictates	dictates	vvz	dictates	dictate	0
of	of	pp-f	of	of	0
Conscience	Conscience	n1	Conscience	conscience	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
wall	wall	n1	wall	wall	0
,	,	,	,	,	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
Conscience	Conscience	n1	Conscience	conscience	0
,	,	,	,	,	0
Murus	Murus	np1	Murus	Murus	0
aheneus	aheneus	fw-la	aheneus	aheneus	0
;	;	;	;	;	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
the	the	dt	the	the	0
rules	rules	n2	rules	rule	0
of	of	pp-f	of	of	0
Divinity	Divinity	n1	Divinity	divinity	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
positive	positive	j	positive	positive	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
relate	relate	vvb	relate	relate	0
to	to	p-acp	to	to	0
Conscience	Conscience	n1	Conscience	conscience	0
,	,	,	,	,	0
are	are	vbr	are	be	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
handwriting	handwriting	n1	handwriting	handwriting	0
,	,	,	,	,	0
Dan.	Dan.	np1	Dan.	Dan.	1
5.	5.	crd	5.	5.	0
herbae	herbae	fw-la	herbae	herbae	0
Parietariae	Parietariae	np1	Parietariae	Parietariae	0
,	,	,	,	,	0
wall-flowers	wall-flowers	n2	wallflowers	wallflower	0
.	.	.	.	.	1
And	And	cc	And	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
and	and	cc	and	and	0
sculptured	sculptured	vvn	sculptured	sculpture	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
naile	naile	n1	nail	nail	0
too	too	av	too	too	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
stiffe	stiffe	j	stiff	stiff	0
and	and	cc	and	and	0
potent	potent	j	potent	potent	0
naile	naile	n1	nail	nail	0
then	then	av	then	then	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scottish	Scottish	jp	Scottish	scottish	0
King	King	n1	King	king	0
.	.	.	.	.	1
Judge	Judge	n1	Judge	judge	0
not	not	xx	not	not	0
ex	ex	fw-la	ex	ex	0
ungue	ungue	fw-la	ungue	ungue	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
