THESE	THESE	d	THESE	these	0
two	two	crd	two	two	0
Paradoxes	Paradoxes	n2	Paradoxes	paradox	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
)	)	)	)	)	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
bene	bene	vbn	be	be	0
presented	presented	vvn	presented	present	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
French	French	jp	French	french	0
King	King	n1	King	king	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
meane	meane	j	mean	mean	0
to	to	pc-acp	to	to	0
qualifie	qualifie	vvi	qualify	qualify	0
the	the	dt	the	the	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
complaints	complaints	n2	complaints	complaint	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dearth	dearth	n1	dearth	dearth	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
France	France	np1	France	France	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
prouing	prouing	vvg	proving	prove	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
was	was	vbds	was	be	0
growne	growne	vvn	grown	grow	0
dearer	dearer	jc-jn	dearer	dear	0
in	in	p-acp	in	in	0
three	three	crd	three	three	0
hundred	hundred	crd	hundred	hundred	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
answered	answered	vvn	answered	answer	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
M.	M.	n1	M.	m.	0
Iohn	Iohn	np1	Iohn	John	0
Bodine	Bodine	np1	Bodine	Bodine	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
dedicated	dedicated	vvd	dedicated	dedicate	0
his	his	po31	his	his	0
aunswer	aunswer	n1	answer	answer	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
President	President	n1	President	precedent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
high	high	j	high	high	0
court	court	n1	court	court	0
of	of	pp-f	of	of	0
Par	Par	np1	Par	Par	0
∣	∣	sy	∣	∣	0
liament	liament	n1	liament	liament	0
of	of	pp-f	of	of	0
Fraunce	Fraunce	np1	Fraunce	France	0
,	,	,	,	,	0
