WHEN	WHEN	c-crq	WHEN	when	0
I	I	pns11	I	i	0
DO	DO	vdb	DO	do	0
THINK	THINK	vvi	THINK	think	0
and	and	cc	and	and	0
consider	consider	vvb	consider	consider	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipful	worshipful	j	worshipful	worshipful	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
state	state	n1	state	state	0
and	and	cc	and	and	0
great	great	j	great	great	0
maiestie	maiestie	n1	majesty	majesty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
high	high	j	high	high	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Parlements	Parlements	n2	Parliaments	parliament	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
exellēcie	exellēcie	n1	excellency	excellency	0
and	and	cc	and	and	0
worthi	worthi	j	worthy	worthy	0
¦	¦	sy	¦	¦	0
nes	nes	zz	nes	nes	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
true	true	j	true	true	0
English	English	jp	English	english	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
hono	hono	fw-la	hono	hono	0
¦	¦	sy	¦	¦	0
red	red	j-jn	read	red	0
and	and	cc	and	and	0
imbraced	imbraced	vvn	embraced	embrace	0
:	:	:	:	:	0
I	I	pns11	I	i	0
doo	doo	vdi	do	do	0
foorthwith	foorthwith	av	forthwith	forthwith	0
fall	fall	vvi	fallen	fall	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
dislike	dislike	n1	dislike	dislike	0
as	as	c-acp	as	as	0
wel	wel	av	well	well	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
