COnsidering	COnsidering	vvg	COnsidering	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
how	how	c-crq	how	how	0
much	much	d	much	much	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
glorifie	glorifie	vvi	glorify	glorify	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
al	al	d	all	all	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
speciall	speciall	j	special	special	0
sort	sort	n1	sort	sort	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
the	the	dt	the	the	0
aduancement	aduancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
name	name	n1	name	name	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
holy	holy	j	holy	holy	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
and	and	cc	and	and	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
honoured	honoured	vvn	honoured	honour	0
me	me	pno11	me	i	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
vnworthiest	vnworthiest	js	unworthiest	unworthy	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
doing	doing	vdg	doing	do	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
ouer	ouer	p-acp	over	over	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
guide	guide	n1	guide	guide	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
and	and	cc	and	and	0
conduct	conduct	vvi	conduct	conduct	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
that	that	cst	that	that	0
leades	leades	vvz	leads	lead	0
to	to	p-acp	to	to	0
eternall	eternall	j	eternal	eternal	0
blisse	blisse	n1	bliss	bliss	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
;	;	;	;	;	0
and	and	cc	and	and	0
consi	consi	fw-fr	consi	consi	0
∣	∣	sy	∣	∣	0
dering	dering	j	dering	dering	0
withall	withall	av	withal	withal	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
weakenesse	weakenesse	n1	weakness	weakness	0
and	and	cc	and	and	0
inabi	inabi	fw-la	inabi	inabi	0
∣	∣	sy	∣	∣	0
lity	lity	n1	lity	lity	0
(	(	(	(	(	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
ordinary	ordinary	j	ordinary	ordinary	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
men	men	n2	men	man	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
that	that	d	that	that	0
duty	duty	n1	duty	duty	0
incumbent	incumbent	vvn	incumbent	incumbent	0
and	and	cc	and	and	0
lying	lying	vvg	lying	lie	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
;	;	;	;	;	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
moued	moued	vvn	moved	move	0
,	,	,	,	,	0
(	(	(	(	(	0
being	being	vbg	being	be	0
thereunto	thereunto	av	thereunto	thereunto	0
often	often	av	often	often	0
and	and	cc	and	and	0
earnestly	earnestly	av-j	earnestly	earnest	0
importuned	importuned	vvn	importuned	importune	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
motion	motion	n1	motion	motion	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
seemes	seemes	vvz	seems	seem	0
to	to	pc-acp	to	to	0
require	require	vvi	require	require	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
foorth	foorth	av	forth	forth	0
this	this	d	this	this	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
vpon	vpon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
imploy	imploy	vvi	employ	employ	0
that	that	d	that	that	0
talent	talent	n1	talon	talon	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
trusted	trusted	vvn	trusted	trust	0
me	me	pno11	me	i	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
aduantage	aduantage	n1	advantage	advantage	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
the	the	dt	the	the	0
best	best	js	best	best	0
meanes	meanes	n2	means	mean	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
furthering	furthering	j-vvg	furthering	further	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
heereby	heereby	av	hereby	hereby	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
supply	supply	n1	supply	supply	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
my	my	po11	my	my	0
knowne	knowne	j-vvn	known	know	0
debi	debi	fw-la	debi	debi	0
∣	∣	sy	∣	∣	0
litie	litie	n1	litie	litie	0
of	of	pp-f	of	of	0
body	body	n1	body	body	0
)	)	)	)	)	0
is	is	vbz	is	be	0
wanting	wanting	vvg	wanting	want	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
discharge	discharge	n1	discharge	discharge	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Pastorall	Pastorall	n-jn	Pastoral	pastoral	0
function	function	n1	function	function	0
.	.	.	.	.	1
And	And	cc	And	and	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
these	these	d	these	these	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labours	labours	n2	labours	labour	0
bee	bee	vbb	be	be	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
veiw	veiw	vvb	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
iudicious	iudicious	j	judicious	judicious	0
,	,	,	,	,	0
being	being	vbg	being	be	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
plaine	plaine	j	plain	plain	0
,	,	,	,	,	0
and	and	cc	and	and	0
popular	popular	j	popular	popular	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
matter	matter	n1	matter	matter	0
and	and	cc	and	and	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
sound	sound	j	found	sound	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
corruption	corruption	n1	corruption	corruption	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
vnprofitable	vnprofitable	j-u	unprofitable	profitable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
hearted	hearted	j-vvn	hearted	heart	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
want	want	vvb	want	want	0
those	those	d	those	those	0
speciall	speciall	j	special	special	0
endowments	endowments	n2	endowments	endowment	0
of	of	pp-f	of	of	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
and	and	cc	and	and	0
depth	depth	n1	depth	depth	0
of	of	pp-f	of	of	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
are	are	vbr	are	be	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
informed	informed	vvn	informed	inform	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
sauing	sauing	vvg	saving	save	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
profit	profit	n1	profit	profit	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
things	things	n2	things	thing	0
,	,	,	,	,	0
I	I	pns11	I	i	0
chiefely	chiefely	av-jn	chiefly	chief	0
tender	tender	j	tender	tender	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
