BEing	BEing	vbg	BEing	be	0
aduertised	aduertised	vvn	advertised	advertise	0
by	by	p-acp	by	by	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
fauorably	fauorably	av-j	favorably	favorable	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
specially	specially	av-j	specially	special	0
the	the	dt	the	the	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Innes	Innes	n2	Inns	inn	0
of	of	pp-f	of	of	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
Pamphlets	Pamphlets	n2	Pamphlets	pamphlet	0
,	,	,	,	,	0
entituled	entituled	vvn	entitled	entitle	0
Blundeuiles	Blundeuiles	vvz	Blundeuiles	blundeuile	0
Exercises	Exercises	n2	Exercises	exercise	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
many	many	d	many	many	0
haue	haue	vhb	have	have	0
earnestly	earnestly	av-j	earnestly	earnest	0
studied	studied	vvn	studied	study	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
plainly	plainly	av-j	plainly	plain	0
teach	teach	vvi	teach	teach	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Principles	Principles	n2	Principles	principle	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
Geographie	Geographie	np1	Geographie	Geographie	0
as	as	a-acp	as	as	0
of	of	pp-f	of	of	0
Astronomie	Astronomie	n1	Astronomy	astronomy	0
:	:	:	:	:	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
shew	shew	vvi	show	show	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
any	any	d	any	any	0
way	way	n1	way	way	0
more	more	av-dc	more	more	0
thankfull	thankfull	j	thankful	thankful	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
setting	setting	vvg	setting	set	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
Theoriques	Theoriques	ng2	Theoriques	theoriques	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Planets	Planets	n2	Planets	planet	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
collected	collected	vvn	collected	collect	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Ptolomey	Ptolomey	np1	Ptolomey	Ptolomey	0
,	,	,	,	,	0
and	and	cc	and	and	0
partly	partly	av	partly	partly	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Purbachius	Purbachius	np1	Purbachius	Purbachius	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Commentator	Commentator	n1	Commentator	commentator	0
Reinholdus	Reinholdus	np1	Reinholdus	Reinholdus	0
,	,	,	,	,	0
also	also	av	also	also	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Copernicus	Copernicus	np1	Copernicus	Copernicus	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
most	most	ds	most	most	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Mestelyn	Mestelyn	np1	Mestelyn	Mestelyn	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
cheefely	cheefely	av-jn	chiefly	chief	0
followed	followed	vvn	followed	follow	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
his	his	po31	his	his	0
method	method	n1	method	method	0
and	and	cc	and	and	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
writing	writing	vvg	writing	write	0
greatly	greatly	av-j	greatly	great	0
contenteth	contenteth	vvz	contents	content	0
my	my	po11	my	my	0
humor	humor	n1	humour	humour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
things	things	n2	things	thing	0
followed	followed	vvd	followed	follow	0
Maginus	Maginus	np1	Maginus	Maginus	0
,	,	,	,	,	0
a	a	dt	a	a	0
later	later	jc	later	late	0
vvriter	vvriter	n1	writer	writer	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
came	came	vvd	came	come	0
not	not	xx	not	not	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
almost	almost	av	almost	almost	0
ended	ended	vvn	ended	end	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
haue	haue	vhi	have	have	0
had	had	vhn	had	have	0
him	him	pno31	him	he	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
,	,	,	,	,	0
if	if	cs	if	if	0
my	my	po11	my	my	0
good	good	j	good	good	0
friend	friend	n1	friend	friend	0
M.	M.	n1	M.	m.	0
Doctor	Doctor	n1	Doctor	doctor	0
Browne	Browne	j-jn	brown	brown	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ordinarie	ordinarie	j	ordinary	ordinary	0
Physicians	Physicians	n2	Physicians	physician	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
gotten	gotten	vvn	got	get	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
good	good	j	good	good	0
Doctor	Doctor	n1	Doctor	doctor	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	vvn	passed	pass	0
at	at	p-acp	at	at	0
