AFter	AFter	p-acp	AFter	after	0
that	that	d	that	that	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
the	the	cs	the	than	0
Lord	Lord	n1	Lord	lord	0
chiefe	chiefe	j-jn	chief	chief	0
Iustice	Iustice	n1	Justice	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
plees	plees	j	pleasant	pleasant	0
had	had	vhn	had	have	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
othe	othe	n1	other	oath	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Attourney	Attourney	n1	Attourney	attorney	0
,	,	,	,	,	0
thereby	thereby	av	thereby	thereby	0
admit	admit	vvi	admit	admit	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
me	me	pno11	me	i	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
Attourneys	Attourneys	n2	Attorneys	attorney	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
common	common	j	common	common	0
place	place	n1	place	place	0
,	,	,	,	,	0
it	it	pn31	it	it	0
vvas	vvas	vbds	was	be	0
persvvaded	persvvaded	vvn	persuaded	persuade	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
certain	certain	j	certain	certain	0
good	good	j	good	good	0
friends	friends	n2	friends	friend	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Attourney	Attourney	n1	Attourney	attorney	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
common	common	j	common	common	0
place	place	n1	place	place	0
is	is	vbz	is	be	0
novv	novv	av	now	now	0
a	a	dt	a	a	0
dayes	dayes	n2	days	day	0
grovven	grovven	vvn	grown	grow	0
into	into	p-acp	into	into	0
contempt	contempt	n1	contempt	contempt	0
,	,	,	,	,	0
vvhether	vvhether	cs	whether	whether	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
thē	thē	pno32	them	they	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
is	is	vbz	is	be	0
great	great	j	great	great	0
besides	besides	p-acp	beside	beside	0
an	an	dt	and	a	0
huge	huge	j	huge	huge	0
rable	rable	n1	rabble	rabble	0
of	of	pp-f	of	of	0
Pettipractizers	Pettipractizers	n2	Pettipractizers	pettipractizer	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
Petifoggers	Petifoggers	ng1	Pettifoggers	pettifoggers	0
,	,	,	,	,	0
dispersed	dispersed	vvd	dispersed	disperse	0
into	into	p-acp	into	into	0
euerye	euerye	d	every	every	0
corner	corner	n1	corner	corner	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
or	or	cc	or	or	0
vvhether	vvhether	cs	whether	whether	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
loose	loose	j	lose	loose	0
and	and	cc	and	and	0
levvde	levvde	j	lewd	lewd	0
dealinges	dealinges	n2-vvg	dealings	deal	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
are	are	vbr	are	be	0
manifolde	manifolde	j	manifold	manifold	0
,	,	,	,	,	0
Or	Or	cc	Or	or	0
vvhether	vvhether	cs	whether	whether	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
those	those	d	those	those	0
respectes	respectes	n2	respects	respect	0
I	I	pns11	I	i	0
knovve	knovve	vvb	know	know	0
not	not	xx	not	not	0
:	:	:	:	:	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
vvas	vvas	vbds	was	be	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
cause	cause	n1	cause	cause	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
svvaded	svvaded	vvd	svvaded	svvade	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
time	time	n1	time	time	0
wholy	wholy	av-jn	wholly	whole	0
and	and	cc	and	and	0
altogether	altogether	av	altogether	altogether	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
professed	professed	j-vvn	professed	profess	0
studies	studies	n2	studies	study	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
Lavves	Lavves	n2	Laws	law	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
therby	therby	av	thereby	thereby	0
the	the	dt	the	the	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
enable	enable	vvi	enable	enable	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
calling	calling	n-vvg	calling	call	0
.	.	.	.	.	1
VVherevpon	VVherevpon	c-crq	Whereupon	whereupon	0
,	,	,	,	,	0
resoluing	resoluing	vvg	resolving	resolve	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
determinate	determinate	j	determinate	determinate	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
to	to	p-acp	to	to	0
follovve	follovve	vvb	follow	follow	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
conue	conue	av	conue	conue	0
∣	∣	sy	∣	∣	0
nient	nient	j	nient	nient	0
to	to	pc-acp	to	to	0
seclude	seclude	vvi	seclude	seclude	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
all	all	d	all	all	0
those	those	d	those	those	0
forreine	forreine	j	foreign	foreign	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ercises	ercises	n2	ercises	ercise	0
vvhich	vvhich	r-crq	which	which	0
might	might	vmd	might	may	0
any	any	d	any	any	0
vvayes	vvayes	n2	ways	way	0
seeme	seeme	vvb	seem	seem	0
to	to	p-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
pugne	pugne	vvi	pugne	pugne	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
be	be	vbb	be	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
a	a	dt	a	a	0
proposito	proposito	n1	proposito	proposito	0
aliena	aliena	fw-la	aliena	aliena	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
my	my	po11	my	my	0
studies	studies	n2	studies	study	0
prefixed	prefixed	vvn	prefixed	prefix	0
)	)	)	)	)	0
being	being	vbg	being	be	0
tied	tied	vvn	tied	tie	0
vnto	vnto	p-acp	unto	unto	0
solytarinesse	solytarinesse	n1	solytarinesse	solytarinesse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
lot	lot	n1	lot	lot	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
hapned	hapned	vvn	happened	happen	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
