Erected	Erected	vvn	Erected	erect	0
at	at	p-acp	at	at	0
Edinburgh	Edinburgh	np1	Edinburgh	Edinburgh	0
the	the	dt	the	the	0
26th	26th	ord	26th	26th	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
1692.	1692.	crd	1692.	1692.	1
Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
and	and	cc	and	and	0
Fellow-Sword-Men	Fellow-Sword-Men	n2	Fellow-Sword-Men	fellow-sword-man	0
,	,	,	,	,	0
HAving	HAving	vhg	HAving	have	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
One	One	crd	One	one	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Society	Society	n1	Society	society	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
so	so	av	so	so	0
Fortunate	Fortunate	j	Fortunate	fortunate	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
elected	elected	vvn	elected	elect	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
first	first	ord	first	first	0
Meeting	Meeting	n1	Meeting	meeting	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
cident	cident	n1	cident	cident	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
Year	Year	n1	Year	year	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Gratitude	Gratitude	n1	Gratitude	gratitude	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
Favour	Favour	n1	Favour	favour	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Society	Society	n1	Society	society	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
presenting	presenting	vvg	presenting	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
Token	Token	n1	Token	token	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
very	very	j	very	very	0
small	small	j	small	small	0
One	One	pi	One	one	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
narrowly	narrowly	av-j	narrowly	narrow	0
canvased	canvased	vvn	canvased	canvas	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tain	tain	n1	tain	tain	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
more	more	n1	more	moor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Judgement	Judgement	n1	Judgement	judgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sword	Sword	n1	Sword	sword	0
,	,	,	,	,	0
than	than	cs	than	than	0
probably	probably	av-j	probably	probable	0
(	(	(	(	(	0
considering	considering	vvg	considering	consider	0
its	its	po31	its	its	0
bulk	bulk	n1	bulk	bulk	0
)	)	)	)	)	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
expected	expected	vvn	expected	expect	0
.	.	.	.	.	1
It	It	pn31	It	it	0
therefore	therefore	av	therefore	therefore	0
begs	begs	vvz	begs	beg	0
your	your	po22	your	your	0
Protection	Protection	n1	Protection	protection	0
,	,	,	,	,	0
