PLutarch	PLutarch	ng1	PLutarch	plutarch	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
sheweth	sheweth	vvz	shows	show	0
how	how	c-crq	how	how	0
a	a	dt	a	a	0
man	man	n1	man	man	0
may	may	vmb	may	may	0
winne	winne	vvi	win	win	0
profite	profite	n1	profit	profit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
ene	ene	fw-mi	ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
,	,	,	,	,	0
doeth	doeth	vdz	doth	do	0
manifest	manifest	vvi	manifest	manifest	0
his	his	po31	his	his	0
drift	drift	n1	drift	drift	0
and	and	cc	and	and	0
purpose	purpose	n1	purpose	purpose	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
conuenient	conuenient	j	convenient	convenient	0
simili	simili	fw-la	simili	simili	0
∣	∣	sy	∣	∣	0
tude	tude	n1	tude	tude	0
:	:	:	:	:	0
That	That	cst	That	that	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
olde	olde	j	old	old	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
encounters	encounters	n2	encounters	encounter	0
with	with	p-acp	with	with	0
saluage	saluage	j-jn	salvage	savage	0
and	and	cc	and	and	0
wilde	wilde	j	wild	wild	0
beasts	beasts	n2	beasts	beast	0
,	,	,	,	,	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
great	great	j	great	great	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
coulde	coulde	vmd	could	can	0
but	but	p-acp	but	but	0
saue	saue	vvi	save	save	0
and	and	cc	and	and	0
defende	defende	vvi	defend	defend	0
themselues	themselues	px32	themselves	themselves	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
iniuries	iniuries	n2	injuries	injury	0
and	and	cc	and	and	0
violence	violence	n1	violence	violence	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
succeeding	succeeding	j-vvg	succeeding	succeed	0
ages	ages	n2	ages	age	0
proceeded	proceeded	vvd	proceeded	proceed	0
further	further	av-jc	further	further	0
,	,	,	,	,	0
conuerting	conuerting	vvg	converting	convert	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
foode	foode	n1	food	food	0
,	,	,	,	,	0
their	their	po32	their	their	0
haire	haire	n1	hair	hair	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
garments	garments	n2	garments	garment	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
very	very	j	very	very	0
