BEloved	BEloved	j-vvn	BEloved	belove	0
in	in	p-acp	in	in	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
Disdaine	Disdaine	vvb	Disdain	disdain	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
Read	Read	vvi	Read	read	0
this	this	d	this	this	0
Learned	Learned	j	Learned	learned	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
John	John	np1	John	John	0
Cotton	Cotton	n1	Cotton	cotton	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Bo	Bo	uh	Bo	bo	0
∣	∣	sy	∣	∣	0
ston	ston	n1	ston	ston	0
in	in	p-acp	in	in	0
New-England	New-England	np1	New-England	New-England	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
prejudice	prejudice	n1	prejudice	prejudice	0
thou	thou	pns21	thou	thou	0
mayest	mayest	vm2	mayest	may	0
take	take	vvi	take	take	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
person	person	n1	person	person	0
,	,	,	,	,	0
or	or	cc	or	or	0
publisher	publisher	n1	publisher	publisher	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
if	if	cs	if	if	0
some	some	d	some	some	0
judge	judge	vvb	judge	judge	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
Schisma	Schisma	n1	Schisma	schisma	0
∣	∣	sy	∣	∣	0
ticke	ticke	n1	tick	tick	0
?	?	?	?	?	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
regardeth	regardeth	vvz	regardeth	regard	0
not	not	xx	not	not	0
mans	mans	n2	men	man	0
rash	rash	j	rash	rash	0
censure	censure	n1	censure	censure	0
:	:	:	:	:	0
Seeing	Seeing	vvg	Seeing	see	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
with	with	p-acp	with	with	0
holy	holy	j	holy	holy	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
that	that	cst	that	that	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
Conversion	Conversion	n1	Conversion	conversion	0
persecuted	persecuted	vvn	persecuted	persecute	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
safely	safely	av-j	safely	safe	0
Apologise	Apologise	np1-n	Apologise	apologise	0
for	for	c-acp	for	for	0
himselfe	himselfe	px31	himself	himself	0
;	;	;	;	;	0
Acts	Acts	vvz	Acts	act	0
24.	24.	crd	24.	24.	0
14.	14.	crd	14.	14.	1
That	That	cst	That	that	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
way	way	n1	way	way	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
call	call	vvb	call	call	0
Heresie	Heresie	n1	Heresy	heresy	0
,	,	,	,	,	0
so	so	av	so	so	0
worship	worship	vvb	worship	worship	0
I	I	pns11	I	i	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Fathers	Fathers	n2	Father's	father	0
;	;	;	;	;	0
beleeving	beleeving	vvg	believing	believe	0
all	all	d	all	all	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
.	.	.	.	.	1
Verse	Verse	n1	Verse	verse	0
15.	15.	crd	15.	15.	1
And	And	cc	And	and	0
have	have	vhb	have	have	0
an	an	dt	and	a	0
hope	hope	n1	hope	hope	0
toward	toward	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
also	also	av	also	also	0
allow	allow	vvi	allow	allow	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
surrection	surrection	n1	surrection	surrection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
just	just	j	just	just	0
,	,	,	,	,	0
and	and	cc	and	and	0
unjust	unjust	j	unjust	unjust	0
.	.	.	.	.	1
Verse	Verse	n1	Verse	verse	0
16.	16.	crd	16.	16.	1
And	And	cc	And	and	0
herein	herein	av	herein	herein	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
exercise	exercise	vvi	exercise	exercise	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
alwaies	alwaies	av	always	always	0
a	a	dt	a	a	0
Conscience	Conscience	n1	Conscience	conscience	0
void	void	j	void	void	0
of	of	pp-f	of	of	0
offence	offence	n1	offence	offence	0
toward	toward	p-acp	towards	towards	0
God	God	np1	God	God	0
&	&	cc	&	and	0
towardman	towardman	n1	towardman	towardman	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
lesse	lesse	av-dc	less	less	0
then	then	cs	then	than	0
the	the	dt	the	the	0
least	least	ds	least	least	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Messengers	Messengers	n2	Messengers	messenger	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
called	called	vvn	called	call	0
a	a	dt	a	a	0
Messenger	Messenger	n1	Messenger	messenger	0
,	,	,	,	,	0
or	or	cc	or	or	0
Minister	Minister	vvi	Minister	minister	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
persecuted	persecuted	vvn	persecuted	persecute	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fessed	fessed	vvd	fessed	fess	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
that	that	cst	that	that	0
held	held	vvd	held	hold	0
foorth	foorth	av	forth	forth	0
all	all	d	all	all	0
his	his	po31	his	his	0
Royall	Royall	j	Royal	royal	0
Offices	Offices	n2	Offices	office	0
,	,	,	,	,	0
King	King	n1	King	king	0
,	,	,	,	,	0
Prophet	Prophet	n1	Prophet	prophet	0
,	,	,	,	,	0
Priest	Priest	n1	Priest	priest	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
outward	outward	j	outward	outward	0
administration	administration	n1	administration	administration	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
admit	admit	vvb	admit	admit	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
of	of	pp-f	of	of	0
Members	Members	n2	Members	member	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
:	:	:	:	:	0
And	And	cc	And	and	0
sided	sided	vvd	sided	side	0
with	with	p-acp	with	with	0
the	the	pno32	thee	they	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
tichristian	tichristian	n1	tichristian	tichristian	0
Prelates	Prelates	n2	Prelates	prelate	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
that	that	cst	that	that	0
denyed	denyed	vvd	denied	deny	0
,	,	,	,	,	0
that	that	cst	that	that	0
Jesus	Jesus	np1	Jesus	Jesus	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
calleth	calleth	vvz	calls	call	0
Lyars	Lyars	n2	Liars	liar	0
,	,	,	,	,	0
and	and	cc	and	and	0
Antichristians	Antichristians	np1	Antichristians	Antichristians	0
,	,	,	,	,	0
That	That	cst	That	that	0
denyeth	denyeth	vvz	denyeth	deny	0
the	the	dt	the	the	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
1	1	crd	1	1	0
John	John	np1	John	John	0
2.	2.	crd	2.	2.	0
22.	22.	crd	22.	22.	1
For	For	p-acp	For	for	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
and	and	cc	and	and	0
Priests	Priests	n2	Priests	priest	0
,	,	,	,	,	0
did	did	vdd	did	do	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
our	our	po12	our	our	0
high	high	j	high	high	0
Priest	Priest	n1	Priest	priest	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
liveth	liveth	vvz	lives	live	0
to	to	pc-acp	to	to	0
reconcile	reconcile	vvi	reconcile	reconcile	0
us	us	pno12	us	we	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
persecuted	persecuted	vvn	persecuted	persecute	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
hold	hold	vvb	hold	hold	0
his	his	po31	his	his	0
Kingly	Kingly	j	Kingly	kingly	0
and	and	cc	and	and	0
Propheticall	Propheticall	j	Prophetical	prophetical	0
Office	Office	n1	Office	office	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
eternall	eternall	j	eternal	eternal	0
,	,	,	,	,	0
aswell	aswell	av	aswell	aswell	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
Priesthood	Priesthood	n1	Priesthood	priesthood	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
gathering	gathering	n-vvg	gathering	gather	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Royall	Royall	j	Royal	royal	0
Commission	Commission	n1	Commission	commission	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	1
28.	28.	crd	28.	28.	0
18	18	crd	18	18	0
,	,	,	,	,	1
19	19	crd	19	19	0
,	,	,	,	,	0
