THAT	THAT	cst	THAT	that	0
whereas	whereas	cs	whereas	whereas	0
a	a	dt	a	a	0
Book	Book	n1	Book	book	0
intituled	intituled	vvn	entitled	entitle	0
,	,	,	,	,	0
A	A	dt	A	a	0
Relation	Relation	n1	Relation	relation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Conference	Conference	n1	Conference	conference	0
between	between	p-acp	between	between	0
WILLIAM	WILLIAM	np1	WILLIAM	William	0
LAUDE	LAUDE	zz	LAUDE	laude	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mr.	Mr.	n1	Mr.	mr.	1
FISHER	FISHER	np1	FISHER	Fisher	0
the	the	dt	the	the	0
Iesuite	Iesuite	np1	Iesuite	Jesuit	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
WILLIAM	WILLIAM	np1	WILLIAM	William	0
,	,	,	,	,	0
now	now	av	now	now	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
,	,	,	,	,	0
lately	lately	av-j	lately	late	0
republished	republished	vvn	republished	republish	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
whereof	whereof	c-crq	whereof	whereof	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
obeyed	obeyed	vvn	obeyed	obey	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
:	:	:	:	:	0
And	And	cc	And	and	0
whereas	whereas	cs	whereas	whereas	0
A	A	dt	A	a	0
Reply	Reply	n1	Reply	reply	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Relation	Relation	n1	Relation	relation	0
is	is	vbz	is	be	0
now	now	av	now	now	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Patronage	Patronage	n1	Patronage	patronage	0
of	of	pp-f	of	of	0
JESUS	JESUS	np1	JESUS	Jesus	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
assistance	assistance	n1	assistance	assistance	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
here	here	av	here	here	0
published	published	vvn	published	publish	0
and	and	cc	and	and	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
before	before	p-acp	before	before	0
all	all	d	all	all	0
the	the	dt	the	the	0
World	World	n1	World	world	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Reply	Reply	n1	Reply	reply	0
are	are	vbr	are	be	0
detected	detected	vvn	detected	detect	0
and	and	cc	and	and	0
clearely	clearely	av-j	clearly	clear	0
evinced	evinced	vvd	evinced	evince	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
manifold	manifold	j	manifold	manifold	0
and	and	cc	and	and	0
infallible	infallible	j	infallible	infallible	0
Testimonies	Testimonies	n2	Testimonies	testimony	0
sundry	sundry	j	sundry	sundry	0
particular	particular	j	particular	particular	0
passages	passages	n2	passages	passage	0
and	and	cc	and	and	0
Doctrines	Doctrines	n2	Doctrines	doctrine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Relator	Relator	n1	Relator	relater	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
directly	directly	av-j	directly	direct	0
