THough	THough	cs	THough	though	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
well	well	av	well	well	0
answer	answer	vvi	answer	answer	0
your	your	po22	your	your	0
former	former	j	former	former	0
Rea	Rea	np1	Rea	Rea	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
publish	publish	vvi	publish	publish	0
a	a	dt	a	a	0
true	true	j	true	true	0
Copy	Copy	n1	Copy	copy	0
to	to	pc-acp	to	to	0
anticipate	anticipate	vvi	anticipate	anticipate	0
a	a	dt	a	a	0
false	false	j	false	false	0
one	one	pi	one	one	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
obstinate	obstinate	j	obstinate	obstinate	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
case	case	n1	case	case	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
nature	nature	n1	nature	nature	0
;	;	;	;	;	0
wherein	wherein	c-crq	wherein	wherein	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
my	my	po11	my	my	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
did	did	vdd	did	do	0
seem	seem	vvi	seem	seem	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
)	)	)	)	)	0
too	too	av	too	too	0
great	great	j	great	great	0
a	a	dt	a	a	0
prejudice	prejudice	n1	prejudice	prejudice	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
ease	ease	n1	ease	ease	0
;	;	;	;	;	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
thought	thought	vvn	thought	think	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
friends	friends	n2	friends	friend	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
hazarding	hazarding	vvg	hazarding	hazard	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
safety	safety	n1	safety	safety	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
never	never	av-x	never	never	0
been	been	vbn	been	be	0
delighted	delighted	vvn	delighted	delight	0
to	to	pc-acp	to	to	0
lye	lye	vvi	lie	lie	0
busking	busking	j-vvg	busking	busk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
(	(	(	(	(	0
more	more	n1	more	moor	0
especially	especially	av-j	especially	especial	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
even	even	av	even	even	0
so	so	av	so	so	0
Amo	Amo	fw-la	Amo	amo	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
of	of	pp-f	of	of	0
living	living	vvg	living	live	0
retiredly	retiredly	av-vvn	retiredly	retire	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
shade	shade	n1	shade	shade	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
fain	fain	av-j	fain	fain	0
have	have	vhi	have	have	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
Quiet	Quiet	j-jn	Quiet	quiet	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
more	more	av-dc	more	more	0
conside	conside	av-an	conside	conside	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
then	then	cs	then	than	0
my	my	po11	my	my	0
Reputation	Reputation	n1	Reputation	reputation	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
be	be	vbb	be	be	0
so	so	av	so	so	0
wedded	wedded	vvn	wedded	wed	0
to	to	pc-acp	to	to	0
ease	ease	vvi	ease	ease	0
,	,	,	,	,	0
or	or	cc	or	or	0
safety	safety	n1	safety	safety	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
guiltily	guiltily	av-j	guiltily	guilty	0
to	to	pc-acp	to	to	0
court	court	vvi	court	court	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
sloth	sloth	n1	sloth	sloth	0
,	,	,	,	,	0
or	or	cc	or	or	0
cowardize	cowardize	n1	cowardice	cowardice	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
