THe	THe	dt	THe	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
happily	happily	av-j	happily	happy	0
,	,	,	,	,	0
will	will	vmb	will	will	0
conceive	conceive	vvi	conceive	conceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
Perso	Perso	n1	Person	person	0
∣	∣	sy	∣	∣	0
nages	nages	ng1	nages	nage	0
so	so	av	so	so	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
Eminent	Eminent	j	Eminent	eminent	0
for	for	p-acp	for	for	0
Place	Place	n1	Place	place	0
and	and	cc	and	and	0
Em	Em	np1	Em	Em	0
∣	∣	sy	∣	∣	0
ployment	ployment	n1	ployment	ployment	0
,	,	,	,	,	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
too	too	av	too	too	0
High	High	j	High	high	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
solicited	solicited	vvn	solicited	solicit	0
to	to	pc-acp	to	to	0
undertake	undertake	vvi	undertake	undertake	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
or	or	cc	or	or	0
be	be	vbb	be	be	0
God-Fathers	God-Fathers	n2	God-Fathers	godfather	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Childe	Childe	n1	Child	child	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
mean	mean	j	mean	mean	0
a	a	dt	a	a	0
Birth	Birth	n1	Birth	birth	0
and	and	cc	and	and	0
quality	quality	n1	quality	quality	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
this	this	d	this	this	0
that	that	cst	that	that	0
now	now	av	now	now	0
presents	presents	vvz	presents	present	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
unto	unto	p-acp	unto	unto	0
Your	Your	po22	Your	your	0
Excellencies	Excellencies	n2	Excellencies	excellency	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
Every	Every	d	Every	every	0
one	one	crd	one	one	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Names	Names	n2	Names	name	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
Protection	Protection	n1	Protection	protection	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
have	have	vhb	have	have	0
erected	erected	vvn	erected	erect	0
too	too	av	too	too	0
stately	stately	j	stately	stately	0
,	,	,	,	,	0
and	and	cc	and	and	0
augustuous	augustuous	j	augustuous	augustuous	0
a	a	dt	a	a	0
Portall	Portall	n1	Portal	portal	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
low	low	j	low	low	0
and	and	cc	and	and	0
mean	mean	vvb	mean	mean	0
a	a	dt	a	a	0
Building	Building	n1	Building	building	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
mine	mine	png11	mine	i	0
is	is	vbz	is	be	0
:	:	:	:	:	0
It	It	pn31	It	it	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
denied	denied	vvn	denied	deny	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
such	such	d	such	such	0
a	a	dt	a	a	0
construction	construction	n1	construction	construction	0
may	may	vmb	may	may	0
very	very	av	very	very	0
justly	justly	av-j	justly	just	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
enter	enter	n1	enter	enter	0
∣	∣	sy	∣	∣	0
prise	prise	n1	prize	prize	0
,	,	,	,	,	0
if	if	cs	if	if	0
either	either	d	either	either	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
inferior	inferior	j-jn	inferior	inferior	0
quality	quality	n1	quality	quality	0
and	and	cc	and	and	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
frame	frame	n1	frame	frame	0
and	and	cc	and	and	0
structure	structure	n1	structure	structure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
work	work	n1	work	work	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
strictly	strictly	av-j	strictly	strict	0
eyed	eyed	vvn	eyed	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
garded	garded	vvn	guarded	guard	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
and	and	cc	and	and	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
be	be	vbb	be	be	0
well	well	av	well	well	0
taken	taken	vvn	taken	take	0
into	into	p-acp	into	into	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
scarce	scarce	av-j	scarce	scarce	0
any	any	d	any	any	0
man	man	n1	man	man	0
can	can	vmb	can	can	0
think	think	vvi	think	think	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
Your	Your	po22	Your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
aime	aime	vvb	aim	aim	0
,	,	,	,	,	0
save	save	vvb	save	save	0
only	only	av-j	only	only	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Edification	Edification	n1	Edification	edification	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
the	the	dt	the	the	0
Vindication	Vindication	n1	Vindication	vindication	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
illusions	illusions	n2	illusions	illusion	0
of	of	pp-f	of	of	0
Sectaries	Sectaries	n2	Sectaries	sectary	0
and	and	cc	and	and	0
Novelists	Novelists	n2	Novelists	novelist	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
reduction	reduction	n1	reduction	reduction	0
