Worthy	Worthy	j	Worthy	worthy	0
Patriots	Patriots	n2	Patriots	patriot	0
,	,	,	,	,	0
GOD	GOD	np1	GOD	God	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Brazen-Serpent	Brazen-Serpent	n1	Brazen-Serpent	brazen-serpent	0
;	;	;	;	;	0
thoſe	thoſe	d	thoſe	thoſe	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
ſtung	ſtung	vvn	ſtung	ſtung	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Serpents	Serpents	n2	Serpents	serpent	0
and	and	cc	and	and	0
Dragons	Dragons	n2	Dragons	dragon	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
have	have	vhb	have	have	0
look't	look't	vvb|pn31	looked	look|it	0
upon	upon	a-acp	upon	upon	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
been	been	vbn	been	be	0
healed	healed	vvn	healed	heal	0
.	.	.	.	.	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
overcome	overcome	vvn	overcome	overcome	0
,	,	,	,	,	0
and	and	cc	and	and	0
ſlaine	ſlaine	vvn	slain	slay	0
many	many	d	many	many	0
Lyons	Lyons	n2	Lyons	lion	0
of	of	pp-f	of	of	0
difficulties	difficulties	n2	difficulties	difficulty	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
honey	honey	n1	honey	honey	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
travels	travels	n2	travels	travel	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
thoſe	thoſe	d	thoſe	thoſe	0
ſtrong	ſtrong	j	ſtrong	ſtrong	0
women	women	n2	women	woman	0
of	of	pp-f	of	of	0
Iſrael	Iſrael	np1	Iſrael	Iſrael	0
,	,	,	,	,	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
alone	alone	av-j	alone	alone	0
;	;	;	;	;	0
Therefore	Therefore	av	Therefore	therefore	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
ſtirred	ſtirred	vvn	ſtirred	ſtir	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
help	help	vvi	help	help	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
pangs	pangs	n2	pangs	pang	0
;	;	;	;	;	0
Bee	Bee	vbb	be	be	0
couragious	couragious	j	courageous	courageous	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
and	and	cc	and	and	0
languiſh	languiſh	vvb	languiſh	languiſh	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
ſo	ſo	av	ſo	ſo	0
great	great	j	great	great	0
and	and	cc	and	and	0
neceſſary	neceſſary	j	neceſſary	neceſſary	0
a	a	dt	a	a	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
Reformation	Reformation	n1	Reformation	reformation	0
.	.	.	.	.	1
All	All	av-d	All	all	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
ſweet	ſweet	j	ſweet	ſweet	0
,	,	,	,	,	0
even	even	av	even	even	0
naturall	naturall	j	natural	natural	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
Heathens	Heathens	n2-jn	Heathens	heathens	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Sacrifice	Sacrifice	n1	Sacrifice	sacrifice	0
to	to	p-acp	to	to	0
Minerva	Minerva	np1	Minerva	Minerva	0
(	(	(	(	(	0
their	their	po32	their	their	0
Goddeſſe	Goddeſſe	n1	Goddess	goddess	0
of	of	pp-f	of	of	0
Arts	Arts	n2	Arts	art	0
)	)	)	)	)	0
offered	offered	vvd	offered	offer	0
honey	honey	n1	honey	honey	0
,	,	,	,	,	0
crying	crying	vvg	crying	cry	0
out	out	av	out	out	0
,	,	,	,	,	0
〈	〈	〈	〈	〈	0
in	in	p-acp	in	in	0
non-Latin	non-Latin	j	non-Latin	non-latin	0
alphabet	alphabet	n1	alphabet	alphabet	0
〉	〉	〉	〉	〉	0
,	,	,	,	,	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
ſweet	ſweet	j	ſweet	ſweet	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
ſpirituall	ſpirituall	j	spiritual	spiritual	0
truths	truths	n2	truths	truth	0
are	are	vbr	are	be	0
ſweeter	ſweeter	jc	ſweeter	ſweet	0
then	then	cs	then	than	0
the	the	dt	the	the	0
honey	honey	n1	honey	honey	0
and	and	cc	and	and	0
the	the	dt	the	the	0
honey	honey	n1	honey	honey	0
comb	comb	n1	comb	comb	0
;	;	;	;	;	0
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
even	even	av	even	even	0
that	that	cst	that	that	0
about	about	p-acp	about	about	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
Diſcipline	Diſcipline	n1	Diſcipline	diſcipline	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Worſhip	Worſhip	n1	Worſhip	worſhip	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
deſire	deſire	n1	deſire	deſire	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
their	their	po32	their	their	0
outward	outward	j	outward	outward	0
advantages	advantages	n2	advantages	advantage	0
,	,	,	,	,	0
And	And	cc	And	and	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
thoſe	thoſe	d	thoſe	thoſe	0
works	works	n2	works	work	0
of	of	pp-f	of	of	0
Reformation	Reformation	n1	Reformation	reformation	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
eſpecially	eſpecially	av-j	eſpecially	eſpecial	0
provide	provide	vvb	provide	provide	0
