Precious	Precious	j	Precious	precious	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
a	a	dt	a	a	0
sad	sad	j	sad	sad	0
theam	theam	n1	theam	theme	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sad	sad	j	sad	sad	0
effects	effects	n2	effects	effect	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
produced	produced	vvn	produced	produce	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
on	on	p-acp	on	on	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophet	Prophet	n1	Prophet	prophet	0
,	,	,	,	,	0
Lam.	Lam.	np1	Lam.	Lam.	1
5.16	5.16	crd	5.16	5.16	0
.	.	.	.	.	1
The	The	dt	The	the	0
Crown	Crown	n1	Crown	crown	0
is	is	vbz	is	be	0
faln	faln	vvn	fallen	fall	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
head	head	n1	head	head	0
,	,	,	,	,	0
wo	wo	n1	woe	woe	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
to	to	a-acp	to	to	0
me	me	pno11	me	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sinned	sinned	vvn	sinned	sin	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
but	but	p-acp	but	but	0
mischief	mischief	n1	mischief	mischief	0
hath	hath	vhz	hath	have	0
attended	attended	vvn	attended	attend	0
me	me	pno11	me	i	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
destruction	destruction	n1	destruction	destruction	0
and	and	cc	and	and	0
ruine	ruine	n1	ruin	ruin	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
of	of	pp-f	of	of	0
here	here	av	here	here	0
below	below	a-acp	below	below	0
:	:	:	:	:	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
that	that	cst	that	that	0
God	God	np1	God	God	0
who	who	r-crq	who	who	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
so	so	av	so	so	0
offended	offended	vvn	offended	offend	0
had	had	vhd	had	have	0
appeared	appeared	vvd	appeared	appear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
Eph.	Eph.	np1	Eph.	Eph.	1
2.4	2.4	crd	2.4	2.4	0
Rich	Rich	j	Rich	rich	0
in	in	p-acp	in	in	0
mercy	mercy	n1	mercy	mercy	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
love	love	n1	love	love	0
,	,	,	,	,	0
infinite	infinite	j	infinite	infinite	0
and	and	cc	and	and	0
beyond	beyond	p-acp	beyond	beyond	0
all	all	d	all	all	0
expression	expression	n1	expression	expression	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
perished	perished	vvn	perished	perish	0
,	,	,	,	,	0
and	and	cc	and	and	0
been	been	vbn	been	be	0
