YOU	YOU	pn22	YOU	you	0
will	will	vmb	will	will	0
bear	bear	vvi	bear	bear	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Application	Application	n1	Application	application	0
,	,	,	,	,	0
allowing	allowing	vvg	allowing	allow	0
every	every	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Light	Light	n1	Light	light	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
Conscience	Conscience	n1	Conscience	conscience	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
engage	engage	vvi	engage	engage	0
in	in	p-acp	in	in	0
Disputation	Disputation	n1	Disputation	disputation	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
compas	compas	n1	compass	compass	0
∣	∣	sy	∣	∣	0
sion	sion	n1	sion	sion	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
also	also	av	also	also	0
now	now	av	now	now	0
write	write	vvi	write	write	0
.	.	.	.	.	1
My	My	po11	My	my	0
design	design	n1	design	design	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
falls	falls	vvz	falls	fall	0
in	in	p-acp	in	in	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
desire	desire	n1	desire	desire	0
;	;	;	;	;	0
even	even	av	even	even	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
an	an	dt	and	a	0
undeceiving	undeceiving	j-vvg	undeceiving	undeceive	0
perswasion	perswasion	n1	persuasion	persuasion	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
Glory	Glory	n1	Glory	glory	0
;	;	;	;	;	0
that	that	d	that	that	0
walking	walking	vvg	walking	walk	0
therein	therein	av	therein	therein	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
miss	miss	vvi	miss	miss	0
of	of	pp-f	of	of	0
everlasting	everlasting	j	everlasting	everlasting	0
Rest	Rest	n1	Rest	rest	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
departed	departed	vvn	departed	depart	0
hence	hence	av	hence	hence	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
attain	attain	vvi	attain	attain	0
this	this	d	this	this	0
perswasion	perswasion	n1	persuasion	persuasion	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
great	great	j	great	great	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
worth	worth	j	worth	worth	0
a	a	dt	a	a	0
strict	strict	j	strict	strict	0
