RIght	RIght	av-jn	RIght	right	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
so	so	av	so	so	0
far	far	av-j	far	far	0
obliged	obliged	vvn	obliged	oblige	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
fauour	fauour	n1	favour	favour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
of	of	pp-f	of	of	0
dutie	dutie	n1	duty	duty	0
doe	doe	vdb	do	do	0
no	no	dx	no	no	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
then	then	cs	then	than	0
with	with	p-acp	with	with	0
Dauid	Dauid	np1	Dauid	David	0
,	,	,	,	,	0
shew	shew	vvb	show	show	0
such	such	d	such	such	0
kindnes	kindnes	n1	kindness	kindness	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
to	to	p-acp	to	to	0
Mephiboseth	Mephiboseth	np1	Mephiboseth	Mephiboseth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
Iona	Iona	np1	Iona	Iona	0
∣	∣	sy	∣	∣	0
thans	thans	n2	thans	than	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
take	take	vvb	take	take	0
mee	mee	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lowest	lowest	js	lowest	low	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
reach	reach	vvi	reach	reach	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
,	,	,	,	,	0
endeuouring	endeuouring	vvg	endeavouring	endeavour	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
