ACcording	ACcording	vvg	ACcording	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
emboldened	emboldened	vvn	emboldened	embolden	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
about	about	p-acp	about	about	0
Fifteen	Fifteen	crd	Fifteen	fifteen	0
Years	Years	n2	Years	year	0
past	past	j	past	past	0
,	,	,	,	,	0
I	I	pns11	I	i	0
presented	presented	vvd	presented	present	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
Book	Book	n1	Book	book	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Extraordinary	Extraordinary	j	Extraordinary	extraordinary	0
Importance	Importance	n1	Importance	importance	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
Profit	Profit	n1	Profit	profit	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
Posterity	Posterity	n1	Posterity	posterity	0
;	;	;	;	;	0
and	and	cc	and	and	0
doubting	doubting	vvg	doubting	doubt	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
laid	laid	vvn	laid	lay	0
aside	aside	av	aside	aside	0
and	and	cc	and	and	0
not	not	xx	not	not	0
consider'd	consider'd	vvn	considered	consider	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
Encourag'd	Encourag'd	vvn	Encouraged	encourage	0
(	(	(	(	(	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Pardon	Pardon	n1	Pardon	pardon	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
one	one	crd	one	one	0
more	more	dc	more	more	0
,	,	,	,	,	0
consisting	consisting	vvg	consisting	consist	0
of	of	pp-f	of	of	0
Five	Five	crd	Five	five	0
Propositions	Propositions	n2	Propositions	proposition	0
:	:	:	:	:	0
Neither	Neither	d	Neither	neither	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
ground	ground	n1	ground	ground	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
upon	upon	p-acp	upon	upon	0
vain	vain	j	vain	vain	0
or	or	cc	or	or	0
idle	idle	j	idle	idle	0
Grounds	Grounds	n2	Grounds	ground	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Fruition	Fruition	n1	Fruition	fruition	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
wonderful	wonderful	j	wondered	wonderful	0
Blessings	Blessings	n2	Blessings	blessing	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
endued	endued	vvn	endued	endue	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Sea	Sea	n1	Sea	sea	0
and	and	cc	and	and	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
means	means	n2	means	mean	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
enrich	enrich	vvi	enrich	enrich	0
and	and	cc	and	and	0
fill	fill	vvb	fill	fill	0
your	your	po22	your	your	0
Coffers	Coffers	n2	Coffers	coffer	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
encrease	encrease	vvi	increase	increase	0
such	such	d	such	such	0
Might	Might	vmd	Might	may	0
and	and	cc	and	and	0
Strength	Strength	n1	Strength	strength	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
stand	stand	vvi	stand	stand	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
good	good	j	good	good	0
liking	liking	n-vvg	liking	like	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
Exe	Exe	np1	Exe	Exe	0
∣	∣	sy	∣	∣	0
cution	cution	n1	cution	cution	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
true	true	j	true	true	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
