WEE	WEE	pns12	we	we	0
read	read	vvb	read	read	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
writ	writ	n1	writ	writ	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
structures	structures	n2	structures	structure	0
,	,	,	,	,	0
situations	situations	n2	situations	situation	0
,	,	,	,	,	0
fortifications	fortifications	n2	fortifications	fortification	0
,	,	,	,	,	0
trading	trading	n-vvg	trading	trade	0
,	,	,	,	,	0
accommodations	accommodations	n2	accommodations	accommodation	0
,	,	,	,	,	0
and	and	cc	and	and	0
Epithites	Epithites	n2	Epithets	epithet	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
famous	famous	j	famous	famous	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
populous	populous	j	populous	populous	0
No	No	dx	No	no	0
Nahum	Nahum	np1	Nahum	Nahum	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
8.	8.	crd	8.	8.	1
Nineveh	Nineveh	np1	Nineveh	Nineveh	0
the	the	dt	the	the	0
great	great	j	great	great	0
Jonah	Jonah	np1	Jonah	Jonah	0
1.2	1.2	crd	1.2	1.2	0
.	.	.	.	.	1
Tarsus	Tarsus	np1	Tarsus	Tarsus	0
in	in	p-acp	in	in	0
Cilicia	Cilicia	np1	Cilicia	Cilicia	0
Act.	Act.	n1	Act.	act	0
21.39	21.39	crd	21.39	21.39	0
.	.	.	.	.	1
Golden	Golden	j	Golden	golden	0
Babylon	Babylon	np1	Babylon	Babylon	0
Isa.	Isa.	np1	Isa.	Isa.	0
14.4	14.4	crd	14.4	14.4	0
.	.	.	.	.	1
Renowned	Renowned	j-vvn	Renowned	renown	0
Tyrus	Tyrus	np1	Tyrus	Tyrus	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
26.17	26.17	crd	26.17	26.17	0
.	.	.	.	.	1
Righteous	Righteous	j	Righteous	righteous	0
and	and	cc	and	and	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
Isa.	Isa.	np1	Isa.	Isa.	0
1.26	1.26	crd	1.26	1.26	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
exceeded	exceeded	vvd	exceeded	exceed	0
them	them	pno32	them	they	0
all	all	d	all	all	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
Canaan	Canaan	np1	Canaan	Canaan	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
flowing	flowing	vvg	flowing	flow	0
with	with	p-acp	with	with	0
milk	milk	n1	milk	milk	0
and	and	cc	and	and	0
hony	hony	n1	honey	honey	0
;	;	;	;	;	0
so	so	av	so	so	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
had	had	vhd	had	have	0
its	its	po31	its	its	0
milk	milk	n1	milk	milk	0
