{	{	{	{	{	0
inverted	inverted	vvn	inverted	invert	0
⁂	⁂	⁂	⁂	⁂	0
}	}	}	}	}	0
RIght	RIght	av-jn	RIght	right	0
Honoutable	Honoutable	j	Honoutable	honoutable	0
and	and	cc	and	and	0
Excellent	Excellent	j	Excellent	excellent	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
Saint	Saint	n1	Saint	saint	0
Peter	Peter	np1	Peter	Peter	0
,	,	,	,	,	0
Siluer	Siluer	n1	Silver	silver	0
nor	nor	ccx	nor	nor	0
gold	gold	n1	gold	gold	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
none	none	pix	none	none	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
,	,	,	,	,	0
that	that	cst	that	that	0
giue	giue	vvb	give	give	0
I	I	pns11	I	i	0
you	you	pn22	you	you	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
hauing	hauing	vhg	having	have	0
neither	neither	dx	neither	neither	0
rich	rich	j	rich	rich	0
pearles	pearles	n2	pearls	pearl	0
of	of	pp-f	of	of	0
India	India	np1	India	India	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
fine	fine	j	fine	fine	0
gold	gold	n1	gold	gold	0
of	of	pp-f	of	of	0
Arabia	Arabia	np1	Arabia	Arabia	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
diamonds	diamonds	n2	diamonds	diamond	0
of	of	pp-f	of	of	0
inestimable	inestimable	j	inestimable	inestimable	0
value	value	n1	valve	value	0
;	;	;	;	;	0
neither	neither	dx	neither	neither	0
those	those	d	those	those	0
rich	rich	j	rich	rich	0
treasures	treasures	n2	treasures	treasure	0
,	,	,	,	,	0
Arramaticall	Arramaticall	j	Arramaticall	arramaticall	0
Gums	Gums	n2	Gums	gum	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
cense	cense	n1	cense	cense	0
,	,	,	,	,	0
and	and	cc	and	and	0
sweet	sweet	j	sweet	sweet	0
odours	odours	n2	odours	odour	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
presented	presented	vvn	presented	present	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
Kingly	Kingly	j	Kingly	kingly	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
babe	babe	n1	babe	babe	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
euen	euen	av	even	even	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
infinit	infinit	j	infinite	infinite	0
value	value	n1	valve	value	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
comprehended	comprehended	vvn	comprehended	comprehend	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
weake	weake	j	weak	weak	0
imagination	imagination	n1	imagination	imagination	0
or	or	cc	or	or	0
wit	wit	n1	wit	wit	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
Saint	Saint	n1	Saint	saint	0
Peter	Peter	np1	Peter	Peter	0
gaue	gaue	vvd	gave	give	0
health	health	n1	health	health	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
body	body	n1	body	body	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
deliuer	deliuer	vvb	deliver	deliver	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
health	health	n1	health	health	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
pretious	pretious	j	precious	precious	0
pearle	pearle	n1	pearl	pearl	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
this	this	d	this	this	0
rich	rich	j	rich	rich	0
diamond	diamond	n1	diamond	diamond	0
of	of	pp-f	of	of	0
deuotion	deuotion	n1	devotion	devotion	0
,	,	,	,	,	0
this	this	d	this	this	0
perfect	perfect	j	perfect	perfect	0
gold	gold	n1	gold	gold	0
growing	growing	vvg	growing	grow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
veins	veins	n2	veins	vein	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
excellent	excellent	j	excellent	excellent	0
earth	earth	n1	earth	earth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
blessed	blessed	j-vvn	blessed	bless	0
Paradice	Paradice	n1	Paradise	paradise	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
