¶	¶	¶	¶	¶	0
There	There	a-acp	There	there	0
are	are	vbr	are	be	0
three	three	crd	three	three	0
principall	principall	j-jn	principal	principal	0
causes	causes	n2	causes	cause	0
that	that	cst	that	that	0
dooth	dooth	vdz	doth	do	0
giue	giue	vvi	give	give	0
vnto	vnto	p-acp	unto	unto	0
Conquestes	Conquestes	n2	Conquests	conquest	0
great	great	j	great	great	0
and	and	cc	and	and	0
happye	happye	j	happy	happy	0
successe	successe	n1	success	success	0
.	.	.	.	.	0
viz.	viz.	n1	viz.	viz.	0
Loyaltie	Loyaltie	n1	Loyalty	loyalty	0
in	in	p-acp	in	in	0
Subiects	Subiects	n2-jn	Subjects	subject	0
.	.	.	.	.	1
Exercises	Exercises	n2	Exercises	exercise	0
in	in	p-acp	in	in	0
Armes	Armes	n2	Arms	arm	0
.	.	.	.	.	1
And	And	cc	And	and	0
perfect	perfect	j	perfect	perfect	0
intelligence	intelligence	n1	intelligence	intelligence	0
I	I	pns11	I	i	0
Doo	Doo	vdb	Do	do	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
maruaile	maruaile	n1	marvel	marvel	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
that	that	d	that	that	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
so	so	av	so	so	0
slowe	slowe	j	slow	slow	0
in	in	p-acp	in	in	0
thinges	thinges	n2	things	thing	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
good	good	j	good	good	0
ef	ef	pp-f	ef	of	0
∣	∣	sy	∣	∣	0
fect	fect	n1	fect	fact	0
:	:	:	:	:	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
any	any	d	any	any	0
in	in	p-acp	in	in	0
doubt	doubt	n1	doubt	doubt	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
causes	causes	n2	causes	cause	0
most	most	av-ds	most	most	0
requisite	requisite	j	requisite	requisite	0
?	?	?	?	?	0
dooth	dooth	vdz	doth	do	0
not	not	xx	not	not	0
euery	euery	d	every	every	0
Captaine	Captaine	n1	Captain	captain	0
repine	repine	vvi	repine	repine	0
and	and	cc	and	and	0
thinke	thinke	vvi	think	think	0
much	much	d	much	much	0
that	that	cst	that	that	0
dooth	dooth	vdz	doth	do	0
knowe	knowe	vvi	know	know	0
