Madam	Madam	n1	Madam	madam	0
:	:	:	:	:	0
IN	IN	p-acp	IN	in	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
Times	Times	n2	Times	time	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
Equality	Equality	n1	Equality	equality	0
of	of	pp-f	of	of	0
Condition	Condition	n1	Condition	condition	0
amongst	amongst	p-acp	among	among	0
All	All	d	All	all	0
,	,	,	,	,	0
It	It	pn31	It	it	0
was	was	vbds	was	be	0
Vertue	Vertue	n1	Virtue	virtue	0
which	which	r-crq	which	which	0
after	after	a-acp	after	after	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
Distinction	Distinction	n1	Distinction	distinction	0
,	,	,	,	,	0
and	and	cc	and	and	0
gave	gave	vvd	gave	give	0
the	the	dt	the	the	0
Preheminence	Preheminence	n1	Pre-eminence	pre-eminence	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
flect	flect	vvb	flect	flect	0
a	a	av	a	a	0
generous	generous	j	generous	generous	0
luster	luster	n1	luster	luster	0
upon	upon	p-acp	upon	upon	0
Posterity	Posterity	n1	Posterity	posterity	0
,	,	,	,	,	0
so	so	av	so	so	0
this	this	d	this	this	0
luster	luster	n1	luster	luster	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Access	Access	n1	Access	access	0
,	,	,	,	,	0
and	and	cc	and	and	0
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
Knowledg	Knowledg	n1	Knowledge	knowledge	0
was	was	vbds	was	be	0
wonderfully	wonderfully	av-j	wonderfully	wonderful	0
improved	improved	vvn	improved	improve	0
by	by	p-acp	by	by	0
Education	Education	n1	Education	education	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
every	every	d	every	every	0
Day	Day	n1	Day	day	0
disputed	disputed	vvn	disputed	dispute	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
Professors	Professors	n2	Professors	professor	0
of	of	pp-f	of	of	0
Philosophy	Philosophy	n1	Philosophy	philosophy	0
,	,	,	,	,	0
Whether	Whether	cs	Whither	whether	0
the	the	dt	the	the	0
seed	seed	n1	seed	seed	0
of	of	pp-f	of	of	0
Morall	Morall	j	Moral	moral	0
Vertues	Vertues	n2	Virtues	virtue	0
be	be	vbb	be	be	0
lodged	lodged	vvn	lodged	lodge	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Hearts	Hearts	n2	Hearts	heart	0
by	by	p-acp	by	by	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
granted	granted	vvn	granted	grant	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
denied	denied	vvn	denied	deny	0
but	but	p-acp	but	but	0
Education	Education	n1	Education	education	0
doth	doth	vdz	does	do	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
waken	waken	vvb	waken	waken	0
and	and	cc	and	and	0
quicken	quicken	vvi	quicken	quicken	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
growth	growth	n1	growth	growth	0
,	,	,	,	,	0
and	and	cc	and	and	0
fruitfullness	fruitfullness	n1	fruitfullness	fruitfullness	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
addition	addition	n1	addition	addition	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
ren	ren	fw-it	ren	ren	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
usefull	usefull	j	useful	useful	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
beautifull	beautifull	j	beautiful	beautiful	0
.	.	.	.	.	1
It	It	pn31	It	it	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Constant	Constant	j	Constant	constant	0
Method	Method	n1	Method	method	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Business	Business	n1	Business	business	0
of	of	pp-f	of	of	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
to	to	p-acp	to	to	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fit	fit	n1	fit	fit	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
perfect	perfect	j	perfect	perfect	0
Nature	Nature	n1	Nature	nature	0
.	.	.	.	.	1
And	And	cc	And	and	0
indeed	indeed	av	indeed	indeed	0
without	without	p-acp	without	without	0
Education	Education	n1	Education	education	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
winter	winter	n1	winter	winter	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Sloth	Sloth	n1	Sloth	sloth	0
of	of	pp-f	of	of	0
Igno	Igno	np1	Igno	Igno	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
understandings	understandings	n2	understandings	understanding	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
an	an	dt	and	a	0
extravagance	extravagance	n1	extravagance	extravagance	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Practise	Practise	n1	practice	practice	0
,	,	,	,	,	0
that	that	cst	that	that	0
either	either	d	either	either	0
,	,	,	,	,	0
little	little	j	little	little	0
,	,	,	,	,	0
or	or	cc	or	or	0
