TIs	TIs	d	This	this	0
my	my	po11	my	my	0
work	work	n1	work	work	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
nister	nister	n1	nister	nister	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
out	out	av	out	out	0
the	the	dt	the	the	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
crets	crets	n2-jn	crets	cret	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
and	and	cc	and	and	0
operation	operation	n1	operation	operation	0
.	.	.	.	.	1
Certaine	Certaine	j	Certain	certain	0
persons	persons	n2	persons	person	0
were	were	vbdr	were	be	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
upon	upon	p-acp	upon	upon	0
Mount	Mount	n1	Mount	mount	0
Gerizzim	Gerizzim	np1	Gerizzim	Gerizzim	0
and	and	cc	and	and	0
blesse	blesse	vvi	bless	bless	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
nothing	nothing	pix	nothing	nothing	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
this	this	d	this	this	0
way	way	n1	way	way	0
is	is	vbz	is	be	0
mentioned	mentioned	vvn	mentioned	mention	0
:	:	:	:	:	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
o	o	fw-la	o	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
appointed	appointed	vvn	appointed	appoint	0
to	to	p-acp	to	to	0
stand	stand	vvi	stand	stand	0
upon	upon	p-acp	upon	upon	0
mount	mount	n1	mount	mount	0
Ebal	Ebal	np1	Ebal	Ebal	0
and	and	cc	and	and	0
curse	curse	n1	curse	curse	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
this	this	d	this	this	0
way	way	n1	way	way	0
set	set	vvn	set	set	0
down	down	p-acp	down	down	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
ticularly	ticularly	av-jn	ticularly	ticular	0
and	and	cc	and	and	0
largely	largely	av-j	largely	large	0
D	D	sy	WORSER	d	0
12	12	crd	12	12	0
,	,	,	,	,	0
13	13	crd	13	13	0
,	,	,	,	,	0
14.	14.	crd	14.	14.	1
Is	Is	vbz	Is	be	0
God	God	np1	God	God	0
more	more	av-dc	more	more	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
curse	curse	vvi	curse	curse	0
then	then	av	then	then	0
blesse	blesse	vvi	bless	bless	0
?	?	?	?	?	1
