Daughters	Daughters	ng1	Daughters	daughter	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
TO	TO	p-acp	TO	to	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
this	this	d	this	this	0
Glasse	Glasse	n1	Glass	glass	0
presented	presented	vvd	presented	present	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Request	Request	n1	Request	request	0
,	,	,	,	,	0
That	That	cst	That	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
Eye	Eye	n1	Eye	eye	0
not	not	xx	not	not	0
prejudiced	prejudiced	vvn	prejudiced	prejudice	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Possibly	Possibly	av-j	Possibly	possible	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
here	here	av	here	here	0
see	see	vvi	see	see	0
more	more	dc	more	more	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
his	his	po31	his	his	0
wiles	wiles	n2	wiles	wile	0
,	,	,	,	,	0
your	your	po22	your	your	0
weaknesse	weaknesse	n1	weakness	weakness	0
,	,	,	,	,	0
then	then	av	then	then	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
aware	aware	j	aware	aware	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
If	If	cs	If	if	0
any	any	d	any	any	0
shall	shall	vmb	shall	shall	0
herein	herein	av	herein	herein	0
espy	espy	vvi	espy	espy	0
some	some	d	some	some	0
spots	spots	n2	spots	spot	0
and	and	cc	and	and	0
blemishes	blemishes	n2	blemishes	blemish	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
not	not	xx	not	not	0
becoming	becoming	vvg	becoming	become	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
profession	profession	n1	profession	profession	0
