O	O	sy	O	o	0
Honorable	Honorable	j	Honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
victoryous	victoryous	j	victoryous	victoryous	0
Knyght	Knyght	n1	Knight	knight	0
,	,	,	,	,	0
With	With	p-acp	With	with	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Fortune	Fortune	n1	Fortune	fortune	0
abundantly	abundantly	av-j	abundantly	abundant	0
endewed	endewed	vvn	endued	endue	0
,	,	,	,	,	0
The	The	dt	The	the	0
savegard	savegard	vvi	safeguard	safeguard	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
maynteyner	maynteyner	n1	maynteyner	maynteyner	0
of	of	pp-f	of	of	0
right	right	j-jn	right	right	0
;	;	;	;	;	0
That	That	cst	That	that	0
God	God	np1	God	God	0
you	you	pn22	you	you	0
loveth	loveth	vvz	loves	love	0
indeede	indeede	av	indeed	indeed	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
well	well	av	well	well	0
shewed	shewed	vvn	showed	show	0
:	:	:	:	:	0
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
thys	thys	d	this	this	0
Lond	Lond	n1	Land	land	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
renewed	renewed	vvn	renewed	renew	0
With	With	p-acp	With	with	0
Joy	Joy	n1	Joy	joy	0
and	and	cc	and	and	0
Riches	Riches	n2	Riches	riches	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Charyty	Charyty	n1	Charyty	charity	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
So	So	av	So	so	0
that	that	cst	that	that	0
old	old	j	old	old	0
ranckors	ranckors	n2	rancors	rancor	0
understrewed	understrewed	vvn	understrewed	understrew	0
,	,	,	,	,	0
Tempestuous	Tempestuous	j	Tempestuous	tempestuous	0
troubles	troubles	n2	troubles	trouble	0
and	and	cc	and	and	0
wretchednes	wretchednes	n1	wretchedness	wretchedness	0
shall	shall	vmb	shall	shall	0
cease	cease	vvi	cease	cease	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
syth	syth	c-acp	sith	since	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
by	by	p-acp	by	by	0
tokens	tokens	n2	tokens	token	0
right	right	j-jn	right	right	0
evident	evident	j	evident	evident	0
,	,	,	,	,	0
That	That	cst	That	that	0
God	God	np1	God	God	0
you	you	pn22	you	you	0
guydeth	guydeth	vvz	guideth	guide	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
be	be	vbb	be	be	0
vertuous	vertuous	j	virtuous	virtuous	0
,	,	,	,	,	0
Hating	Hating	vvg	Hating	hate	0
synne	synne	n1	sin	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
insolent	insolent	j	insolent	insolent	0
,	,	,	,	,	0
How	How	c-crq	How	how	0
that	that	cst	that	that	0
also	also	av	also	also	0
Manslaughter	Manslaughter	n1	Manslaughter	manslaughter	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
odious	odious	j	odious	odious	0
,	,	,	,	,	0
Upon	Upon	p-acp	Upon	upon	0
the	the	dt	the	the	0
Indygent	Indygent	j	Indygent	indygent	0
also	also	av	also	also	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
be	be	vbb	be	be	0
piteous	piteous	j	piteous	piteous	0
,	,	,	,	,	0
Greate	Greate	j	Great	great	0
ruth	ruth	n1	ruth	ruth	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
if	if	cs	if	if	0
ye	ye	pn22	you	you	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
lyve	lyve	vvi	live	live	0
longe	longe	av-j	long	long	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
great	great	j	great	great	0
fortune	fortune	n1	fortune	fortune	0
ye	ye	pn22	you	you	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
presumptuous	presumptuous	j	presumptuous	presumptuous	0
,	,	,	,	,	0
Nor	Nor	ccx	Nor	nor	0
vengeable	vengeable	j	vengeable	vengeable	0
of	of	pp-f	of	of	0
mynde	mynde	n1	mind	mind	0
to	to	pc-acp	to	to	0
wreke	wreke	vvi	wreke	wreak	0
every	every	d	every	every	0
wrong	wrong	n-jn	wrong	wrong	0
.	.	.	.	.	1
Theis	Theis	d	These	these	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
