WHosoever	WHosoever	r-crq	WHosoever	whosoever	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
that	that	d	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
parents	parents	n2	parents	parent	0
and	and	cc	and	and	0
friends	friends	n2	friends	friend	0
;	;	;	;	;	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
bent	bent	n1	bent	bent	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
inclination	inclination	n1	inclination	inclination	0
;	;	;	;	;	0
or	or	cc	or	or	0
ur	ur	zz	ur	ur	0
∣	∣	sy	∣	∣	0
ged	ged	vvn	ged	ge	0
by	by	p-acp	by	by	0
necessity	necessity	n1	necessity	necessity	0
;	;	;	;	;	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
concurrence	concurrence	n1	concurrence	concurrence	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
these	these	d	these	these	0
motives	motives	n2	motives	motive	0
;	;	;	;	;	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
centive	centive	j	centive	centive	0
)	)	)	)	)	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
dergoe	dergoe	vvi	dergoe	dergoe	0
the	the	dt	the	the	0
conditi	conditi	n1	conditi	conditi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
servant	servant	n1	servant	servant	0
or	or	cc	or	or	0
prentice	prentice	n1	prentice	apprentice	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
live	live	vvi	live	live	0
well	well	av	well	well	0
and	and	cc	and	and	0
happily	happily	av-j	happily	happy	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Calling	Calling	vvg	Calling	call	0
;	;	;	;	;	0
my	my	po11	my	my	0
purpose	purpose	n1	purpose	purpose	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
little	little	j	little	little	0
treatise	treatise	n1	treatise	treatise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
down	down	a-acp	down	down	0
such	such	d	such	such	0
precepts	precepts	n2	precepts	precept	0
&	&	cc	&	and	0
rules	rules	n2	rules	rule	0
as	as	c-acp	as	as	0
J	J	pns11	J	i	0
thoght	thoght	vvd	thought	think	0
most	most	av-ds	most	most	0
profitable	profitable	j	profitable	profitable	0
to	to	pc-acp	to	to	0
conduce	conduce	vvi	conduce	conduce	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
precepts	precepts	n2	precepts	precept	0
I	I	pns11	I	i	0
reduce	reduce	vvb	reduce	reduce	0
to	to	p-acp	to	to	0
4.	4.	crd	4.	4.	0
heads	heads	n2	heads	head	0
.	.	.	.	.	1
I.	I.	np1	I.	I.	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
which	which	q-crq	which	which	0
,	,	,	,	,	0
J	J	pns11	J	i	0
shew	shew	vvb	show	show	0
you	you	pn22	you	you	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
enter	enter	vvb	enter	enter	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
Calling	Calling	vvg	Calling	call	0
.	.	.	.	.	1
II.	II.	crd	II	ii	0
Jn	Jn	p-acp	Jn	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
you	you	pn22	you	you	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
have	have	vhb	have	have	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
III	III	np1	III	Iii	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
third	third	ord	third	three	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
course	course	n1	course	course	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
after	after	p-acp	after	after	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
complished	complished	j-vvn	complished	complish	0
it	it	pn31	it	it	0
.	.	.	.	.	1
IV.	IV.	np1	IV.	IV.	0
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
tisfied	tisfied	vvn	tisfied	tisfy	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
ticular	ticular	j	ticular	ticular	0
doubts	doubts	n2	doubts	doubt	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
trouble	trouble	vvi	trouble	trouble	0
your	your	po22	your	your	0
conscience	conscience	n1	conscience	conscience	0
.	.	.	.	.	1
I.	I.	np1	I.	I.	0
First	First	ord	First	first	0
then	then	av	then	then	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	c-acp	before	fore	0
you	you	pn22	you	you	0
enter	enter	vvb	enter	enter	0
into	into	p-acp	into	into	0
that	that	d	that	that	0
Calling	Calling	vvg	Calling	call	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
1.	1.	crd	1.	1.	1
To	To	p-acp	To	to	0
pray	pray	vvb	pray	pray	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
placed	placed	vvn	placed	place	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
&	&	cc	&	and	0
religious	religious	j	religious	religious	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
.	.	.	.	.	0
p.	p.	n1	p.	p.	0
3	3	crd	3	3	0
2.	2.	crd	2.	2.	1
To	To	p-acp	To	to	0
peruse	peruse	vvi	peruse	peruse	0
such	such	d	such	such	0
precepts	precepts	n2	precepts	precept	0
,	,	,	,	,	0
promi	promi	fw-la	promi	promi	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
,	,	,	,	,	0
threatnings	threatnings	n2-vvg	threatenings	threaten	0
,	,	,	,	,	0
and	and	cc	and	and	0
examples	examples	n2	examples	example	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
recorded	recorded	vvn	recorded	record	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
tures	tures	av	tures	tures	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
pag	pag	n1	page	page	0
.	.	.	.	.	1
4	4	crd	4	4	0
3.	3.	crd	3.	3.	1
To	To	p-acp	To	to	0
consider	consider	vvi	consider	consider	0
some	some	d	some	some	0
sayings	sayings	n2-vvg	sayings	say	0
and	and	cc	and	and	0
wri	wri	n2	wri	wri	0
∣	∣	sy	∣	∣	0
tings	tings	zf	tings	thing	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
25	25	crd	25	25	0
4.	4.	crd	4.	4.	1
To	To	p-acp	To	to	0
read	read	vvi	read	read	0
over	over	p-acp	over	over	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gaine	gaine	n1	gain	gain	0
and	and	cc	and	and	0
againe	againe	av	again	again	0
this	this	d	this	this	0
little	little	j	little	little	0
manu	manu	fw-la	manu	manu	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
.	.	.	.	.	0
p.	p.	n1	p.	p.	0
33	33	crd	33	33	0
II.	II.	crd	II	ii	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
actually	actually	av-j	actually	actual	0
pla	pla	zz	pla	pla	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Calling	Calling	vvg	Calling	call	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
such	such	d	such	such	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
as	as	c-acp	as	as	0
become	become	vvb	become	become	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
matter	matter	n1	matter	matter	0
and	and	cc	and	and	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
.	.	.	.	.	0
p.	p.	n1	p.	p.	0
37	37	crd	37	37	0
In	In	p-acp	In	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
forme	forme	n1	form	form	0
some	some	d	some	some	0
duties	duties	n2	duties	duty	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
;	;	;	;	;	0
some	some	d	some	some	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
some	some	d	some	some	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
Master	Master	n1	Master	master	0
&	&	cc	&	and	0
Mistris	Mistris	n1	Mistress	mistress	0
;	;	;	;	;	0
some	some	d	some	some	0
towards	towards	p-acp	towards	towards	0
their	their	po32	their	their	0
children	children	n2	children	child	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
any	any	d	any	any	0
;	;	;	;	;	0
some	some	d	some	some	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
your	your	po22	your	your	0
fellow-servants	fellow-servants	n2	fellow-servants	fellow-servant	0
;	;	;	;	;	0
some	some	d	some	some	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
those	those	d	those	those	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
deal	deal	vvi	deal	deal	0
with	with	p-acp	with	with	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Masters	Masters	ng1	Master's	master	0
businesse	businesse	n1	business	business	0
;	;	;	;	;	0
some	some	d	some	some	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
neighbours	neighbours	n2	neighbours	neighbour	0
and	and	cc	and	and	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
quaintance	quaintance	n1	quaintance	quaintance	0
;	;	;	;	;	0
and	and	cc	and	and	0
some	some	d	some	some	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
parents	parents	n2	parents	parent	0
,	,	,	,	,	0
kinsfolks	kinsfolks	n2	kinsfolks	kinsfolk	0
&	&	cc	&	and	0
friends	friends	n2	friends	friend	0
.	.	.	.	.	0
p.	p.	n1	p.	p.	0
37	37	crd	37	37	0
,	,	,	,	,	0
38	38	crd	38	38	0
I	I	pns11	I	i	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
God	God	np1	God	God	0
,	,	,	,	,	0
is	is	vbz	is	be	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Table	Table	n1	Table	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mandements	mandements	n2	mandments	mandment	0
,	,	,	,	,	0
and	and	cc	and	and	0
declared	declared	vvd	declared	declare	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
in	in	p-acp	in	in	0
divers	divers	j	diverse	diverse	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
positions	positions	n2	positions	position	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Decalogue	Decalogue	n1	Decalogue	decalogue	0
,	,	,	,	,	0
and	and	cc	and	and	0
something	something	pi	something	something	0
touched	touched	vvn	touched	touch	0
upon	upon	p-acp	upon	upon	0
in	in	p-acp	in	in	0
