SrR	SrR	np1	SrR	SrR	0
,	,	,	,	,	0
your	your	po22	your	your	0
letter	letter	n1	letter	letter	0
contained	contained	vvd	contained	contain	0
a	a	dt	a	a	0
request	request	n1	request	request	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
say	say	vvi	say	say	0
,	,	,	,	,	0
was	was	vbds	was	be	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
tast	tast	n1	taste	taste	0
,	,	,	,	,	0
bitter-sweet	bitter-sweet	j	bittersweet	bittersweet	0
.	.	.	.	.	1
It	It	pn31	It	it	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
pleasing	pleasing	vvg	pleasing	please	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
proceeding	proceeding	vvg	proceeding	proceed	0
frō	frō	p-acp	from	from	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
quality	quality	n1	quality	quality	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
disposition	disposition	n1	disposition	disposition	0
,	,	,	,	,	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
seeme	seeme	vvi	seem	seem	0
bitter	bitter	j	bitter	bitter	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
dem	dem	fw-ge	dem	dem	0
und	und	fw-ge	und	und	0
was	was	vbds	was	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
giue	giue	vvi	give	give	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
Censure	Censure	n1	Censure	censure	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
some	some	d	some	some	0
obseruations	obseruations	n2	observations	observation	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
such	such	d	such	such	0
particular	particular	j	particular	particular	0
pas	pas	vvb	pass	pass	0
∣	∣	sy	∣	∣	0
sages	sages	n2-jn	sages	sage	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
might	might	vmd	might	may	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
need	need	vvi	need	need	0
explication	explication	n1	explication	explication	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
M.	M.	n1	M.	m.	0
Doctour	Doctour	n1	Doctor	doctor	0
Kellison	Kellison	np1	Kellison	Kellison	0
his	his	po31	his	his	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ec	Ec	np1	Ec	Ec	0
∣	∣	sy	∣	∣	0
clesiasticall	clesiasticall	j	clesiasticall	clesiasticall	0
Hierarchy	Hierarchy	n1	Hierarchy	hierarchy	0
.	.	.	.	.	1
You	You	pn22	You	you	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
natu	natu	fw-la	natu	natu	0
∣	∣	sy	∣	∣	0
rall	rall	n1	rall	rall	0
antipathy	antipathy	n1	antipathy	antipathy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
complexion	complexion	n1	complexion	complexion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
businesses	businesses	n2	businesses	business	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
any	any	d	any	any	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
Controuer	Controuer	n1	Controuer	controuer	0
∣	∣	sy	∣	∣	0
sy	sy	j	sy	sy	0
;	;	;	;	;	0
besids	besids	p-acp	besides	beside	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
helpes	helpes	n2	helps	help	0
,	,	,	,	,	0
requisite	requisite	j	requisite	requisite	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
an	an	dt	and	a	0
employment	employment	n1	employment	employment	0
.	.	.	.	.	1
Neuerthelesse	Neuerthelesse	av	Nevertheless	nevertheless	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
submitted	submitted	vvn	submitted	submit	0
my	my	po11	my	my	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Commaund	Commaund	vvb	Command	command	0
,	,	,	,	,	0
&	&	cc	&	and	0
do	do	vdb	do	do	0
heere	heere	av	here	here	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
notes	notes	n2	notes	note	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
gathered	gathered	vvn	gathered	gather	0
:	:	:	:	:	0
professing	professing	vvg	professing	profess	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
occurred	occurred	vvd	occurred	occur	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
beleeue	beleeue	vvi	believe	believe	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
