Beloved	Beloved	j-vvn	Beloved	belove	0
,	,	,	,	,	0
AT	AT	p-acp	AT	at	0
your	your	po22	your	your	0
motion	motion	n1	motion	motion	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
request	request	n1	request	request	0
these	these	d	these	these	0
papers	papers	n2	papers	paper	0
are	are	vbr	are	be	0
become	become	vvn	become	become	0
more	more	av-dc	more	more	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	av-j	like	like	0
then	then	av	then	then	0
was	was	vbds	was	be	0
intended	intended	vvn	intended	intend	0
:	:	:	:	:	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
rare	rare	j	rare	rare	0
worth	worth	n1	worth	worth	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
satis	satis	fw-la	satis	satis	0
∣	∣	sy	∣	∣	0
fle	fle	vvi	fle	flee	0
your	your	po22	your	your	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
esteem	esteem	n1	esteem	esteem	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
more	more	av-dc	more	more	0
inclinable	inclinable	j	inclinable	inclinable	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
bear	bear	vvb	bear	bear	0
some	some	d	some	some	0
testimony	testimony	n1	testimony	testimony	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
much	much	av-d	much	much	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
some	some	d	some	some	0
spreading	spreading	j-vvg	spreading	spread	0
evils	evils	n2-jn	evils	evil	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
times	times	n2	times	time	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
upon	upon	p-acp	upon	upon	0
second	second	ord	second	second	0
thoughts	thoughts	n2	thoughts	thought	0
I	I	pns11	I	i	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
recoil	recoil	vvi	recoil	recoil	0
,	,	,	,	,	0
and	and	cc	and	and	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
contented	contented	vvn	contented	content	0
my	my	po11	my	my	0
self	self	n1	self	self	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
private	private	j	private	private	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
jment	jment	fw-fr	jment	jment	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
plenty	plenty	n1	plenty	plenty	0
of	of	pp-f	of	of	0
books	books	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
slendernesse	slendernesse	n1	slenderness	slenderness	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
these	these	d	these	these	0
contain	contain	vvb	contain	contain	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
the	the	dt	the	the	0
temper	temper	n1	temper	temper	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
laugh	laugh	vvi	laugh	laugh	0
at	at	p-acp	at	at	0
and	and	cc	and	and	0
deride	deride	vvi	deride	deride	0
my	my	po11	my	my	0
doings	doings	n2-vdg	doings	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
accuse	accuse	vvb	accuse	accuse	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
arrogancy	arrogancy	n1	arrogance	arrogancy	0
and	and	cc	and	and	0
soolishnesse	soolishnesse	n1	soolishnesse	soolishnesse	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
arregancy	arregancy	n1	arregancy	arregancy	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
sought	sought	vvd	sought	seek	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
footishnesse	footishnesse	n1	footishnesse	footishnesse	0
in	in	p-acp	in	in	0
endeavouring	endeavouring	vvg	endeavouring	endeavour	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
(	(	(	(	(	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
filling	filling	vvg	filling	fill	0
the	the	dt	the	the	0
world	world	n1	world	world	0
with	with	p-acp	with	with	0
)	)	)	)	)	0
such	such	d	such	such	0
dead	dead	j	dead	dead	0
discourses	discourses	n2	discourses	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
had	had	vhd	had	have	0
stifled	stifled	vvn	stifled	stifle	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
never	never	av	never	never	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
