DEare	DEare	n1	DEare	deer	0
and	and	cc	and	and	0
loving	loving	j-vvg	loving	love	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
about	about	p-acp	about	about	0
tenne	tenne	crd	tenne	ten	0
daies	daies	n2	days	day	0
agon	agon	av	agon	ago	0
your	your	po22	your	your	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
9.	9.	crd	9.	9	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
demand	demand	vvb	demand	demand	0
and	and	cc	and	and	0
solicite	solicite	vvi	solicit	solicit	0
againe	againe	av	again	again	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
so	so	av	so	so	0
flatly	flatly	av-j	flatly	flat	0
denied	denied	vvn	denied	deny	0
you	you	pn22	you	you	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
late	late	j	late	late	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
chamber	chamber	n1	chamber	chamber	0
:	:	:	:	:	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
the	the	dt	the	the	0
relation	relation	n1	relation	relation	0
which	which	r-crq	which	which	0
then	then	av	then	then	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
speech	speech	n1	speech	speech	0
had	had	vhd	had	have	0
this	this	d	this	this	0
last	last	n1	last	last	0
Christmas	Christmas	np1	Christmas	Christmas	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
my	my	po11	my	my	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
good	good	j	good	good	0
friend	friend	n1	friend	friend	0
and	and	cc	and	and	0
patron	patron	n1	patron	patron	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
guest	guest	n1	guest	guest	0
the	the	dt	the	the	0
old	old	j	old	old	0
Lawyer	Lawyer	n1	Lawyer	lawyer	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
matters	matters	n2	matters	matter	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
state	state	n1	state	state	0
and	and	cc	and	and	0
country	country	n1	country	country	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
•	•	•	•	•	0
presse	presse	vvi	press	press	0
me	me	pno11	me	i	0
very	very	av	very	very	0
seriously	seriously	av-j	seriously	serious	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
instant	instant	n-jn	instant	instant	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
request	request	n1	request	request	0
and	and	cc	and	and	0
many	many	d	many	many	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
desire	desire	n1	desire	desire	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
this	this	d	this	this	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
my	my	po11	my	my	0
consent	consent	n1	consent	consent	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
secret	secret	j-jn	secret	secret	0
meanes	meanes	n2	means	mean	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
assure	assure	vvb	assure	assure	0
me	me	pno11	me	i	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
there	there	a-acp	there	there	0
find	find	vvi	find	find	0
out	out	av	out	out	0
:	:	:	:	:	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
confer	confer	vvi	confer	confer	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
matter	matter	n1	matter	matter	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
parties	parties	n2	parties	party	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
whom	whom	r-crq	whom	who	0
principally	principally	av-j	principally	principal	0
it	it	pn31	it	it	0
concerneth	concerneth	vvz	concerns	concern	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
receipt	receipt	n1	receipt	receipt	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
letter	letter	n1	letter	letter	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
:	:	:	:	:	0
)	)	)	)	)	0
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
them	them	pno32	them	they	0
averse	averse	j	averse	averse	0
and	and	cc	and	and	0
nothing	nothing	pix	nothing	nothing	0
inclined	inclined	vvn	inclined	incline	0
to	to	pc-acp	to	to	0
grant	grant	vvi	grant	grant	0
your	your	po22	your	your	0
demand	demand	n1	demand	demand	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
after	after	c-acp	after	after	0
upon	upon	p-acp	upon	upon	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
and	and	cc	and	and	0
assurance	assurance	n1	assurance	assurance	0
of	of	pp-f	of	of	0
secresie	secresie	n1	secrecy	secrecy	0
(	(	(	(	(	0
especially	especially	av-j	especially	especial	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
contained	contained	vvn	contained	contain	0
,	,	,	,	,	0
repugnant	repugnant	j	repugnant	repugnant	0
to	to	p-acp	to	to	0
charity	charity	n1	charity	charity	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
bounden	bounden	vvn	bounden	bind	0
duty	duty	n1	duty	duty	0
towards	towards	p-acp	towards	towards	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gratious	gratious	j	gracious	gracious	0
Princes	Princes	n2	Princes	prince	0
or	or	cc	or	or	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
both	both	d	both	both	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
fore-warning	fore-warning	n1	forewarning	forewarning	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
dangers	dangers	n2	dangers	danger	0
imminent	imminent	j	imminent	imminent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
)	)	)	)	)	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
referred	referred	vvn	referred	refer	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
Proviso	Proviso	n1	Proviso	proviso	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
know	know	vvi	know	know	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
yeeld	yeeld	vvi	yield	yield	0
consent	consent	n1	consent	consent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
