DEAR	DEAR	j-jn	DEAR	dear	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
following	following	j-vvg	following	follow	0
piece	piece	n1	piece	piece	0
has	has	vhz	has	have	0
a	a	dt	a	a	0
natural	natural	j	natural	natural	0
recourse	recourse	n1	recourse	recourse	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
'twas	'twas	pn31|vbds	'twas	it|be	0
your	your	po22	your	your	0
character	character	n1	character	character	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
distinguish'd	distinguish'd	vvn	distinguished	distinguish	0
Prospects	Prospects	n2	Prospects	prospect	0
which	which	r-crq	which	which	0
Greenwich	Greenwich	np1	Greenwich	Greenwich	0
afforded	afforded	vvd	afforded	afford	0
,	,	,	,	,	0
(	(	(	(	(	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
a	a	pns31	a	he	0
very	very	av	very	very	0
strict	strict	j	strict	strict	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
My	My	po11	My	my	0
self	self	n1	self	self	0
)	)	)	)	)	0
that	that	d	that	that	0
first	first	ord	first	first	0
inclin'd	inclin'd	vvn	inclined	incline	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
attempt	attempt	vvi	attempt	attempt	0
the	the	dt	the	the	0
draught	draught	n1	draught	draught	0
:	:	:	:	:	0
and	and	cc	and	and	0
tho'	tho'	cs	though	though	0
Cooper's	Cooper's	npg1	Cooper's	Cooper	0
Hill	Hill	n1	Hill	hill	0
has	has	vhz	has	have	0
not	not	xx	not	not	0
suffer'd	suffer'd	vvn	suffered	suffer	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
pretend	pretend	vvi	pretend	pretend	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
Ori	Ori	fw-la	Ori	ori	0
∣	∣	sy	∣	∣	0
ginal	ginal	n1	ginal	ginal	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
Honour	Honour	n1	Honour	honour	0
enough	enough	av-d	enough	enough	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
Copy	Copy	n1	Copy	copy	0
after	after	p-acp	after	after	0
That	That	d	That	that	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
gives	gives	vvz	gives	give	0
me	me	pno11	me	i	0
an	an	dt	and	a	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
the	the	dt	the	the	0
just	just	j	just	just	0
regard	regard	n1	regard	regard	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
commend	commend	vvb	commend	commend	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
John	John	np1	John	John	0
Denham	Denham	np1	Denham	Denham	0
,	,	,	,	,	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
Wit	Wit	n1	Wit	wit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Poem	Poem	n1	Poem	poem	0
I	I	pns11	I	i	0
mention'd	mention'd	vvn	mentioned	mention	0
is	is	vbz	is	be	0
just	just	j	just	just	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
celebrated	celebrated	vvn	celebrated	celebrate	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Master-piece	Master-piece	n1	Masterpiece	masterpiece	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
kind	kind	n1	kind	kind	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
then	then	av	then	then	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Hill	Hill	n1	Hill	hill	0
He	He	pns31	He	he	0
chose	chose	vvn	chosen	choose	0
admits	admits	vvz	admits	admit	0
not	not	xx	not	not	0
such	such	d	such	such	0
variety	variety	n1	variety	variety	0
of	of	pp-f	of	of	0
Prospect	Prospect	n1	Prospect	prospect	0
as	as	p-acp	as	as	0
Greenwich	Greenwich	np1	Greenwich	Greenwich	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
Barclay	Barclay	np1	Barclay	Barclay	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
Tra	Tra	np1	Tra	Tra	0
∣	∣	sy	∣	∣	0
veller	veller	n1	veller	veller	0
,	,	,	,	,	0
preferrs	preferrs	vvz	prefers	prefer	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
He	He	pns31	He	he	0
had	had	vhd	had	have	0
seen	seen	vvn	seen	see	0
)	)	)	)	)	0
one	one	pi	one	one	0
may	may	vmb	may	may	0
easily	easily	av-j	easily	easy	0
conceive	conceive	vvi	conceive	conceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
That	That	d	That	that	0
famous	famous	j	famous	famous	0
Poet	Poet	n1	Poet	poet	0
taken	taken	vvn	taken	take	0
Greenwich	Greenwich	np1	Greenwich	Greenwich	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Theme	Theme	n1	Theme	theme	0
,	,	,	,	,	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hands	hands	n2	hands	hand	0
have	have	vhb	have	have	0
rais'd	rais'd	vvn	raised	raise	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
even	even	av	even	even	0
above	above	p-acp	above	above	0
Cooper's	Cooper's	npg1	Cooper's	Cooper	0
Hill.	Hill.	n1	Hill.	hill	1
But	But	p-acp	But	but	0
here	here	av	here	here	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
an	an	dt	and	a	0
artless	artless	j	artless	artless	0
performance	performance	n1	performance	performance	0
as	as	c-acp	as	as	0
Mine	Mine	png11	Mine	i	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
least	least	ds	least	least	0
Comparison	Comparison	n1	Comparison	comparison	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
only	only	av-j	only	only	0
attempted	attempted	vvn	attempted	attempt	0
what	what	r-crq	what	what	0
He	He	pns31	He	he	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
made	made	vvn	made	make	0
compleat	compleat	j	complete	complete	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
have	have	vhi	have	have	0
proportion	proportion	n1	proportion	proportion	0
,	,	,	,	,	0
good	good	j	good	good	0
sense	sense	n1	sense	sense	0
,	,	,	,	,	0
beauty	beauty	n1	beauty	beauty	0
,	,	,	,	,	0
and	and	cc	and	and	0
harmony	harmony	n1	harmony	harmony	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Poem	Poem	n1	Poem	poem	0
,	,	,	,	,	0
belongs	belongs	vvz	belongs	belong	0
to	to	p-acp	to	to	0
very	very	av	very	very	0
few	few	d	few	few	0
Writers	Writers	n2	Writers	writer	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
days	days	n2	days	day	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
but	but	p-acp	but	but	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
several	several	j	several	several	0
living	living	j-vvg	living	live	0
Examples	Examples	n2	Examples	example	0
of	of	pp-f	of	of	0
true	true	j	true	true	0
Genius	Genius	n1	Genius	genius	0
,	,	,	,	,	0
and	and	cc	and	and	0
refin'd	refin'd	j-vvn	refined	refine	0
Art	Art	n1	Art	art	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
tho'	tho'	cs	though	though	0
they	they	pns32	they	they	0
ne'er	ne'er	av-x	never	never	0
attempted	attempted	vvd	attempted	attempt	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
Epick	Epick	j	Epic	epic	0
Poems	Poems	n2	Poems	poem	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Judgment	Judgment	n1	Judgement	judgement	0
of	of	pp-f	of	of	0
Skillful	Skillful	j	Skilful	skilful	0
Men	Men	n2	Men	man	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
exceeded	exceeded	vvn	exceeded	exceed	0
any	any	d	any	any	0
Modern	Modern	j	Modern	modern	0
Ʋndertakings	Ʋndertakings	n2-vvg	Ʋndertakings	ʋndertaking	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
kind	kind	n1	kind	kind	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
even	even	av	even	even	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
where	where	q-crq	where	where	0
do	do	vdb	do	do	0
we	we	pns12	we	we	0
find	find	vvi	find	find	0
a	a	dt	a	a	0
concurrence	concurrence	n1	concurrence	concurrence	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Qualifications	Qualifications	n2	Qualifications	qualification	0
,	,	,	,	,	0
that	that	cst	that	that	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
distinguish'd	distinguish'd	vvn	distinguished	distinguish	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Poet	Poet	n1	Poet	poet	0
?	?	?	?	?	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
often	often	av	often	often	0
agreed	agreed	vvn	agreed	agree	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
making	making	n-vvg	making	make	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
good	good	j	good	good	0
Poet	Poet	n1	Poet	poet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
requisite	requisite	j	requisite	requisite	0
that	that	cst	that	that	0
He	He	pns31	He	he	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
round	round	j	round	round	0
stock	stock	n1	stock	stock	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
a	a	dt	a	a	0
Conversation	Conversation	n1	Conversation	conversation	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
Versifying	Versifying	vvg	Versifying	versify	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
things	things	n2	things	thing	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
a	a	dt	a	a	0
Genius	Genius	n1	Genius	genius	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
are	are	vbr	are	be	0
so	so	av	so	so	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
nected	nected	vvn	nected	nect	0
with	with	p-acp	with	with	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
finish'd	finish'd	vvn	finished	finish	0
without	without	p-acp	without	without	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
That	That	cst	That	that	0
Mr.	Mr.	n1	Mr.	mr.	0
Waller	Waller	np1	Waller	Waller	0
was	was	vbds	was	be	0
perhaps	perhaps	av	perhaps	perhaps	0
the	the	dt	the	the	0
Man	Man	n1	Man	man	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
that	that	d	that	that	0
has	has	vhz	has	have	0
most	most	av-ds	most	most	0
deserv'd	deserv'd	vvn	deserved	deserve	0
this	this	d	this	this	0
Cha	Cha	zz	Cha	cha	0
∣	∣	sy	∣	∣	0
racter	racter	n1	racter	racter	0
,	,	,	,	,	0
will	will	n1	will	will	0
,	,	,	,	,	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
consideration	consideration	n1	consideration	consideration	0
go	go	vvb	go	go	0
very	very	av	very	very	0
near	near	av-j	near	near	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
granted	granted	vvn	granted	grant	0
.	.	.	.	.	1
He	He	pns31	He	he	0
was	was	vbds	was	be	0
indeed	indeed	av	indeed	indeed	0
a	a	dt	a	a	0
great	great	j	great	great	0
Genius	Genius	n1	Genius	genius	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
had	had	vhd	had	have	0
He	He	pns31	He	he	0
