MADAME	MADAME	n1	MADAME	madam	0
I	I	pns11	I	i	0
Presume	Presume	vvb	Presume	presume	0
not	not	xx	not	not	0
novv	novv	av	now	now	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
proach	proach	vvb	proach	proach	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
designe	designe	n1	design	design	0
to	to	pc-acp	to	to	0
begg	begg	vvi	beg	beg	0
your	your	po22	your	your	0
Fauours	Fauours	n2	Favours	favour	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
this	this	d	this	this	0
,	,	,	,	,	0
vse	vse	vvb	use	use	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
case	case	n1	case	case	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
Creature	Creature	n1	Creature	creature	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
a	a	dt	a	a	0
Seruice	Seruice	n1	Service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
a	a	dt	a	a	0
great	great	j	great	great	0
one	one	pi	one	one	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
many	many	d	many	many	0
Princely	Princely	j	Princely	princely	0
benefitts	benefitts	n2	benefits	benefit	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
already	already	av	already	already	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
gratious	gratious	j	gracious	gracious	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
heer	heer	av	her	here	0
,	,	,	,	,	0
I	I	pns11	I	i	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
a	a	dt	a	a	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
magnify	magnify	vvb	magnify	magnify	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
your	your	po22	your	your	0
ovvne	ovvne	d	own	own	0
naturall	naturall	j	natural	natural	0
greatnes	greatnes	n1	greatness	greatness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
avovving	avovving	n-vvg	avovving	avov	0
,	,	,	,	,	0
&	&	cc	&	and	0
protecting	protecting	vvg	protecting	protect	0
,	,	,	,	,	0
and	and	cc	and	and	0
enlargeing	enlargeing	vvg	enlarging	enlarge	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
incomparable	incomparable	j	incomparable	incomparable	0
