THat	THat	cst	THat	that	0
princely	princely	j	princely	princely	0
prophet	prophet	n1	prophet	prophet	0
Dauid	Dauid	np1	Dauid	David	0
describing	describing	vvg	describing	describe	0
the	the	dt	the	the	0
peruerse	peruerse	j	perverse	perverse	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
wicked	wicked	j	wicked	wicked	0
properties	properties	n2	properties	property	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vngodlie	vngodlie	j	ungodly	ungodly	0
and	and	cc	and	and	0
reprobates	reprobates	n2-jn	reprobates	reprobate	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
crimes	crimes	n2	crimes	crime	0
wherof	wherof	c-crq	whereof	whereof	0
he	he	pns31	he	he	0
accuse	accuse	vvb	accuse	accuse	0
them	them	pno32	them	they	0
,	,	,	,	,	0
he	he	pns31	he	he	0
laith	laith	vvz	laith	laith	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
theyr	theyr	po32	their	their	0
charge	charge	n1	charge	charge	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
called	called	vvn	called	call	0
vpon	vpon	p-acp	upon	upon	0
God	God	np1	God	God	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
wordes	wordes	n2	words	word	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
manifestly	manifestly	av-j	manifestly	manifest	0
teache	teache	vvi	teach	teach	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
whiche	whiche	r-crq	which	which	0
doo	doo	vdb	do	do	0
not	not	xx	not	not	0
geue	geue	vvi	give	give	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
saythfull	saythfull	j	saythfull	saythfull	0
prayer	prayer	n1	prayer	prayer	0
and	and	cc	and	and	0
ge	ge	zz	ge	ge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
whiche	whiche	r-crq	which	which	0
doo	doo	vdb	do	do	0
saye	saye	vvi	say	say	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
hartes	hartes	n2	hearts	heart	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
God	God	n1	God	god	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Godly	Godly	j	Godly	godly	0
by	by	p-acp	by	by	0
theyr	theyr	po32	their	their	0
earnest	earnest	n1	earnest	earnest	0
and	and	cc	and	and	0
continu	continu	vvi	continue	continue	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
praying	praying	vvg	praying	pray	0
and	and	cc	and	and	0
praysing	praysing	vvg	praising	praise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
doo	doo	vdb	do	do	0
declare	declare	vvi	declare	declare	0
their	their	po32	their	their	0
reuerend	reuerend	j-jn	reverend	reverend	0
feare	feare	n1	fear	fear	0
they	they	pns32	they	they	0
beare	beare	vvb	bear	bear	0
towardes	towardes	p-acp	towards	towards	0
his	his	po31	his	his	0
diuine	diuine	j-jn	divine	divine	0
maiestye	maiestye	n1	majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
theyr	theyr	po32	their	their	0
vnfayned	vnfayned	j	unfeigned	unfeigned	0
loue	loue	n1	love	love	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
is	is	vbz	is	be	0
grafted	grafted	vvn	grafted	graft	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
harts	harts	n2	hearts	heart	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
gratious	gratious	j	gracious	gracious	0
and	and	cc	and	and	0
diuine	diuine	j-jn	divine	divine	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wardes	wardes	n2	wards	ward	0
their	their	po32	their	their	0
heauenly	heauenly	j	heavenly	heavenly	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
louing	louing	j-vvg	loving	love	0
father	father	n1	father	father	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
they	they	pns32	they	they	0
ar	ar	vbr	are	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
coraged	coraged	vvn	couraged	courage	0
willingly	willingly	av-j	willingly	willing	0
and	and	cc	and	and	0
chearfully	chearfully	av-j	cheerfully	cheerful	0
to	to	pc-acp	to	to	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
waye	waye	n1	way	way	0
of	of	pp-f	of	of	0
Godlynes	Godlynes	n1	Godliness	godliness	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
their	their	po32	their	their	0
lyues	lyues	n2	lives	life	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
will	will	n1	will	will	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
feare	feare	vvb	fear	fear	0
and	and	cc	and	and	0
loue	loue	n1	love	love	0
:	:	:	:	:	0
So	So	av	So	so	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
contrarye	contrarye	j-jn	contrary	contrary	0
syde	syde	n1	side	side	0
,	,	,	,	,	0
the	the	dt	the	the	0
vngodly	vngodly	j	ungodly	ungodly	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
doo	doo	vdb	do	do	0
not	not	xx	not	not	0
call	call	vvi	call	call	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
pon	pon	av	pon	pon	0
their	their	po32	their	their	0
God	God	n1	God	god	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
prayse	prayse	vvi	praise	praise	0
him	him	pno31	him	he	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
euidently	euidently	av-j	evidently	evident	0
declare	declare	vvi	declare	declare	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
stand	stand	vvb	stand	stand	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
loue	loue	vvi	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
despise	despise	vvb	despise	despise	0
him	him	pno31	him	he	0
as	as	p-acp	as	as	0
one	one	pi	one	one	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
nei	nei	fw-la	nei	nei	0
∣	∣	sy	∣	∣	0
