YOur	YOur	po22	YOur	your	0
Countryman	Countryman	n1	Countryman	countryman	0
Mouffet	Mouffet	vvi	Mouffet	mouffet	0
,	,	,	,	,	0
a	a	dt	a	a	0
notable	notable	j	notable	notable	0
ornament	ornament	n1	ornament	ornament	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
Physicians	Physicians	n2	Physicians	physician	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
polite	polite	j	polite	polite	0
and	and	cc	and	and	0
solid	solid	j	solid	solid	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
experienced	experienced	vvn	experienced	experience	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
Sciences	Sciences	n2	Sciences	science	0
,	,	,	,	,	0
had	had	vhd	had	have	0
formerly	formerly	av-j	formerly	former	0
entituled	entituled	vvn	entitled	entitle	0
this	this	d	this	this	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
Insects	Insects	vvz	Insects	insect	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ever	ever	av	ever	ever	0
famous	famous	j	famous	famous	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
wise	wise	j	wise	wise	0
above	above	p-acp	above	above	0
her	her	po31	her	her	0
Sex	Sex	n1	Sex	sex	0
,	,	,	,	,	0
valiant	valiant	j	valiant	valiant	0
,	,	,	,	,	0
born	born	vvn	born	bear	0
to	to	pc-acp	to	to	0
reign	reign	vvi	reign	reign	0
well	well	av	well	well	0
,	,	,	,	,	0
and	and	cc	and	and	0
ruled	ruled	vvd	ruled	rule	0
so	so	av	so	so	0
many	many	d	many	many	0
years	years	n2	years	year	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Votes	Votes	n2	Votes	vote	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
own	own	d	own	own	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
dertakings	dertakings	n2-vvg	dertakings	dertaking	0
and	and	cc	and	and	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
successeful	successeful	j	successful	successful	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
envied	envied	vvn	envied	envy	0
at	at	p-acp	at	at	0
)	)	)	)	)	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
gun	gun	n1	gun	gun	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
augmented	augmented	vvn	augmented	augment	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
polished	polished	j-vvn	polished	polish	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
now	now	av	now	now	0
comes	comes	vvz	comes	come	0
forth	forth	av	forth	forth	0
exactly	exactly	av-j	exactly	exact	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
fected	fected	n1	fected	fected	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
no	no	dx	no	no	0
indignity	indignity	n1	indignity	indignity	0
