THIS	THIS	d	THIS	this	0
famous	famous	j	famous	famous	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Sate	Sate	vvd	Sat	sit	0
so	so	av	so	so	0
long	long	av-j	long	long	0
,	,	,	,	,	0
did	did	vdd	did	do	0
so	so	av	so	so	0
much	much	av-d	much	much	0
Mis	Mis	vvb	Miss	miss	0
∣	∣	sy	∣	∣	0
chief	chief	j-jn	chief	chief	0
,	,	,	,	,	0
and	and	cc	and	and	0
involved	involved	vvn	involved	involve	0
the	the	dt	the	the	0
three	three	crd	three	three	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
doms	doms	n2	doms	dom	0
in	in	p-acp	in	in	0
Guilt	Guilt	j-vvn	Gilded	gild	0
and	and	cc	and	and	0
Misery	Misery	n1	Misery	misery	0
,	,	,	,	,	0
met	met	vvn	met	meet	0
at	at	p-acp	at	at	0
Westminster	Westminster	np1	Westminster	Westminster	0
,	,	,	,	,	0
the	the	dt	the	the	0
3d	3d	crd	3d	3d	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
1640.	1640.	crd	1640.	1640.	1
Through	Through	p-acp	Through	through	0
the	the	dt	the	the	0
Misrepresentations	Misrepresentations	n2	Misrepresentations	misrepresentation	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
unluckily	unluckily	av-j	unluckily	unlucky	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
part	part	vvi	part	part	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
preceding	preceding	j-vvg	preceding	precede	0
Parliament	Parliament	n1	Parliament	parliament	0
upon	upon	p-acp	upon	upon	0
ill	ill	j-jn	ill	ill	0
Terms	Terms	n2	Terms	term	0
,	,	,	,	,	0
and	and	cc	and	and	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
Time	Time	n1	Time	time	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
them	them	pno32	them	they	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
thought	thought	vvn	thought	think	0
a	a	dt	a	a	0
very	very	j	very	very	0
impolitick	impolitick	j	impolitic	impolitic	0
Step	Step	n1	Step	step	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
no	no	av-dx	no	no	0
worse	worse	av-jc	worse	worse	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
Men	Men	n2	Men	man	0
of	of	pp-f	of	of	0
Moderation	Moderation	n1	Moderation	moderation	0
,	,	,	,	,	0
and	and	cc	and	and	0
zealous	zealous	j	zealous	zealous	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
Good	Good	j	Good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
Reverse	Reverse	n1	Reverse	reverse	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Suc	Suc	fw-fr	Suc	suc	0
∣	∣	sy	∣	∣	0
cessors	cessors	n2	cessors	cessor	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
never	never	av-x	never	never	0
ceas'd	ceas'd	vvn	ceased	cease	0
'till	'till	p-acp	till	till	0
they	they	pns32	they	they	0
drew	drew	vvd	drew	draw	0
upon	upon	p-acp	upon	upon	0
these	these	d	these	these	0
Nations	Nations	n2	Nations	nation	0
infinite	infinite	j	infinite	infinite	0
Calamities	Calamities	n2	Calamities	calamity	0
,	,	,	,	,	0
and	and	cc	and	and	0
Disre	Disre	av-j	Disre	disre	0
∣	∣	sy	∣	∣	0
pute	pute	n1	pute	pute	0
,	,	,	,	,	0
and	and	cc	and	and	0
even	even	av	even	even	0
Contempt	Contempt	n1	Contempt	contempt	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
very	very	j	very	very	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
COMMONS	COMMONS	n2	COMMONS	commons	0
.	.	.	.	.	1
AMONG	AMONG	p-acp	AMONG	among	0
many	many	d	many	many	0
illegal	illegal	j	illegal	illegal	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
weak	weak	j	weak	weak	0
