TVllie	TVllie	np1	TVllie	TVllie	0
hauing	hauing	vhg	having	have	0
intreated	intreated	vvn	entreated	entreat	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
age	age	n1	age	age	0
,	,	,	,	,	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
fitter	fitter	n1	fitter	fit	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
his	his	po31	his	his	0
writings	writings	n2	writings	write	0
vnto	vnto	p-acp	unto	unto	0
,	,	,	,	,	0
than	than	cs	than	than	0
Ti	Ti	uh	Ti	ti	0
∣	∣	sy	∣	∣	0
tus	tus	fw-la	tus	tus	0
Pomponius	Pomponius	np1	Pomponius	Pomponius	0
Atticus	Atticus	np1	Atticus	Atticus	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
well	well	av	well	well	0
striken	striken	vvn	stricken	strike	0
in	in	p-acp	in	in	0
age	age	n1	age	age	0
.	.	.	.	.	1
And	And	cc	And	and	0
hauing	hauing	vhg	having	have	0
compiled	compiled	vvn	compiled	compile	0
a	a	dt	a	a	0
treatise	treatise	n1	treatise	treatise	0
of	of	pp-f	of	of	0
friend	friend	n1	friend	friend	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
he	he	pns31	he	he	0
pic	pic	j	pic	pic	0
∣	∣	sy	∣	∣	0
ked	ked	j	ked	ked	0
out	out	av	out	out	0
the	the	dt	the	the	0
same	same	d	same	same	0
Atticus	Atticus	np1	Atticus	Atticus	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
friendship	friendship	n1	friendship	friendship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
:	:	:	:	:	0
alwai	alwai	n1	alwai	alwai	0
chusing	chusing	vvg	choosing	choose	0
pratrons	pratrons	n2	pratrons	pratron	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
much	much	d	much	much	0
vnlike	vnlike	av-j	unlike	unlike	0
vnto	vnto	p-acp	unto	unto	0
Luke	Luke	av	Lycia	luke	0
the	the	dt	the	the	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
uangelist	uangelist	n1	uangelist	uangelist	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
writing	writing	vvg	writing	write	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
chose	chose	vvd	chosen	choose	0
out	out	av	out	out	0
Theophilus	Theophilus	np1	Theophilus	Theophilus	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
frēd	frēd	n1	friend	friend	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
meet	meet	j	meet	meet	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
vnto	vnto	p-acp	unto	unto	0
:	:	:	:	:	0
So	So	av	So	so	0
I	I	pns11	I	i	0
hauing	hauing	vhg	having	have	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
weaknes	weaknes	n1	weakness	weakness	0
written	written	vvn	written	write	0
somthing	somthing	pi	something	something	0
of	of	pp-f	of	of	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
found	found	vvn	found	find	0
none	none	pix	none	none	0
more	more	av-dc	more	more	0
meet	meet	j	meet	meet	0
vnto	vnto	p-acp	unto	unto	0
whōe	whōe	ro-crq	whom	who	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
my	my	po11	my	my	0
writings	writings	n2	writings	write	0
,	,	,	,	,	0
thā	thā	cs	than	than	0
your	your	po22	your	your	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
whose	whose	rg-crq	whose	who	0
hands	hands	n2	hands	hand	0
my	my	po11	my	my	0
self	self	n1	self	self	0
haue	haue	vhb	have	have	0
recei	recei	n1	recei	recei	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
still	still	av	still	still	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
,	,	,	,	,	0
excee	excee	n1	excee	excee	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
much	much	d	much	much	0
comfort	comfort	n1	comfort	comfort	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
who	who	r-crq	who	who	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
more	more	dc	more	more	0
interest	interest	n1	interest	interest	0
in	in	p-acp	in	in	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
comforters	comforters	n2	comforters	comforter	0
?	?	?	?	?	1
And	And	cc	And	and	0
what	what	q-crq	what	what	0
fitter	fitter	jc	fitter	fit	0
patrones	patrones	n1	patroness	patroness	0
of	of	pp-f	of	of	0
comfort	comfort	n1	comfort	comfort	0
can	can	vmb	can	can	0
a	a	dt	a	a	0
man	man	n1	man	man	0
imagin	imagin	vvb	imagine	imagine	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
than	than	cs	than	than	0
