Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
IN	IN	p-acp	IN	in	0
ancient	ancient	j	ancient	ancient	0
offerings	offerings	n2	offerings	offering	0
to	to	p-acp	to	to	0
Deity	Deity	n1	Deity	deity	0
,	,	,	,	,	0
Turtles	Turtles	n2	Turtles	turtle	0
,	,	,	,	,	0
Incense	Incense	n1	Incense	incense	0
,	,	,	,	,	0
and	and	cc	and	and	0
Flowers	Flowers	n2	Flowers	flower	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
acceptable	acceptable	j	acceptable	acceptable	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
zeale	zeale	n1	zeal	zeal	0
of	of	pp-f	of	of	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
though	though	cs	though	though	0
of	of	pp-f	of	of	0
little	little	j	little	little	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
or	or	cc	or	or	0
advantage	advantage	n1	advantage	advantage	0
;	;	;	;	;	0
let	let	vvb	let	let	0
my	my	po11	my	my	0
respect	respect	n1	respect	respect	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
command	command	n1	command	command	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
excusable	excusable	j	excusable	excusable	0
the	the	dt	the	the	0
worthlesse	worthlesse	j	worthless	worthless	0
following	following	j-vvg	following	follow	0
lines	lines	n2	lines	line	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
otherwise	otherwise	av	otherwise	otherwise	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sleightnesse	sleightnesse	n1	sleightnesse	sleightnesse	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
stuffe	stuffe	n1	stuff	stuff	0
and	and	cc	and	and	0
making	making	n-vvg	making	make	0
should	should	vmd	should	shall	0
never	never	av-x	never	never	0
have	have	vhi	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
undergoe	undergoe	vvi	undergo	undergo	0
the	the	dt	the	the	0
weight	weight	n1	weight	weight	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
censure	censure	n1	censure	censure	0
:	:	:	:	:	0
True	True	j	True	true	0
Turtles	Turtles	n2	Turtles	turtle	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
find	find	vvi	find	find	0
them	them	pno32	them	they	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
simple	simple	j	simple	simple	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
unfurnisht	unfurnisht	j-vvn	unfurnished	unfurnish	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Serpentine	Serpentine	j	Serpentine	serpentine	0
climbing	climbing	j-vvg	climbing	climb	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
subtilty	subtilty	n1	subtlety	subtlety	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
:	:	:	:	:	0
Incense	Incense	n1	Incense	incense	0
and	and	cc	and	and	0
Smoake	Smoake	n1	Smoke	smoke	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gentlest	gentlest	js	gentlest	gentle	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
not	not	xx	not	not	0
far	far	av-j	far	far	0
fetcht	fetcht	vvn	fetched	fetch	0
Aromatiques	Aromatiques	n2-j	Aromatiques	aromatic	0
,	,	,	,	,	0
troublesome	troublesome	j	troublesome	troublesome	0
and	and	cc	and	and	0
intoxicating	intoxicating	vvg	intoxicating	intoxicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
brain	brain	n1	brain	brain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
mild	mild	j	mild	mild	0
as	as	c-acp	as	as	0
flowers	flowers	n2	flowers	flower	0
unmedicinall	unmedicinall	j	unmedicinal	unmedicinal	0
for	for	p-acp	for	for	0
morality	morality	n1	morality	morality	0
,	,	,	,	,	0
meere	meere	j	mere	mere	0
Poseys	Poseys	n2	Posies	posy	0
or	or	cc	or	or	0
Nosegays	Nosegays	n2	Nosegays	nosegay	0
,	,	,	,	,	0
gay	gay	j	gay	gay	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
first	first	ord	first	first	0
sense	sense	n1	sense	sense	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
happily	happily	av-j	happily	happy	0
you	you	pn22	you	you	0
prove	prove	vvb	prove	prove	0
them	them	pno32	them	they	0
,	,	,	,	,	0
favour	favour	vvb	favour	favour	0
them	them	pno32	them	they	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
their	their	po32	their	their	0
passe	passe	n1	pass	pass	0
without	without	p-acp	without	without	0
further	further	jc	further	further	0
examination	examination	n1	examination	examination	0
,	,	,	,	,	0
I	I	pns11	I	i	0
promise	promise	vvb	promise	promise	0
not	not	xx	not	not	0
my	my	po11	my	my	0
self	self	n1	self	self	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shal	shal	vmb	shall	shall	0
please	please	vvi	please	please	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
please	please	vvb	please	please	0
not	not	xx	not	not	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
(	(	(	(	(	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
serious	serious	j	serious	serious	0
humour	humour	n1	humour	humour	0
)	)	)	)	)	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
them	them	pno32	them	they	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
faults	faults	n2	faults	fault	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
thinke	thinke	vvb	think	think	0
them	them	pno32	them	they	0
not	not	xx	not	not	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
mending	mending	n-vvg	mending	mend	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
to	to	pc-acp	to	to	0
