MADAM	MADAM	n1	MADAM	madam	0
GIve	GIve	vvb	GIve	give	0
me	me	pno11	me	i	0
leave	leave	vvi	leave	leave	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledg	knowledg	n1	knowledge	knowledge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
stant	stant	j	stant	stant	0
respect	respect	n1	respect	respect	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
ability	ability	n1	ability	ability	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
this	this	d	this	this	0
little	little	j	little	little	0
book	book	n1	book	book	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
Ladyships	Ladyships	ng1	Ladyships	ladyship	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
whiles	whiles	cs	while	while	0
God	God	np1	God	God	0
put	put	vvd	put	put	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
enrich	enrich	vvb	enrich	enrich	0
you	you	pn22	you	you	0
heaven	heaven	n1	heaven	heaven	0
∣	∣	sy	∣	∣	0
ward	ward	n1	ward	ward	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
and	and	cc	and	and	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Right	Right	av-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
witnes	witnes	n1	witness	witness	0
as	as	p-acp	as	as	0
elsewhere	elsewhere	av	elsewhere	elsewhere	0
,	,	,	,	,	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
family	family	n1	family	family	0
,	,	,	,	,	0
I	I	pns11	I	i	0
sought	sought	vvd	sought	seek	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
save	save	p-acp	save	save	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
Crucified	Crucified	vvn	Crucified	crucify	0
;	;	;	;	;	0
neither	neither	av-dx	neither	neither	0
indeed	indeed	av	indeed	indeed	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
left	left	vvn	left	leave	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
thing	thing	n1	thing	thing	0
to	to	p-acp	to	to	0
glory	glory	n1	glory	glory	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
save	save	p-acp	save	save	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
judg	judg	vvb	judge	judge	0
no	no	dx	no	no	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
happinesse	happinesse	n1	happiness	happiness	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
wish	wish	vvi	wish	wish	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
once	once	a-acp	once	once	0
agen	agen	av	again	again	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
anciently	anciently	av-jn	anciently	ancient	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
Christian	Christian	njp	Christian	christian	0
glory	glory	n1	glory	glory	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
controversie	controversie	n1	controversy	controversy	0
,	,	,	,	,	0
if	if	cs	if	if	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
the	the	dt	the	the	0
breach	breach	n1	breach	breach	0
in	in	p-acp	in	in	0
Christendome	Christendome	np1	Christendome	Christendom	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
touch	touch	n1	touch	touch	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
be	be	vbb	be	be	0
ef	ef	pp-f	ef	of	0
∣	∣	sy	∣	∣	0
fectually	fectually	av-j	fectually	fectual	0
made	made	vvd	made	make	0
up	up	a-acp	up	up	0
again	again	av	again	again	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
times	times	n2	times	time	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
expe	expe	n1	expe	expe	0
∣	∣	sy	∣	∣	0
cted	cted	vvd	cted	ct	0
)	)	)	)	)	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
casting	casting	vvg	casting	cast	0
that	that	cst	that	that	0
Lignum	Lignum	fw-la	Lignum	lignum	0
Jun.	Jun.	np1	Jun.	Jun.	0
Exod.	Exod.	np1	Exod.	Exod.	1
15.25	15.25	crd	15.25	15.25	0
,	,	,	,	,	0
comp	comp	zz	comp	comp	0
.	.	.	.	.	0
with	with	p-acp	with	with	0
Rev.	Rev.	n1	Rev.	rev.	0
8	8	crd	8	8	0
11	11	crd	11	11	0
Wood	Wood	n1	Wood	wood	0
into	into	p-acp	into	into	0
these	these	d	these	these	0
bitter	bitter	j	bitter	bitter	0
and	and	cc	and	and	0
troubled	troubled	j-vvn	troubled	trouble	0
waters	waters	n2	waters	water	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
Rev.	Rev.	n1	Rev.	rev.	1
22.2	22.2	crd	22.2	22.2	0
tree	tree	n1	tree	tree	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
none	none	pix	none	none	0
but	but	p-acp	but	but	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
only	only	av-j	only	only	0
sufficient	sufficient	j	sufficient	sufficient	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
healing	healing	n-vvg	healing	heal	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
distempered	distempered	j-vvn	distempered	distemper	0
Nati	Nati	n1	Nati	nati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
therefore	therefore	av	therefore	therefore	0
that	that	d	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
once	once	a-acp	once	once	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
forbear	forbear	vvi	forbear	forbear	0
this	this	d	this	this	0
clashing	clashing	n-vvg	clashing	clash	0
,	,	,	,	,	0
and	and	cc	and	and	0
dash	dash	vvb	dash	dash	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
themselves	themselves	px32	themselves	themselves	0
in	in	p-acp	in	in	0
peeces	peeces	n2	pieces	piece	0
,	,	,	,	,	0
one	one	pi	one	one	0
against	against	p-acp	against	against	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
matters	matters	n2	matters	matter	0
external	external	j	external	external	0
,	,	,	,	,	0
trivial	trivial	j	trivial	trivial	0
,	,	,	,	,	0
and	and	cc	and	and	0
Circumstantiall	Circumstantiall	j	Circumstantial	circumstantial	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
:	:	:	:	:	0
&	&	cc	&	and	0
would	would	vmd	would	will	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
content	content	vvi	content	content	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
alone	alone	av-j	alone	alone	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
,	,	,	,	,	0
&	&	cc	&	and	0
everlasting	everlasting	j	everlasting	everlasting	0
:	:	:	:	:	0
and	and	cc	and	and	0
account	account	vvb	account	account	0
it	it	pn31	it	it	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nor	nor	ccx	nor	nor	0
,	,	,	,	,	0
and	and	cc	and	and	0
happinesse	happinesse	n1	happiness	happiness	0
enough	enough	av-d	enough	enough	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
matters	matters	n2	matters	matter	0
appertaining	appertaining	vvg	appertaining	appertain	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
scarce	scarce	av-j	scarce	scarce	0
the	the	dt	the	the	0
alone	alone	j	alone	alone	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
this	this	d	this	this	0
day	day	n1	day	day	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
grasse	grasse	n1	grass	grass	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
field	field	n1	field	field	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
only	only	av-j	only	only	0
[	[	[	[	[	0
the	the	dt	the	the	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
]	]	]	]	]	0
lives	lives	vvz	lives	live	0
,	,	,	,	,	0
&	&	cc	&	and	0
reigns	reigns	vvz	reigns	reign	0
,	,	,	,	,	0
a	a	dt	a	a	0
King	King	n1	King	king	0
to	to	p-acp	to	to	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
evermore	evermore	av	evermore	evermore	0
:	:	:	:	:	0
That	That	cst	That	that	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
count	count	vvb	count	count	0
again	again	av	again	again	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
Madam	Madam	n1	Madam	madam	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
constant	constant	j	constant	constant	0
