SHEWETH	SHEWETH	vvz	SHOWS	show	0
THAT	THAT	cst	THAT	that	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
the	the	dt	the	the	0
third	third	ord	third	three	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
last	last	vvi	last	last	0
1651	1651	crd	1651	1651	0
,	,	,	,	,	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Souldiery	Souldiery	n1	Soldiery	soldiery	0
)	)	)	)	)	0
did	did	vdd	did	do	0
peruse	peruse	vvi	peruse	peruse	0
and	and	cc	and	and	0
examine	examine	vvi	examine	examine	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
Hartford	Hartford	np1	Hartford	Hartford	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
compts	compts	vvz	compts	count	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
accompt	accompt	n1	account	account	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
drawn	drawn	vvn	drawn	draw	0
out	out	av	out	out	0
,	,	,	,	,	0
have	have	vhb	have	have	0
discovered	discovered	vvn	discovered	discover	0
(	(	(	(	(	0
5097l	5097l	crd	5097l	5097l	0
.	.	.	.	.	1
2s	2s	j	2s	2s	0
.	.	.	.	.	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
and	and	cc	and	and	0
Furniture	Furniture	n1	Furniture	furniture	0
for	for	p-acp	for	for	0
28	28	crd	28	28	0
Harquebushiers	Harquebushiers	vvz	Harquebushiers	harquebushier	0
men	men	n2	men	man	0
and	and	cc	and	and	0
horse	horse	n1	horse	horse	0
that	that	cst	that	that	0
served	served	vvd	served	serve	0
lesse	lesse	av-dc	less	less	0
then	then	cs	then	than	0
the	the	dt	the	the	0
number	number	n1	number	number	0
raised	raised	vvn	raised	raise	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
disco	disco	vvi	disco	disco	0
∣	∣	sy	∣	∣	0
verers	verers	n2	verers	verer	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
proved	proved	vvn	proved	prove	0
,	,	,	,	,	0
2500l	2500l	crd	2500l	2500l	0
.	.	.	.	.	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
by	by	p-acp	by	by	0
severall	severall	j	several	several	0
credible	credible	j	credible	credible	0
witnesses	witnesses	n2	witnesses	witness	0
upon	upon	p-acp	upon	upon	0
oath	oath	n1	oath	oath	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
a	a	zz	a	a	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
4103l	4103l	crd	4103l	4103l	0
.	.	.	.	.	1
2s	2s	j	2s	2s	0
.	.	.	.	.	0
detained	detained	vvn	detained	detain	0
(	(	(	(	(	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Souldiery	Souldiery	n1	Soldiery	soldiery	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Command	Command	n1	Command	command	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
John	John	np1	John	John	0
Norwich	Norwich	np1	Norwich	Norwich	0
for	for	p-acp	for	for	0
13	13	crd	13	13	0
weeks	weeks	n2	weeks	week	0
and	and	cc	and	and	0
3	3	crd	3	3	0
days	days	n2	days	day	0
pay	pay	vvb	pay	pay	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Committee	Committee	n1	Committee	committee	0
of	of	pp-f	of	of	0
Hartford	Hartford	np1	Hartford	Hartford	0
,	,	,	,	,	0
their	their	po32	their	their	0
Treasurer	Treasurer	n1	Treasurer	treasurer	0
,	,	,	,	,	0
Paymaster	Paymaster	np1	Paymaster	Paymaster	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
County	County	n1	County	county	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
hitherto	hitherto	av	hitherto	hitherto	0
gi	gi	zz	gi	gi	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
no	no	dx	no	no	0
just	just	j	just	just	0
accompt	accompt	n1	account	account	0
:	:	:	:	:	0
The	The	dt	The	the	0
same	same	d	same	same	0
being	being	vbg	being	be	0
collected	collected	vvn	collected	collect	0
and	and	cc	and	and	0
received	received	vvn	received	receive	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
County	County	n1	County	county	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pay	pay	n1	pay	pay	0
of	of	pp-f	of	of	0
300	300	crd	300	300	0
horse	horse	n1	horse	horse	0
Harquebushiers	Harquebushiers	vvz	Harquebushiers	harquebushier	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
maintained	maintained	vvd	maintained	maintain	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Command	Command	n1	Command	command	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Sir	Sir	n1	Sir	sir	0
John	John	np1	John	John	0
Norwich	Norwich	np1	Norwich	Norwich	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
17	17	crd	17	17	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
1643	1643	crd	1643	1643	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
1644.	1644.	crd	1644.	1644.	0
which	which	r-crq	which	which	0
detention	detention	n1	detention	detention	0
&c.	&c.	av	etc.	etc	0
caused	caused	vvd	caused	cause	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
to	to	pc-acp	to	to	0
exhibit	exhibit	vvi	exhibit	exhibit	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
2500l	2500l	crd	2500l	2500l	0
.	.	.	.	.	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
complaint	complaint	n1	complaint	complaint	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Committee	Committee	n1	Committee	committee	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
Hartford	Hartford	np1	Hartford	Hartford	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Committee	Committee	n1	Committee	committee	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
taking	taking	n-vvg	taking	take	0
and	and	cc	and	and	0
receiving	receiving	vvg	receiving	receive	0
of	of	pp-f	of	of	0
accompts	accompts	n2	accounts	account	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
.	.	.	.	.	1
That	That	cst	That	that	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
many	many	d	many	many	0
addresses	addresses	n2	addresses	address	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Committee	Committee	n1	Committee	committee	0
for	for	p-acp	for	for	0
relief	relief	n1	relief	relief	0
,	,	,	,	,	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
were	were	vbdr	were	be	0
still	still	av	still	still	0
frustrated	frustrated	vvn	frustrated	frustrate	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
expectations	expectations	n2	expectations	expectation	0
