VVHat	VVHat	q-crq	What	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
sought	sought	vvd	sought	seek	0
for	for	p-acp	for	for	0
in	in	p-acp	in	in	0
others	others	n2-jn	others	other	0
(	(	(	(	(	0
excellent	excellent	uh-j	excellent	excellent	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
dy	dy	zz	dy	dy	0
)	)	)	)	)	0
and	and	cc	and	and	0
could	could	vmd	could	can	0
neuer	neuer	av-x	never	never	0
find	find	vvi	find	find	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
,	,	,	,	,	0
Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
a	a	dt	a	a	0
true	true	j	true	true	0
definitiō	definitiō	n1	definition	definition	0
of	of	pp-f	of	of	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nor	nor	ccx	nor	nor	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
found	found	vvd	found	find	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
;	;	;	;	;	0
so	so	av	so	so	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
I	I	pns11	I	i	0
honoured	honoured	vvd	honoured	honour	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
last	last	ord	last	last	0
.	.	.	.	.	1
And	And	cc	And	and	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
,	,	,	,	,	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
as	as	a-acp	as	as	0
worth	worth	j	worth	worth	0
∣	∣	sy	∣	∣	0
lesse	lesse	av-dc	less	less	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
;	;	;	;	;	0
sith	sith	c-acp	sith	sith	0
I	I	pns11	I	i	0
neuer	neuer	av-x	never	never	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
disco	disco	fw-la	disco	disco	0
∣	∣	sy	∣	∣	0
ver'd	ver'd	j-vvn	vered	vere	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
Blood	Blood	n1	Blood	blood	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Beauty	Beauty	n1	Beauty	beauty	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
vvonder	vvonder	vvb	wonder	wonder	0
at	at	p-acp	at	at	0
World	World	n1	World	world	0
,	,	,	,	,	0
or	or	cc	or	or	0
thou	thou	pns21	thou	thou	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
wilt	wilt	vm2	wilt	will	0
be	be	vbi	be	be	0
wondred	wondred	vvn	wondered	wonder	0
at	at	p-acp	at	at	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
these	these	d	these	these	0
,	,	,	,	,	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
lowe	lowe	av-j	low	low	0
Hu	Hu	uh	Hu	hu	0
∣	∣	sy	∣	∣	0
mility	mility	n1	mility	mility	0
:	:	:	:	:	0
Of	Of	pp-f	Of	of	0
Humility	Humility	n1	Humility	humility	0
,	,	,	,	,	0
Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
admired	admired	vvn	admired	admire	0
;	;	;	;	;	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imitated	imitated	vvn	imitated	imitate	0
:	:	:	:	:	0
or	or	cc	or	or	0
if	if	cs	if	if	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
imitated	imitated	vvn	imitated	imitate	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
equalled	equalled	vvn	equaled	equal	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
your	your	po22	your	your	0
Ladishippe	Ladishippe	n1	Ladishippe	ladyship	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
Mildness	Mildness	n1	Mildness	mildness	0
and	and	cc	and	and	0
Modestie	Modestie	n1	Modesty	modesty	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
Mariage	Mariage	n1	Marriage	marriage	0
)	)	)	)	)	0
will	will	vmb	will	will	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
mislike	mislike	n1	mislike	mislike	0
than	than	cs	than	than	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
mit	mit	fw-fr	mit	mit	0
these	these	d	these	these	0
prayses	prayses	n2	praises	praise	0
.	.	.	.	.	1
Pardon	Pardon	n1	Pardon	pardon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
Madam	Madam	n1	Madam	madam	0
;	;	;	;	;	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
doe	doe	vdi	do	do	0
so	so	av	so	so	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Vertue	Vertue	n1	Virtue	virtue	0
cānot	cānot	vmbx	cannot	can	0
be	be	vbi	be	be	0
ouerpriz'd	ouerpriz'd	vvd	overprized	overprize	0
;	;	;	;	;	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
can	can	vmb	can	can	0
she	she	pns31	she	she	0
euer	euer	av	ever	ever	0
be	be	vbi	be	be	0
ouer-prais'd	ouer-prais'd	j	ouer-praised	ouer-praised	0
.	.	.	.	.	1
Were	Were	vbdr	Were	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
the	the	dt	the	the	0
world	world	n1	world	world	0
would	would	vmd	would	will	0
thinke	thinke	vvi	think	think	0
that	that	d	that	that	0
Partialitie	Partialitie	n1	Partiality	partiality	0
did	did	vdd	did	do	0
prompt	prompt	vvi	prompt	prompt	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
yet	yet	av	yet	yet	0
ad	ad	vvi	and	add	0
to	to	p-acp	to	to	0
yor	yor	po22	yor	your	0
praises	praises	n2	praises	praise	0
;	;	;	;	;	0
not	not	xx	not	not	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
reade	reade	vvi	read	read	0
them	them	pno32	them	they	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
might	might	vmd	might	may	0
knowe	knowe	vvi	know	know	0
howe	howe	c-crq	how	how	0
faire	faire	j	fair	fair	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
fairer	fairer	jc	fairer	fair	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
fairest	fairest	js	fairest	fair	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
it	it	pn31	it	it	0
,	,	,	,	,	0
admire	admire	vvb	admire	admire	0
it	it	pn31	it	it	0
;	;	;	;	;	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
admiration	admiration	n1	admiration	admiration	0
,	,	,	,	,	0
imitate	imitate	vvb	imitate	imitate	0
it	it	pn31	it	it	0
.	.	.	.	.	1
It	It	pn31	It	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
long	long	j	long	long	0
(	(	(	(	(	0
incōparable	incōparable	j	incomparable	incomparable	0
Ladie	Ladie	n1	Lady	lady	0
)	)	)	)	)	0
it	it	pn31	it	it	0
wold	wold	vmd	would	will	0
be	be	vbi	be	be	0
very	very	av	very	very	0
long	long	av-j	long	long	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
wee	wee	pns12	we	we	0
shold	shold	vmd	should	shall	0
win	win	vvi	win	win	0
any	any	d	any	any	0
one	one	pi	one	one	0
to	to	pc-acp	to	to	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
meer	meer	j	mere	mere	0
praysing	praysing	vvg	praising	praise	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
abstract	abstract	n-jn	abstract	abstract	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
vve	vve	pns12	we	we	0
not	not	xx	not	not	0
praise	praise	vvi	praise	praise	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
som	som	d	some	some	0
person	person	n1	person	person	0
gracious	gracious	j	gracious	gracious	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Worlds	Worlds	n2	World's	world	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
prays'd	prays'd	vvd	praised	praise	0
for	for	p-acp	for	for	0
praising	praising	vvg	praising	praise	0
you	you	pn22	you	you	0
;	;	;	;	;	0
&	&	cc	&	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
prays'd	prays'd	vvd	praised	praise	0
for	for	p-acp	for	for	0
offring	offring	vvg	offering	offer	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
infinite	infinite	j	infinite	infinite	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
seruice	seruice	n1	service	service	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
you	you	pn22	you	you	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
so	so	av	so	so	0
poore	poore	j	poor	poor	0
a	a	dt	a	a	0
present	present	n1	present	present	0
,	,	,	,	,	0
so	so	av	so	so	0
little	little	j	little	little	0
a	a	dt	a	a	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
vnlicked	vnlicked	j	unlicked	unlicked	0
Work	Work	n1	Work	work	0
.	.	.	.	.	1
The	The	dt	The	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
that	that	cst	that	that	0
finding	finding	vvg	finding	find	0
my	my	po11	my	my	0
Booke	Booke	n1	Book	book	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
little	little	j	little	little	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
or	or	cc	or	or	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Name	Name	n1	Name	name	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
liue	liue	vvi	live	live	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
it	it	pn31	it	it	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
liue	liue	vvi	live	live	0
long	long	av-j	long	long	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
your	your	po22	your	your	0
euer-liuing	euer-liuing	j	everliving	everliving	0
vertues	vertues	n2	virtues	virtue	0
to	to	pc-acp	to	to	0
relieue	relieue	vvi	relieve	relieve	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
from	from	p-acp	from	from	0
expecting	expecting	vvg	expecting	expect	0
thanks	thanks	n2	thanks	thank	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
craue	craue	vvb	crave	crave	0
pardon	pardon	n1	pardon	pardon	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
presu	presu	uh-np	presu	presu	0
∣	∣	sy	∣	∣	0
ming	ming	j	ming	ming	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
buse	buse	j	buse	busy	0
your	your	po22	your	your	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
sette	sette	vvi	set	set	0
it	it	pn31	it	it	0
before	before	a-acp	before	before	0
so	so	av	so	so	0
weake	weake	j	weak	weak	0
a	a	dt	a	a	0
Worke	Worke	n1	Work	work	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
liue	liue	vvb	live	live	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
woorthy	woorthy	j	worthy	worthy	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
I	I	pns11	I	i	0
heer	heer	av	her	here	0
promise	promise	vvb	promise	promise	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
better	better	jc	better	better	0
.	.	.	.	.	1
If	If	cs	If	if	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
die	die	vvb	die	die	0
,	,	,	,	,	0
I	I	pns11	I	i	0
