DEare	DEare	n1	DEare	deer	0
Sister	Sister	n1	Sister	sister	0
,	,	,	,	,	0
you	you	pn22	you	you	0
knowe	knowe	vvb	know	know	0
this	this	d	this	this	0
World	World	n1	World	world	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
your	your	po22	your	your	0
home	home	n1-an	home	home	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
Pilgrimage	Pilgrimage	n1	Pilgrimage	pilgrimage	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
place	place	n1	place	place	0
wherein	wherein	c-crq	wherein	wherein	0
God	God	np1	God	God	0
trieth	trieth	vvz	trieth	tri	0
his	his	po31	his	his	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
:	:	:	:	:	0
And	And	cc	And	and	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
and	and	cc	and	and	0
profit	profit	n1	profit	profit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
his	his	po31	his	his	0
merciful	merciful	j	merciful	merciful	0
chastise	chastise	vvb	chastise	chastise	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
vseth	vseth	vvz	uses	use	0
many	many	d	many	many	0
waies	waies	n2	ways	way	0
and	and	cc	and	and	0
meanes	meanes	n2	means	mean	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
triall	triall	n1	trial	trial	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
.	.	.	.	.	1
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
,	,	,	,	,	0
You	You	pn22	You	you	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
patience	patience	n1	patience	patience	0
of	of	pp-f	of	of	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
IAMES	IAMES	np1	IAMES	Iames	0
)	)	)	)	)	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
seene	seene	vvn	seen	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
